"First","Last","Player","Season","Team","Games","Minutes","Pos","NumChains/96","TeamChain%","ChainShot%","PlayerShot%","PlayerKP%","xB/96","xGChain/96","xB%","xB% (0)","Comp ($K)"
"Aidan","Daniels","Aidan Daniels",2018,"TOR",1,15,"sub",38.4,0.286567164179104,0.333333333333333,0.333333333333333,0,3.17428228700034,3.17428228700034,1,NA,54.50004
"Nouhou","Tolo","Nouhou Tolo",2020,"SEA",2,48,"FB/WB",38,0.222222222222222,0.421052631578947,0.105263157894737,0,2.19228430457884,2.24048365309888,0.978487078692419,1,NA
"Ethan","Kutler","Ethan Kutler",2018,"NYRB",3,107,"FB/WB",36.785046728972,0.26720372926614,0.341463414634146,0.024390243902439,0.0731707317073171,2.14325293636472,2.25114261392203,0.952073370700694,1,54.50004
"Everton","Luiz","Everton Luiz",2020,"RSL",1,96,"CDM",33,0.179347826086957,0.181818181818182,0.0303030303030303,0,2.13123152208463,2.15343203135445,0.989690638503297,1,NA
"Shane","O'Neill","Shane O'Neill",2020,"SEA",1,99,"CB",30.0606060606061,0.195198740653286,0.225806451612903,0,0,2.01703684997889,2.01703684997889,1,1,NA
"Santiago","Mosquera","Santiago Mosquera",2020,"FCD",1,35,"Wing",30.1714285714286,0.195918367346939,0.181818181818182,0,0,1.9744971411562,1.9744971411562,1,NA,NA
"Jose","Villarreal","Jose Villarreal",2018,"ORL",3,59,"F",24.4067796610169,0.288269051114373,0.266666666666667,0,0.133333333333333,1.84355736391278,2.02109549190698,0.912157476623388,NA,84.99996
"Danny","Leyva","Danny Leyva",2020,"SEA",1,48,"CDM",30,0.38961038961039,0.266666666666667,0,0.0666666666666667,1.84235536161404,1.85675660328292,0.992243872113657,0.992243872113657,NA
"Fanendo","Adi","Fanendo Adi",2020,"CLB",1,14,"F",20.5714285714286,0.247848537005164,0.333333333333333,0,0,1.80665619917178,1.80665619917178,1,NA,NA
"Orji","Okwonkwo","Orji Okwonkwo",2020,"MTL",1,40,"Wing",19.2,0.133333333333333,0.125,0.125,0,1.78092906402849,1.78092906402849,1,1,NA
"Mariano","Mino","Mariano Mino",2018,"TOR",1,28,"sub",24,0.358208955223881,0.285714285714286,0,0,1.76981292811144,1.76981292811144,1,NA,54.50004
"Paxton","Pomykal","Paxton Pomykal",2020,"FCD",2,55,"CAM",27.9272727272727,0.332467532467532,0.25,0.0625,0,1.73111054692544,1.73111054692544,1,NA,NA
"Harry","Shipp","Harry Shipp",2020,"SEA",2,50,"Wing",24.96,0.145964912280702,0.307692307692308,0,0.0769230769230769,1.70264174387104,1.70264174387104,1,1,NA
"Leonard","Owusu","Leonard Owusu",2020,"VAN",1,13,"sub",29.5384615384615,0.40463645943098,0.25,0.25,0,1.69526952833317,1.69526952833317,1,NA,NA
