"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","extreme1","extreme2","plotnames"
"Michael","Bradley","Michael Bradley",2018,"TOR",3034,"CM",1669,0.89,0.845,75.9514392018319,4.55071535061905,20.5610251739455,5.05450538358008,6500,52.8094924192485,0.89035350509287,0.84484635158668,2.40320967810675,4.55071535061905,20.5610251739455,5.05450538358008,349,472,"Bradley"
"Osvaldo","Alonso","Osvaldo Alonso",2018,"SEA",1933,"CDM",920,0.935,0.867,61.9023356735707,6.72851474712725,21.2770943129651,5.07363953488372,1141.66704,45.6906363166063,0.934782608695652,0.86749746122438,3.07430120261913,6.72851474712725,21.2770943129651,5.07363953488372,450,534,"Alonso"
"Wil","Trapp","Wil Trapp",2018,"CLB",2796,"CDM",1312,0.892,0.845,61.3736446350812,4.67786925572265,21.9234457661378,5.87296153846154,550.004,45.0472103004292,0.891768292682927,0.8449896001257,2.10724960120451,4.67786925572265,21.9234457661378,5.87296153846154,351,476,"Trapp"
"Matt","Besler","Matt Besler",2018,"SKC",2959,"CB",1216,0.876,0.826,60.6316518336535,4.98615557842546,23.7239524879806,7.52812676056338,783.25,39.4511659344373,0.875822368421053,0.825960812636798,1.96709651099383,4.98615557842546,23.7239524879806,7.52812676056338,251,434,"Besler"
"Gregory","van der Wiel","Gregory van der Wiel",2018,"TOR",2446,"CB",803,0.913,0.842,56.7980224639178,7.07322820223135,19.6366664140021,3.2949931787176,835.00004,31.5159443990188,0.912826899128269,0.842094617105955,2.22919466743095,7.07322820223135,19.6366664140021,3.2949931787176,336,521,"Wiel"
"Graham","Zusi","Graham Zusi",2018,"SKC",3301,"FB/WB",1223,0.868,0.824,52.7416011169553,4.31247760563821,20.8481617597452,2.83717247879359,782.10227,35.5674038170251,0.867538838920687,0.824414062864305,1.53383632451612,4.31247760563821,20.8481617597452,2.83717247879359,243,409,"Zusi"
"Bastian","Schweinsteiger","Bastian Schweinsteiger",2018,"CHI",2882,"CB",1217,0.869,0.827,49.9836056679488,4.10711632440006,21.1463995815855,5.91178334910123,6100.00008,40.5385149201943,0.868529170090386,0.827458006846386,1.66496396395666,4.10711632440006,21.1463995815855,5.91178334910123,263,413,"Schweinsteiger"
"Brooks","Lennon","Brooks Lennon",2018,"RSL",3054,"FB/WB",928,0.879,0.828,47.248803064227,5.09146584743826,19.7044385610107,0.222107843137255,237.58333,29.1709233791749,0.879310344827586,0.828395686353204,1.48522760123307,5.09146584743826,19.7044385610107,0.222107843137255,270,444,"Lennon"
"Michael","Parkhurst","Michael Parkhurst",2018,"ATL",3125,"CB",1024,0.896,0.853,44.8111357688904,4.3760874774307,24.2520891637347,4.88449346405229,340.008,31.45728,0.896484375,0.852723500225693,1.37659809082031,4.3760874774307,24.2520891637347,4.88449346405229,386,486,"Parkhurst"
"Alexander","Callens","Alexander Callens",2018,"NYC",2923,"CB",991,0.886,0.841,44.7304076924919,4.51366374293561,18.6722691078069,4.92037585421412,564.00004,32.5473828258638,0.885973763874874,0.840837126445518,1.46907941788547,4.51366374293561,18.6722691078069,4.92037585421412,328,460,"Callens"
"Diego","Chara","Diego Chara",2018,"POR",2578,"CM",899,0.909,0.86,43.7636923789978,4.86804142146805,19.5330544585542,4.18236842105263,572,33.4771140418929,0.908787541713014,0.860107127498334,1.62967977827145,4.86804142146805,19.5330544585542,4.18236842105263,412,512,"Chara"
"Alejandro","Bedoya","Alejandro Bedoya",2018,"PHI",2949,"CDM",1097,0.904,0.864,43.7313518971205,3.98644958041208,18.6413816423717,3.42298891129032,1266.25,35.7110885045778,0.904284412032817,0.864419916228696,1.42360453785133,3.98644958041208,18.6413816423717,3.42298891129032,431,505,"Bedoya"
"Ike","Opara","Ike Opara",2018,"SKC",2990,"CB",926,0.869,0.826,40.1831658631562,4.3394347584402,22.388743071782,7.65614285714286,342.91663,29.7311036789298,0.869330453563715,0.825936105979313,1.29016184711137,4.3394347584402,22.388743071782,7.65614285714286,250,416,"Opara"
"Reggie","Cannon","Reggie Cannon",2018,"FCD",3137,"FB/WB",751,0.903,0.85,39.3038200065494,5.23353129248327,15.6720623168776,-1.11438053097345,67.5,22.9824673254702,0.902796271637816,0.850460958712984,1.20279461926323,5.23353129248327,15.6720623168776,-1.11438053097345,375,499,"Cannon"
"Zarek","Valentin","Zarek Valentin",2018,"POR",2934,"FB/WB",836,0.864,0.817,39.2206545434892,4.69146585448436,21.0925434671239,1.64042243767313,130,27.3537832310838,0.863636363636364,0.81672170509152,1.28329340019597,4.69146585448436,21.0925434671239,1.64042243767313,213,398,"Valentin"
"Reto","Ziegler","Reto Ziegler",2018,"FCD",2747,"CB",799,0.857,0.809,38.7932555601001,4.85522597748437,24.8860144894755,8.36780291970803,800,27.9228248998908,0.857321652065081,0.808769392290238,1.35571624818697,4.85522597748437,24.8860144894755,8.36780291970803,177,377,"Ziegler"
"Anibal","Godoy","Anibal Godoy",2018,"SJE",2485,"CM",1073,0.911,0.876,38.5687756538392,3.59448048964018,23.0036838415098,3.47775051124744,473.12504,41.4519114688129,0.911463187325256,0.875518382428854,1.4899808703294,3.59448048964018,23.0036838415098,3.47775051124744,484,516,"Godoy"
"Leandro","Gonzalez Pirez","Leandro Gonzalez Pirez",2018,"ATL",2965,"CB",1180,0.852,0.82,37.4579322524368,3.1744010383421,26.4896764277237,8.18559701492537,685.004,38.2057335581787,0.851694915254237,0.819950904870816,1.21280320277704,3.1744010383421,26.4896764277237,8.18559701492537,229,350,"Pirez"
"Jonathan","dos Santos","Jonathan dos Santos",2018,"LAG",2022,"CM",934,0.912,0.872,37.2897421568632,3.9924777469875,19.0027924951039,3.28478873239437,2000.00004,44.3442136498516,0.91220556745182,0.872280789981945,1.77043286204692,3.9924777469875,19.0027924951039,3.28478873239437,473,518,"Santos"
"Benny","Feilhaber","Benny Feilhaber",2018,"LAFC",2985,"CM",1326,0.893,0.865,36.8830093182624,2.78152408131692,20.0758009892995,2.99699324324324,625,42.6452261306533,0.892911010558069,0.8650957697449,1.18618723435618,2.78152408131692,20.0758009892995,2.99699324324324,437,478,"Feilhaber"
"Steve","Birnbaum","Steve Birnbaum",2018,"DCU",3288,"CB",572,0.837,0.774,36.3314266055822,6.35164800796892,20.4341182990863,6.77083507306889,525.004,16.7007299270073,0.837412587412587,0.773896107332898,1.06077157972503,6.35164800796892,20.4341182990863,6.77083507306889,74,301,"Birnbaum"
"Jack","Price","Jack Price",2018,"COL",2969,"CM",1343,0.863,0.836,36.1923056840897,2.69488500998434,23.2696550995856,4.35888697152718,407.49996,43.4247221286629,0.862993298585257,0.836044448485413,1.17024632727269,2.69488500998434,23.2696550995856,4.35888697152718,306,392,"Price"
"Walker","Zimmerman","Walker Zimmerman",2018,"LAFC",2499,"CB",659,0.844,0.79,35.7010962367058,5.4174652862983,20.538209866111,7.57758992805755,235,25.3157262905162,0.843702579666161,0.789527926803178,1.37147068376301,5.4174652862983,20.538209866111,7.57758992805755,107,322,"Zimmerman"
"Matt","Hedges","Matt Hedges",2018,"FCD",3153,"CB",797,0.853,0.81,34.070869371295,4.27488950706336,23.6924106789927,6.93534558823529,525.004,24.2664129400571,0.853199498117942,0.810450603047309,1.03736234051517,4.27488950706336,23.6924106789927,6.93534558823529,185,355,"Hedges"
"Larrys","Mabiala","Larrys Mabiala",2018,"POR",2955,"CB",637,0.857,0.805,33.4940384328365,5.25809080578281,22.9730342805069,8.58498168498168,793.33333,20.6944162436548,0.857142857142857,0.804561949085029,1.08813119781804,5.25809080578281,22.9730342805069,8.58498168498168,159,374,"Mabiala"
"Ebenezer","Ofori","Ebenezer Ofori",2018,"NYC",2007,"CM",1024,0.91,0.878,33.4224406704307,3.26391022172174,17.8390020667609,1.80322961373391,381.24996,48.9805680119581,0.91015625,0.877517147782783,1.59868176599967,3.26391022172174,17.8390020667609,1.80322961373391,490,514,"Ofori"
"Justen","Glad","Justen Glad",2018,"RSL",3126,"CB",735,0.871,0.826,32.858440220356,4.47053608440218,22.1213506302846,5.12828125,291.7,22.5719769673704,0.870748299319728,0.826042938475706,1.00908837528924,4.47053608440218,22.1213506302846,5.12828125,252,421,"Glad"
"Russell","Canouse","Russell Canouse",2018,"DCU",1647,"CDM",561,0.904,0.846,32.6137014478445,5.81349401922362,16.801347626552,2.98863905325444,247.5,32.6994535519126,0.903743315508021,0.845608375315785,1.90098077655924,5.81349401922362,16.801347626552,2.98863905325444,355,503,"Canouse"
"Josh","Williams","Josh Williams",2018,"CLB",1583,"CB",495,0.903,0.838,31.9891774356365,6.46246008800738,20.8884312843006,6.63295302013423,200.00004,30.0189513581807,0.903030303030303,0.838405702150229,1.93996275036078,6.46246008800738,20.8884312843006,6.63295302013423,315,500,"Williams"
"DaMarcus","Beasley","DaMarcus Beasley",2018,"HOU",2387,"FB/WB",821,0.886,0.847,31.5677982047201,3.84504241226797,18.8513345053976,0.835529573590096,275.004,33.0188521156263,0.885505481120585,0.847055056997905,1.26958886788987,3.84504241226797,18.8513345053976,0.835529573590096,357,457,"Beasley"
"Eriq","Zavaleta","Eriq Zavaleta",2018,"TOR",1570,"CB",479,0.896,0.832,30.6201267242431,6.39251079838061,21.5778096777865,6.2670979020979,263.55845,29.2891719745223,0.895615866388309,0.831690758404503,1.87231348122761,6.39251079838061,21.5778096777865,6.2670979020979,284,484,"Zavaleta"
