"Team","Season","Games","PassF","PctF","xPctF","ScoreF","Per100F","VertF","PassA","PctA","xPctA","VertA","ScoreA","Per100A","ScoreDiff","VertDiff","Gini18","Comp"
"NYC",2018,34,6099,0.812,0.804,46.632,0.765,6.388,4099,0.686,0.712,11.178,-106.293,-2.593,152.925,-4.79,0.585,14824390.78
"SKC",2018,34,4487,0.823,0.813,46.509,1.037,7.79,4758,0.725,0.741,9.322,-75.851,-1.594,122.361,-1.533,0.401,11883112.05
"CLB",2018,34,5387,0.845,0.827,94.648,1.757,7.201,5076,0.787,0.786,8.415,7.028,0.138,87.621,-1.214,0.424,7715954.14
"LAG",2018,34,4178,0.752,0.734,73.987,1.771,11.057,4642,0.777,0.775,8.891,9.345,0.201,64.642,2.167,0.631,17574508.3
"COL",2018,34,5201,0.789,0.776,65.064,1.251,8.533,4731,0.775,0.775,8.904,1.052,0.022,64.012,-0.371,0.513,11269956.46
"PHI",2018,34,4226,0.769,0.752,74.971,1.774,10.691,5289,0.803,0.799,7.855,21.783,0.412,53.188,2.836,0.529,8983487.84
"NYRB",2018,34,3632,0.655,0.684,-104.814,-2.886,12.259,5117,0.695,0.725,9.712,-153.954,-3.009,49.141,2.547,0.487,8134914.02
"LAFC",2018,34,4537,0.804,0.803,4.401,0.097,7.887,4726,0.765,0.769,8.621,-18.419,-0.39,22.82,-0.734,0.616,15395802.66
"ORL",2018,34,4987,0.794,0.782,64.256,1.288,8.646,4228,0.794,0.782,9.597,50.762,1.201,13.494,-0.951,0.442,8873899.44
"TOR",2018,34,4990,0.801,0.789,60.135,1.205,8.546,4470,0.773,0.761,9.258,52.221,1.168,7.913,-0.712,0.703,26741007.07
"SEA",2018,34,4589,0.764,0.765,-5.7,-0.124,9.097,4473,0.78,0.783,8.252,-9.251,-0.207,3.551,0.845,0.478,12379964.96
"FCD",2018,34,4366,0.768,0.758,44.744,1.025,9.727,4586,0.79,0.78,9.096,44.33,0.967,0.414,0.631,0.302,10476946.52
"DCU",2018,34,4691,0.749,0.754,-27.201,-0.58,8.692,4364,0.762,0.768,8.465,-26.538,-0.608,-0.663,0.228,0.514,9689537.84
"NER",2018,34,3442,0.702,0.717,-53.626,-1.558,12.281,5602,0.734,0.741,8.907,-38.591,-0.689,-15.034,3.374,0.436,7471669.49
"RSL",2018,34,5317,0.795,0.791,25.168,0.473,7.909,4398,0.774,0.764,8.729,44.286,1.007,-19.119,-0.82,0.383,9294915.56
"ATL",2018,34,4626,0.783,0.783,-0.395,-0.009,8.013,3801,0.766,0.758,10.308,29.138,0.767,-29.533,-2.295,0.505,11606330.49
"POR",2018,34,4041,0.741,0.731,40.701,1.007,12.542,4594,0.793,0.776,9.78,74.074,1.612,-33.374,2.762,0.493,10994792.96
"CHI",2018,34,4704,0.769,0.768,1.072,0.023,8.771,4516,0.802,0.788,8.742,63.529,1.407,-62.457,0.029,0.696,15990696
"MTL",2018,34,4712,0.772,0.771,1.552,0.033,9.494,4268,0.808,0.793,8.703,64.06,1.501,-62.508,0.792,0.591,13023119.1
"VAN",2018,34,4048,0.729,0.729,0.235,0.006,10.706,4309,0.794,0.779,9.42,62.968,1.461,-62.733,1.286,0.352,8575278.29
"HOU",2018,34,4046,0.743,0.738,21.82,0.539,11.057,4551,0.798,0.776,9.08,101.56,2.232,-79.74,1.977,0.229,6020471.67
"SJE",2018,34,4497,0.756,0.76,-17.728,-0.394,9.822,4380,0.781,0.758,10.116,99.356,2.268,-117.083,-0.294,0.385,8308343.41
"MIN",2018,34,4473,0.731,0.755,-110.616,-2.473,8.349,4298,0.783,0.771,9.469,49.22,1.145,-159.836,-1.12,0.349,8736377.37
