"Team","Season","Games","PassF","PctF","xPctF","ScoreF","Per100F","VertF","PassA","PctA","xPctA","VertA","ScoreA","Per100A","ScoreDiff","VertDiff","Gini18","Comp"
"NYC",2018,34,10051,0.856,0.845,107.431,1.069,1.982,6581,0.774,0.8,2.891,-171.325,-2.603,278.756,-0.909,0.585,14824390.78
"SKC",2018,34,9163,0.859,0.839,180.936,1.975,3.054,6628,0.814,0.825,2.543,-71.282,-1.075,252.218,0.51,0.401,11883112.05
"CLB",2018,34,8560,0.859,0.842,146.349,1.71,3.098,7983,0.838,0.842,1.714,-34.837,-0.436,181.186,1.384,0.424,7715954.14
"LAFC",2018,34,8986,0.864,0.846,166.798,1.856,2.823,7565,0.832,0.834,2.245,-13.612,-0.18,180.411,0.578,0.616,15395802.66
"NYRB",2018,34,7307,0.731,0.762,-225.084,-3.08,5.785,7447,0.737,0.787,3.299,-373.418,-5.014,148.335,2.485,0.487,8134914.02
"TOR",2018,34,9672,0.857,0.842,144.711,1.496,2.776,8291,0.837,0.828,2.557,77.214,0.931,67.496,0.219,0.703,26741007.07
"RSL",2018,34,8753,0.856,0.845,95.261,1.088,1.973,7087,0.815,0.81,2.491,31.339,0.442,63.921,-0.518,0.383,9294915.56
"NER",2018,34,7333,0.766,0.782,-119.163,-1.625,4.844,7076,0.782,0.804,2.457,-155.326,-2.195,36.164,2.387,0.436,7471669.49
"ATL",2018,34,8726,0.87,0.856,124.219,1.424,1.696,7637,0.846,0.834,2.918,91.155,1.194,33.064,-1.222,0.505,11606330.49
"SEA",2018,34,8383,0.844,0.833,94.401,1.126,2.826,8598,0.844,0.832,2.791,103.607,1.205,-9.205,0.035,0.478,12379964.96
"ORL",2018,34,7404,0.856,0.838,130.905,1.768,2.896,8192,0.859,0.842,2.971,144.268,1.761,-13.363,-0.075,0.442,8873899.44
"FCD",2018,34,7820,0.843,0.828,116.083,1.484,2.62,8435,0.85,0.834,2.724,135.417,1.605,-19.334,-0.104,0.302,10476946.52
"PHI",2018,34,8828,0.837,0.833,36.341,0.412,2.219,8300,0.835,0.828,2.756,63.588,0.766,-27.246,-0.538,0.529,8983487.84
"HOU",2018,34,7961,0.841,0.833,64.17,0.806,2.725,8437,0.851,0.84,2.44,98.737,1.17,-34.567,0.285,0.229,6020471.67
"LAG",2018,34,8288,0.833,0.824,76.887,0.928,2.038,8438,0.845,0.83,2.781,118.489,1.404,-41.602,-0.743,0.631,17574508.3
"MTL",2018,34,7906,0.848,0.842,47.53,0.601,2.58,9913,0.856,0.843,2.715,128.067,1.292,-80.537,-0.135,0.591,13023119.1
"VAN",2018,34,7106,0.826,0.818,54.021,0.76,2.458,8956,0.856,0.84,2.943,141.204,1.577,-87.183,-0.485,0.352,8575278.29
"DCU",2018,34,7987,0.833,0.825,63.516,0.795,2.705,8891,0.856,0.838,2.666,161.432,1.816,-97.916,0.039,0.514,9689537.84
"CHI",2018,34,8357,0.839,0.836,23.018,0.275,1.585,9108,0.851,0.836,2.555,133.672,1.468,-110.654,-0.97,0.696,15990696
"POR",2018,34,7814,0.837,0.826,84.232,1.078,3.435,8627,0.861,0.833,3.291,240.715,2.79,-156.483,0.144,0.493,10994792.96
"MIN",2018,34,7784,0.824,0.827,-22.174,-0.285,2.907,9396,0.852,0.836,2.81,142.574,1.517,-164.748,0.097,0.349,8736377.37
"SJE",2018,34,7881,0.833,0.832,2.449,0.031,2.466,8770,0.854,0.835,3.055,167.956,1.915,-165.507,-0.589,0.385,8308343.41
"COL",2018,34,7599,0.822,0.825,-28.126,-0.37,1.475,9313,0.87,0.848,2.076,205.078,2.202,-233.204,-0.6,0.513,11269956.46
