"Team","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","TSR","PDO","Pts","xPts","Gini18","Comp ($MM)"
"NYRB",34,9.824,8.206,1.206,0.588,0.618,1.276,0.956,0.32,0.297,0.545,1111,2.088,1.729,0.487,8.135
"ATL",34,11.529,7.941,1.353,0.882,0.471,1.499,0.796,0.703,-0.232,0.592,993,2.029,1.858,0.505,11.606
"SKC",34,13.618,9.059,1.5,0.882,0.618,1.269,0.96,0.309,0.309,0.601,1067,1.824,1.634,0.401,11.883
"SEA",34,9.559,10.412,1.118,0.824,0.294,1.006,1.202,-0.196,0.49,0.479,1154,1.735,1.255,0.478,12.38
"FCD",34,10.971,9.735,1.088,0.882,0.206,1.157,0.984,0.173,0.033,0.53,995,1.676,1.492,0.302,10.477
"LAFC",34,11.412,9.265,1.441,1.176,0.265,1.339,0.98,0.36,-0.095,0.552,1026,1.676,1.662,0.616,15.396
"NYC",34,12.294,9.118,1.382,1.029,0.353,1.37,0.962,0.407,-0.054,0.574,1024,1.647,1.634,0.585,14.824
"POR",34,10.029,9.676,1.059,1.029,0.029,1.159,1.114,0.045,-0.016,0.509,982,1.588,1.451,0.493,10.995
"CLB",34,10.382,8.735,0.676,0.941,-0.265,1.089,0.842,0.247,-0.511,0.543,858,1.5,1.684,0.424,7.716
"DCU",34,8.147,12.529,1.382,1.147,0.235,1.019,1.254,-0.235,0.47,0.394,1133,1.5,1.283,0.514,9.69
"PHI",34,10.176,9.676,1.088,1,0.088,1.124,1.097,0.027,0.062,0.513,1032,1.471,1.48,0.529,8.983
"RSL",34,10.559,9.676,1.235,1.265,-0.029,1.021,1.189,-0.167,0.138,0.522,940,1.441,1.187,0.383,9.295
"LAG",34,9.382,11.676,1.529,1.412,0.118,1.216,1.235,-0.019,0.136,0.446,1085,1.412,1.368,0.631,17.575
"VAN",34,9.294,11.441,1.206,1.412,-0.206,1.105,1.233,-0.128,-0.078,0.448,970,1.382,1.294,0.352,8.575
"MTL",34,9.294,8.941,0.971,0.971,0,0.96,0.926,0.034,-0.034,0.51,1048,1.353,1.323,0.591,13.023
"NER",34,10.853,9.294,1.059,1.088,-0.029,1.048,1.229,-0.181,0.152,0.539,983,1.206,1.214,0.436,7.472
"HOU",34,10.853,9.294,1.176,1.118,0.059,1.333,1.089,0.244,-0.185,0.539,937,1.118,1.512,0.229,6.02
"MIN",34,8.706,12.118,1.235,1.559,-0.324,1.113,1.245,-0.132,-0.192,0.418,1020,1.059,1.172,0.349,8.736
"TOR",34,10.529,10.5,1.382,1.441,-0.059,1.316,1.215,0.101,-0.16,0.501,991,1.059,1.414,0.703,26.741
"CHI",34,7.529,11.353,1,1.441,-0.441,0.867,1.333,-0.466,0.025,0.399,998,0.941,1.034,0.696,15.991
"COL",34,8.029,12.324,0.706,1.529,-0.824,0.721,1.353,-0.632,-0.192,0.395,930,0.912,1.03,0.513,11.27
"ORL",34,9.529,10.735,0.853,1.471,-0.618,0.916,1.375,-0.459,-0.159,0.47,903,0.824,1.048,0.442,8.874
"SJE",34,10.176,10.971,1,1.559,-0.559,1.017,1.373,-0.356,-0.203,0.481,913,0.618,1.091,0.385,8.308
