Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Saad Abdul-Salaam/Saad-Abdul-Salaam,us USA,DF,NYCFC,26,1991,3,60,49.3,10.7,1,0.33,7.33,0,0,0,0,0,0,43,10.3,6.67,9.67,35.7,4.33,9.67,0,51,0,1,0.33,1.67,Matches
2,Mohammed Abu/Mohammed-Abu,gh GHA,MFDF,Columbus,26,1991,1.1,83.6,82.7,0.91,0,0,17.3,4.55,6.36,0,0,0,0,59.1,6.36,18.2,73.6,5.45,3.64,0.91,0,68.2,0,2.73,3.64,0.91,Matches
3,Lalas Abubakar/Lalas-Abubakar,gh GHA,DF,Columbus,23,1994,19.7,51.3,50.4,0.96,0.71,0,7.16,0.86,0,0,0,0,0,41.1,4.21,5.99,4.21,41.4,3.86,0.25,0.2,46,0.1,0.71,0.51,0.3,Matches
4,David Accam/David-Accam,gh GHA,FWMF,Philadelphia,27,1990,13.5,25,24.1,0.81,0,0.07,3.19,0.67,0.96,0.07,0,0,0,20.4,2.3,2.3,3.63,19.3,0.89,0.74,0,18.5,0.07,0.59,0.52,1.19,Matches
5,Danilo Acosta/Danilo-Acosta,us USA,DF,Real Salt Lake,20,1997,10,50.2,41.5,8.7,0.6,0.1,9.9,0.9,1.1,0.1,0,0,0,32.9,8.7,8.6,37.4,2.5,1.6,8,0,40,0.3,1.1,1.3,1.2,Matches
6,Kellyn Acosta/Kellyn-Acosta,us USA,MFFW,FC Dallas,22,1995,7.5,39.6,38.5,1.07,0.27,0.13,7.73,1.33,0.67,0.67,0,0,0,29.3,5.2,5.07,9.73,28.1,1.2,0.13,0.27,33.1,0,0.8,1.2,0.53,Matches
7,Kellyn Acosta/Kellyn-Acosta,us USA,MFFW,Colorado,22,1995,11.5,50.5,44.1,6.43,2.09,0,4.7,3.22,3.91,3.22,0,0,0,37.2,4.7,8.61,14.7,33.5,1.22,0.7,0.17,39.3,0.43,1.3,1.04,1.3,Matches
8,Luciano Acosta/Luciano-Acosta,ar ARG,MF,D.C. United,23,1994,30.5,57.9,55.2,2.66,1.28,0.52,8.49,1.31,1.57,0.39,0,0,0,46.2,4.69,7.02,10.4,45.4,0.98,0.85,0.16,44.6,0.13,0.75,1.8,2.03,Matches
9,Mo Adams/Mo-Adams,eng ENG,MF,Chicago,21,1996,9.8,40.5,40,0.51,0.41,0,9.18,0.92,0.1,0,0,0,0,32.3,3.57,4.59,5,33.8,1.33,0.1,0.2,34.2,0.31,0.71,0.41,1.02,Matches
10,Tyler Adams/Tyler-Adams,us USA,MF,NY Red Bulls,18,1999,25.9,52.7,51,1.7,1.2,0.19,8.34,0.77,0.42,0.04,0,0,0,36.6,6.8,9.38,8.57,37.3,5.21,0.46,0.23,40.7,0.35,0.93,0.97,1.12,Matches
11,Fanendo Adi/Fanendo-Adi,ng NGA,FW,Portland,27,1990,9.1,23.7,23.1,0.66,0,0,5.82,0.22,0.44,0,0,0,0,14.3,4.62,4.84,3.74,13.8,3.19,0,1.32,17.9,0.22,0.77,0.22,0.55,Matches
12,Bismark Adjei-Boateng/Bismark-Adjei-Boateng,gh GHA,MFDF,Colorado,23,1994,13.7,52.2,46.6,5.55,0.58,0.15,6.93,1.75,1.61,0,0,0,0,35.8,6.79,9.56,4.67,40.1,2.26,4.82,0,41.5,0.15,1.09,1.02,1.61,Matches
13,François Affolter/Francois-Affolter,ch SUI,DF,San Jose,26,1991,7.5,38.4,36.9,1.47,0.4,0,3.87,0.4,0,0,0,0,0,27.3,4.4,6.67,8.53,25.1,3.2,1.07,0.13,31.6,0,0.93,0.8,0.8,Matches
14,Harrison Afful/Harrison-Afful,gh GHA,DF,Columbus,31,1986,31.8,64.3,55.2,9.09,0.85,0.16,8.71,1.64,3.4,0,0,0,0,40.4,11.5,12.3,9.62,44.1,1.95,8.24,0.09,52.4,0.09,1.13,1.35,1.51,Matches
15,Juan Agudelo/Juan-Agudelo,us USA,FWMF,New England,25,1992,16.7,38.4,37.8,0.54,0.06,0.06,7.84,1.08,1.08,0.06,0,0,0,28.6,4.37,5.39,4.19,31.3,1.92,0.24,0.12,30.7,0.18,0.72,0.66,1.38,Matches
