Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1,Saad Abdul-Salaam/Saad-Abdul-Salaam,us USA,DF,NYCFC,26,1991,3,73,4.67,34.3,26.7,15.7,2.67,62.3,1.33,2,66.7,1.33,1,42,189.3,96,44.3,124,93.2,1.33,0,Matches
2,Mohammed Abu/Mohammed-Abu,gh GHA,MFDF,Columbus,26,1991,1.1,93.6,5.45,27.3,50.9,23.6,0,92.7,0.91,0.91,100,0.91,0,76.4,482.7,308.2,78.2,80,93,0.91,0.91,Matches
3,Lalas Abubakar/Lalas-Abubakar,gh GHA,DF,Columbus,23,1994,19.7,62.4,11.2,40.9,23,1.02,0.56,61.6,0.05,0.15,33.3,0.1,0,40.1,185.8,111.4,39.4,761,98.1,0.1,0.15,Matches
4,David Accam/David-Accam,gh GHA,FWMF,Philadelphia,27,1990,13.5,39.7,0.44,5.19,15.2,22.9,6,38.9,3.04,4.67,65.1,3.33,5,34.1,251.4,173.9,42,390,68.8,2.74,2.15,Matches
5,Danilo Acosta/Danilo-Acosta,us USA,DF,Real Salt Lake,20,1997,10,61.6,2.1,16.7,33.4,16.8,1.1,53.2,0.8,1.7,47.1,0.9,0,40.8,217.6,134.7,40.3,367,91.1,1.3,0.9,Matches
6,Kellyn Acosta/Kellyn-Acosta,us USA,MFFW,FC Dallas,22,1995,7.5,50,1.6,9.87,29.2,13.3,1.87,48.9,0.53,1.07,50,0.67,0,35.5,160.5,63.3,41.9,280,89.2,2.27,1.33,Matches
7,Kellyn Acosta/Kellyn-Acosta,us USA,MFFW,Colorado,22,1995,11.5,61.3,1.13,12.4,35.9,17.9,1.39,55,1.48,2.52,58.6,1.65,0,43,233.7,116.7,47.9,501,90.9,1.48,1.83,Matches
8,Luciano Acosta/Luciano-Acosta,ar ARG,MF,D.C. United,23,1994,30.5,72.3,0.39,7.64,40.2,30,3.67,69.9,3.57,5.7,62.6,3.8,7,62.3,321,196.6,67.6,1752,85,2.43,2.75,Matches
9,Mo Adams/Mo-Adams,eng ENG,MF,Chicago,21,1996,9.8,51.8,2.86,18.2,33.6,4.39,0,51.3,1.33,1.84,72.2,1.43,0,38.2,219.4,92.2,35.1,320,93,1.12,1.12,Matches
10,Tyler Adams/Tyler-Adams,us USA,MF,NY Red Bulls,18,1999,25.9,64.5,1.62,13.1,39.5,16.1,1.27,63,0.69,1.39,50,0.85,1,40.2,202.7,95.1,43.2,1005,89.7,0.97,1,Matches
11,Fanendo Adi/Fanendo-Adi,ng NGA,FW,Portland,27,1990,9.1,36.7,1.54,2.2,17.9,18.8,6.37,36,1.1,2.09,52.6,1.32,0,23.7,141.2,67.1,54.1,261,53,3.08,2.31,Matches
12,Bismark Adjei-Boateng/Bismark-Adjei-Boateng,gh GHA,MFDF,Colorado,23,1994,13.7,64.3,2.41,14.7,36.1,16.9,1.68,58.8,1.17,1.82,64,1.31,0,42.2,192.3,114.1,44.2,557,92.1,1.31,1.17,Matches
13,François Affolter/Francois-Affolter,ch SUI,DF,San Jose,26,1991,7.5,48.9,8.53,29.7,20.8,0.8,0.13,47.5,0.27,0.27,100,0.27,0,27.1,156.8,87.3,28,207,98.6,0.4,0.27,Matches
14,Harrison Afful/Harrison-Afful,gh GHA,DF,Columbus,31,1986,31.8,72.4,2.39,21.6,32,24.7,2.8,63.6,0.91,1.32,69,0.94,0,50,284.3,170.9,53.3,1553,91.6,0.88,0.79,Matches
15,Juan Agudelo/Juan-Agudelo,us USA,FWMF,New England,25,1992,16.7,55.1,1.14,6.65,24.3,29.9,6.17,54.6,2.46,4.43,55.4,2.69,5,45,346.9,204.3,54,678,75.2,2.99,2.75,Matches
16,Abel Aguilar/Abel-Aguilar,co COL,MF,FC Dallas,33,1985,1.5,76.7,4,26,44.7,8.67,0,74.7,0,0.67,0,0,0,51.3,206.7,101.3,49.3,73,98.6,0,1.33,Matches
17,Stefan Aigner/Stefan-Aigner,de GER,FW,Colorado,30,1987,0.1,30,0,0,0,30,0,30,0,0,,0,0,20,20,0,40,2,50,10,0,Matches
18,José Aja/Jose-Aja,uy URU,DF,Vancouver,24,1993,16.8,49.3,7.38,35,15.8,1.49,0.89,48.1,0.24,0.42,57.1,0.24,0,29.3,146,78.9,30.1,489,96.8,0.54,0,Matches
19,Ager Aketxe/Ager-Aketxe,es ESP,MF,Toronto FC,24,1993,8.1,81.1,0.74,10,46.3,31.5,1.98,75.1,2.1,2.72,77.3,2.1,2,65.1,320.5,170.1,72,507,87,1.48,2.1,Matches
20,Tesho Akindele/Tesho-Akindele,ca CAN,FWMF,FC Dallas,25,1992,6.5,44,1.23,7.08,20.3,20.6,4.31,42.5,1.69,2.31,73.3,1.69,0,30.6,206,102.5,43.7,199,70.1,1.69,1.23,Matches
21,Ayo Akinola/Ayo-Akinola,us USA,FWMF,Toronto FC,18,2000,0.5,64,0,0,20,50,8,64,8,8,100,8,0,62,318,116,86,28,65.1,2,12,Matches
22,Fatai Alashe/Fatai-Alashe,us USA,MF,San Jose,24,1993,4,61.3,4.75,24.3,34.5,7.5,0.5,59.3,0.5,0.5,100,0.5,0,35.3,231,100,39.8,145,91.2,0.5,0.25,Matches
23,Romain Alessandrini/Romain-Alessandrini,fr FRA,FWMF,LA Galaxy,28,1989,21.2,58.4,0.85,6.23,21.6,34.7,4.34,51.3,1.84,4.06,45.3,2.26,3,43.9,258.3,155.5,52,858,77.9,2.59,2.08,Matches
