Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Saad Abdul-Salaam/Saad-Abdul-Salaam,us USA,DF,NYCFC,26,1991,3,0,0,0,0.33,0,0,0,0.11,0,0,,0.03,0.03,0.12,-0.03,-0.03,Matches
2,Mohammed Abu/Mohammed-Abu,gh GHA,MFDF,Columbus,26,1991,1.1,0,0,0,0.91,0,0,0,0.85,0,0,,0,0,0.03,0,0,Matches
3,Lalas Abubakar/Lalas-Abubakar,gh GHA,DF,Columbus,23,1994,19.7,0.05,0,0,0.41,0.1,0,25,0.02,0.01,0.13,0.5,0.05,0.05,0.11,0.01,0.01,Matches
4,David Accam/David-Accam,gh GHA,FWMF,Philadelphia,27,1990,13.5,0.07,0,0,2.74,0.96,0.15,35.1,0.2,0.07,0.03,0.08,0.24,0.24,0.09,-0.17,-0.17,Matches
5,Danilo Acosta/Danilo-Acosta,us USA,DF,Real Salt Lake,20,1997,10,0,0,0,0.3,0.2,0,66.7,0.03,0.02,0,0,0.03,0.03,0.09,-0.03,-0.03,Matches
6,Kellyn Acosta/Kellyn-Acosta,us USA,MFFW,FC Dallas,22,1995,7.5,0.13,0,0,1.2,0.27,0,22.2,0.16,0.04,0.11,0.5,0.17,0.17,0.14,-0.04,-0.04,Matches
7,Kellyn Acosta/Kellyn-Acosta,us USA,MFFW,Colorado,22,1995,11.5,0.17,0,0.09,1.74,0.43,0.26,25,0.15,0.04,0.1,0.4,0.18,0.12,0.07,-0.01,0.05,Matches
8,Luciano Acosta/Luciano-Acosta,ar ARG,MF,D.C. United,23,1994,30.5,0.33,0,0,2,0.82,0.07,41,0.07,0.03,0.16,0.4,0.17,0.17,0.09,0.15,0.15,Matches
9,Mo Adams/Mo-Adams,eng ENG,MF,Chicago,21,1996,9.8,0,0,0,0.1,0,0,0,0.01,0,0,,0,0,0.02,0,0,Matches
10,Tyler Adams/Tyler-Adams,us USA,MF,NY Red Bulls,18,1999,25.9,0,0,0,0.46,0.04,0.04,8.3,0.02,0,0,0,0.04,0.04,0.1,-0.04,-0.04,Matches
11,Fanendo Adi/Fanendo-Adi,ng NGA,FW,Portland,27,1990,9.1,0.33,0,0,2.64,1.1,0,41.7,0.29,0.12,0.13,0.3,0.47,0.47,0.18,-0.14,-0.14,Matches
12,Bismark Adjei-Boateng/Bismark-Adjei-Boateng,gh GHA,MFDF,Colorado,23,1994,13.7,0.07,0,0,0.95,0.29,0,30.8,0.07,0.02,0.08,0.25,0.04,0.04,0.04,0.04,0.04,Matches
