"Player" "Pos" "shots" "KP" "xG" "xA" "xPlace" "ShotDist" "KPDist" "A3Passes" "M3Passes" "D3Passes" "percChain" "xGChain" "xB" "Team" "ShotChainPerc" "KPChainPerc" "xBperc" "Vertical" "PassPct" "PassDistance" "xPassPerc" "Passes" "PassScore" "A3perc" "M3perc" "D3perc" "xGper" "xAper" "teamA3pass" "teamM3pass" "teamD3pass" "teampass" "teamxG" "teamshots" "A3teamperc" "M3teamperc" "D3teamperc" "passteamperc" "xGteamperc" "shotteamperc" "SuccDrib" "AttDrib" "PlayerDrib" "Carries" "CarryPrgDis" "TB" "PressPass" "SwPass" "Crs" "npxG" "targeted" "miscontrol" "passprg" "penCrs" "shortpasspct" "medpasspct" "longpasspct"
"Ezequiel Barco" "Wing" 1.00717835450028 2.06736609607951 0.151264438397752 0.205773854592671 0.0233446027577447 17.5344005202961 22.4578301190792 28.3600220872446 26.2926559911651 1.98058252427184 0.232571525355578 1.4084537539371 1.14112867400293 "ATL" 0.0344827586206897 0.083743842364532 0.810199604220653 -0.856842105263158 0.820657276995305 16.2454219437833 0.816524572497312 56.4549972390944 0.233311821024173 0.502347417840376 0.465727699530517 0.0350825014813801 0.150186347553908 0.099534308404735 4305 8726 4626 17657 1.499 11.529 0.00658769386463289 0.00301313958184335 0.000428141488169442 0.00319731535589819 37.6617726745126 4.89678178845471 1.73 3.09 1.78 54.5 219.8 0.26 5.6 2.15 1.15 "0.16" 58.4 1.78 180.7 0.21 0.0280858676207513 0.769230769230769 0.203935599284436
"Victor Vazquez" "CM" 1.34579439252336 1.92256341789052 0.186521551573862 0.211607249423593 0.0283157894150049 19.9895291811932 21.7826430925462 25.4419225634179 32.6194926568758 4.5549964054637 0.202264980758659 1.32703649252847 1.05860024727874 "TOR" 0.0567514677103718 0.0704500978473581 0.79771751058762 1.3949544863459 0.791152263374486 19.2989149115506 0.794201439993893 62.2910547396529 -0.189936427710369 0.408436213991769 0.523662551440328 0.0731244064577398 0.138595875127801 0.110065159596022 4540 9672 4990 19202 1.316 10.529 0.00560394770119337 0.00337256954682339 0.000912824930954649 0.00324398785228897 47.3336282216207 5.91614158416306 0.57 1.45 0.63 56 112.7 0.44 10.4 2.64 1.76 "0.18" 65.9 1.26 271.3 0.25 0.0389885807504078 0.67862969004894 0.282218597063622
"Marco Delgado" "CM" 0.548571428571429 0.914285714285714 0.0836585632278246 0.0997461650044198 -0.0304252716601905 17.3579567000019 21.4433052640741 15.9085714285714 41.8285714285714 7.90857142857143 0.22437680515441 1.09041733819337 0.977714723004916 "TOR" 0.0164765525982256 0.026615969581749 0.896642678687422 2.08373423044575 0.827994428969359 17.1105122661857 0.834661510723713 65.6457142857143 -0.437665343965802 0.24233983286908 0.637186629526462 0.120473537604457 0.152502589217388 0.109097367973584 4540 9672 4990 19202 1.316 10.529 0.00350409062303335 0.004324707550514 0.00158488405382193 0.00341869150534915 49.8827616152844 6.2347529951291 0.86 1.14 0.95 56.8 117.3 0.09 11.5 1.68 1 "0.08" 61.9 1.68 285.1 0.09 0.0288956127080182 0.786686838124054 0.183055975794251
"Tomas Martinez" "CAM" 2.05607476635514 1.64485981308411 0.173301152547501 0.16114766971796 0.0470972045491963 22.9087430651606 21.5441360400931 18.5078369905956 25.6448598130841 2.67025572005384 0.21147561682885 1.21029374320756 0.955358357654812 "HOU" 0.0803108808290155 0.0686528497409326 0.789360734132928 2.52829207920792 0.814516129032258 19.3828224712091 0.804481479340804 46.3551401869159 0.465157593173961 0.399261806047123 0.553225806451613 0.0576043068640647 0.0842873787390119 0.0979704582944417 3482 7961 4046 15489 1.333 10.853 0.00531528919890741 0.00322131136956213 0.000659974226409748 0.00299277811265517 34.7750489024125 4.27118217883681 1.77 2.73 1.92 48.4 131.4 0.37 7.31 1.44 1.22 "0.22" 52.3 1.85 189.3 0.15 0.024235807860262 0.689956331877729 0.283842794759825
"Miguel Almiron" "CAM" 3.54591663842765 1.52897322941376 0.346772847425406 0.265690421488018 0.0180725938421625 22.2071658807774 18.8308557565531 27.8468315825144 21.9586580820061 3.48137108792847 0.201470271208383 1.50262856026693 0.952884802276427 "ATL" 0.138646288209607 0.0786026200873362 0.634145275467916 0.878974461292897 0.781172069825436 18.6077132399754 0.778463849138835 52.1802778719078 0.141315707965285 0.533665835411472 0.420822942643392 0.0667181400695976 0.0977949801942253 0.173770486217008 4305 8726 4626 17657 1.499 11.529 0.00646848584959684 0.00251646322278319 0.000752566166867374 0.0029552176401375 34.8100586203521 4.52600207059657 2.32 4.08 2.55 56.3 280.6 0.42 5.52 1.83 1.57 "0.37" 60.4 2.65 210.1 0.52 0.0338888888888889 0.698148148148148 0.266666666666667
"Michael Bradley" "CM" 0.221489782465392 0.727752142386289 0.0136341002383041 0.0638925943252399 -0.00689646148474654 24.9860238651106 25.018779962953 9.7224043715847 52.8094924192485 23.4146341463415 0.270142933883607 1.01032309543297 0.929113651909604 "TOR" 0.00894700619408121 0.024776324845148 0.919620323547523 5.13314157399487 0.870115370301451 20.5330048066481 0.836295397188979 85.0204350692156 2.87538882805159 0.114353735824448 0.621138816524004 0.275400074432453 0.0615563394687718 0.0877944434704609 4540 9672 4990 19202 1.316 10.529 0.00214149876026095 0.00546003850488508 0.00469231145217265 0.00442768644251722 64.6051938215924 8.07488223660515 0.41 0.69 0.47 65.5 174.6 0.22 11.8 2.68 0.51 "0.02" 67.4 0.57 512.2 0 0.00930506478209658 0.691401648998822 0.299175500588928
"Haris Medunjanin" "CDM" 0.863244660921693 1.29486699138254 0.0389245182494779 0.148937897026287 0.0333046619765371 29.5055975875748 20.1170936043716 12.0494567253653 49.5646309479206 15.2146871487448 0.274356712070487 1.14609284292544 0.928217713690412 "PHI" 0.0378854625550661 0.0502202643171806 0.809897487293527 4.76308972911964 0.829588014981273 21.8311255937719 0.807174542519414 76.8287748220307 1.72199962875199 0.156835205992509 0.645131086142323 0.198033707865168 0.0450909458367433 0.115021772906007 3993 8828 4226 17047 1.124 10.176 0.00301764506019667 0.00561448017081112 0.00360025725242423 0.00450687949915121 68.3530025107035 7.54999752574987 0.96 1.17 1 59.9 140.5 0.07 7.65 3.91 0.92 "0.09" 62.2 0.57 442.8 0.14 0.00988142292490118 0.620553359683794 0.368906455862978
"Ilie Sanchez" "CM" 0.756134504695547 1.30869433504998 0.0317862276279888 0.0776889667488278 -0.0160335348605887 28.3181039366963 27.13305826584 11.1384428960921 46.2405331717661 13.028779157831 0.240067980329237 1.00066243853159 0.918617152355195 "SKC" 0.0338345864661654 0.0368421052631579 0.918009027802833 3.91813075060533 0.852953325072284 20.6687021625408 0.837241139344468 70.4077552256892 1.10625972678466 0.158199091284593 0.656753407682775 0.185047501032632 0.0420377954326887 0.0593637220458059 5093 9163 4487 18743 1.269 13.618 0.00218701018969018 0.00504644037670699 0.00290367264493671 0.00375648269891102 55.482864638053 5.17019791641131 0.59 0.91 0.62 55.4 184 0.12 11.9 2.5 0.06 "0.04" 61.2 0.5 339.6 0.09 0.0136044880785414 0.680224403927069 0.305750350631136
"Maximiliano Moralez" "CAM" 2.22805247225025 2.19576185671039 0.275071779427686 0.23190485077392 -0.0258483533194692 19.5625095099104 20.9210260897707 23.765893037336 40.460141271443 6.1029263370333 0.212329469800556 1.22262368304802 0.886259955832073 "NYC" 0.0610820244328098 0.0898778359511344 0.724883680988914 2.15721062052506 0.76951331496786 20.0776627868513 0.773298541862172 70.3289606458123 -0.266211073285511 0.337924701561065 0.575298438934803 0.0867768595041322 0.123458393755814 0.105614755108895 4014 10051 6099 20164 1.37 12.294 0.00592075063212157 0.00402548415793881 0.00100064376734437 0.00348784768130392 51.3350077706659 5.72059221130733 1.34 2.33 1.47 62.3 179.2 0.83 11.2 3.55 2.24 "0.32" 71.8 1.53 342.9 0.42 0.0376453488372093 0.654069767441861 0.308139534883721
"Jonathan dos Santos" "CM" 0.332344213649852 0.712166172106825 0.0434205197138281 0.0629219872614366 0.0200237891886269 17.8477176374521 24.0215337972277 14.813056379822 44.3442136498516 11.5845697329377 0.237579507166291 0.940015037333307 0.875514696574404 "LAG" 0.0145118733509235 0.0329815303430079 0.931383713879852 3.15702380952381 0.873825503355705 18.7159197030542 0.84145041372152 70.7418397626113 2.29027340320168 0.209395973154363 0.626845637583892 0.163758389261745 0.130649242353215 0.0883529571129339 3623 8288 4178 16089 1.216 9.382 0.00408861616887165 0.00535041187860179 0.00277275484273281 0.00439690718892481 58.1758550679369 7.5401662505448 1.98 2.64 2.12 62.5 165.7 0.05 9.72 1.7 0.85 "0.03" 60.7 0.61 374.6 0.14 0.0223776223776224 0.731468531468531 0.244755244755245
