"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","extreme1","extreme2","plotnames"
"Haris","Medunjanin","Haris Medunjanin",2019,"PHI",3310,"CDM",551,0.697,0.636,33.2919552326202,6.04209713840658,22.0522199616783,4.6979296875,595.008,15.980664652568,0.696914700544465,0.636493729160399,0.965567281671161,6.04209713840658,22.0522199616783,4.6979296875,87,226,"Medunjanin"
"Ilsinho","Ilsinho","Ilsinho",2019,"PHI",1187,"Wing",384,0.836,0.749,33.2835021056235,8.66757867333945,14.8327124663484,-1.25210280373832,357,31.0564448188711,0.8359375,0.749261713266606,2.69184178781791,8.66757867333945,14.8327124663484,-1.25210280373832,364,506,"Ilsinho"
"Magnus","Eriksson","Magnus Eriksson",2019,"SJE",3006,"CAM",834,0.731,0.693,31.9735535606742,3.83375941974511,16.3901759708863,1.15075409836066,450,26.6347305389222,0.731414868105516,0.693077273908065,1.02111149095966,3.83375941974511,16.3901759708863,1.15075409836066,212,306,"Eriksson"
"Jamiro","Monteiro","Jamiro Monteiro",2019,"PHI",2187,"CAM",463,0.806,0.741,30.0416071861982,6.48846807477284,15.8422140531869,3.15186327077748,569.2,20.323731138546,0.805615550755939,0.740730870008211,1.31869880652722,6.48846807477284,15.8422140531869,3.15186327077748,338,454,"Monteiro"
"Kelvin","Leerdam","Kelvin Leerdam",2019,"SEA",2543,"FB/WB",442,0.771,0.706,29.051687579602,6.57277999538507,15.8296987704998,-0.896055718475073,600,16.6858041683052,0.771493212669683,0.705765412715833,1.09672119844349,6.57277999538507,15.8296987704998,-0.896055718475073,241,392,"Leerdam"
"Darlington","Nagbe","Darlington Nagbe",2019,"ATL",2946,"CM",387,0.92,0.846,28.6534867286682,7.40400173867396,16.666292257283,2.81717696629213,665.5,12.6109979633401,0.919896640826873,0.845856623440134,0.93371850846984,7.40400173867396,16.666292257283,2.81717696629213,547,542,"Nagbe"
"Nani","Nani","Nani",2019,"ORL",2447,"Wing",663,0.707,0.671,24.400340475142,3.68029268101689,17.1966771007966,0.107153518123668,2486.25,26.0106252554148,0.707390648567119,0.67058772175695,0.957267137561763,3.68029268101689,17.1966771007966,0.107153518123668,151,250,"Nani"
"Cristian","Roldan","Cristian Roldan",2019,"SEA",2716,"CDM",400,0.785,0.727,23.1837780866772,5.79594452166931,18.3825453024697,3.1603025477707,596.542,14.1384388807069,0.785,0.727040554783307,0.819456073755896,5.79594452166931,18.3825453024697,3.1603025477707,293,414,"Roldan"
"Jonathan","dos Santos","Jonathan dos Santos",2019,"LAG",2721,"CDM",399,0.714,0.657,22.7024515196681,5.68983747360103,18.7000186233267,2.98838596491228,2000,14.077177508269,0.714285714285714,0.657387339549704,0.800968521090827,5.68983747360103,18.7000186233267,2.98838596491228,119,259,"Santos"
"Albert","Rusnak","Albert Rusnak",2019,"RSL",2615,"CAM",471,0.754,0.708,21.6615796908736,4.59906150549334,19.6017229147243,-0.365084507042254,2001.667,17.2910133843212,0.753715498938429,0.707724883883496,0.795224340468019,4.59906150549334,19.6017229147243,-0.365084507042254,246,361,"Rusnak"
"Jorge","Villafana","Jorge Villafana",2019,"POR",2101,"FB/WB",318,0.73,0.663,21.2296905815601,6.67600332753463,18.0019706772074,-0.781206896551724,617.5,14.5302237029986,0.729559748427673,0.662799715152327,0.97003821791041,6.67600332753463,18.0019706772074,-0.781206896551724,138,298,"Villafana"
"Jorge","Moreira","Jorge Moreira",2019,"POR",2435,"FB/WB",526,0.702,0.662,20.6359510263428,3.92318460576859,19.591398262438,-3.32970189701897,607.955,20.7375770020534,0.701520912547528,0.662289066489843,0.813573428553967,3.92318460576859,19.591398262438,-3.32970189701897,137,238,"Moreira"
"Diego","Valeri","Diego Valeri",2019,"POR",2810,"CAM",828,0.652,0.628,19.7431194745004,2.38443471914256,20.5319261752254,0.785620370370371,2420,28.2875444839858,0.652173913043478,0.628329565852053,0.674498031869052,2.38443471914256,20.5319261752254,0.785620370370371,75,136,"Valeri"
"Sebastian","Lletget","Sebastian Lletget",2019,"LAG",2463,"CM",463,0.756,0.714,19.5629558712244,4.22526044734869,15.4887749781815,1.20585714285714,312.667,18.0462850182704,0.755939524838013,0.713686920364526,0.762502543092791,4.22526044734869,15.4887749781815,1.20585714285714,259,365,"Lletget"
"Reggie","Cannon","Reggie Cannon",2019,"FCD",2468,"FB/WB",330,0.8,0.742,19.2185353189707,5.82379858150627,15.8165326094989,-2.630625,80.25,12.8363047001621,0.8,0.741762014184937,0.747560531045861,5.82379858150627,15.8165326094989,-2.630625,342,444,"Cannon"
"Djordje","Mihailovic","Djordje Mihailovic",2019,"CHI",1545,"CAM",241,0.743,0.664,18.9240181222558,7.85228967728456,19.1732246681755,0.979748603351956,111,14.9747572815534,0.742738589211618,0.664215692438773,1.17586132021784,7.85228967728456,19.1732246681755,0.979748603351956,140,327,"Mihailovic"
"Alejandro","Bedoya","Alejandro Bedoya",2019,"PHI",3060,"CM",572,0.797,0.764,18.7547163963318,3.27879657278528,14.999928633129,-1.42236842105263,1266.25,17.9450980392157,0.797202797202797,0.764414831474944,0.588383259492762,3.27879657278528,14.999928633129,-1.42236842105263,421,438,"Bedoya"
"Oscar","Boniek Garcia","Oscar Boniek Garcia",2019,"HOU",2773,"CDM",333,0.823,0.767,18.4578702971339,5.54290399313331,15.9155484844325,2.11574817518248,183,11.5283086909484,0.822822822822823,0.76739378289149,0.639003082771315,5.54290399313331,15.9155484844325,2.11574817518248,430,487,"Garcia"
"Auro","Auro","Auro",2019,"TOR",2000,"FB/WB",427,0.81,0.769,17.665755033493,4.13717916475247,14.9909689746109,-3.0574710982659,276.667,20.496,0.810304449648712,0.768932658001187,0.847956241607666,4.13717916475247,14.9909689746109,-3.0574710982659,436,462,"Auro"
"Alejandro","Pozuelo","Alejandro Pozuelo",2019,"TOR",2679,"CAM",937,0.716,0.697,17.5938805770129,1.87768202529487,17.4714301794916,0.792488822652757,3800,33.5767077267637,0.716115261472785,0.697338441219837,0.630463805671236,1.87768202529487,17.4714301794916,0.792488822652757,218,268,"Pozuelo"
"Lee","Nguyen","Lee Nguyen",2019,"LAFC",1286,"CM",350,0.849,0.799,17.4661957994103,4.99034165697438,14.4132781282338,1.1647138047138,530,26.1275272161742,0.848571428571429,0.798668012001685,1.30385287460606,4.99034165697438,14.4132781282338,1.1647138047138,500,520,"Nguyen"
"Jordan","Harvey","Jordan Harvey",2019,"LAFC",2510,"FB/WB",373,0.858,0.812,17.3044581580907,4.63926492174014,15.3199568389683,-3.1553125,165,14.2661354581673,0.857908847184987,0.811516197967585,0.661843817998689,4.63926492174014,15.3199568389683,-3.1553125,522,527,"Harvey"
"Jorgen","Skjelvik","Jorgen Skjelvik",2019,"LAG",1810,"FB/WB",271,0.793,0.732,16.6172966435552,6.13184377990966,14.8876114914551,-3.04937209302326,1066.667,14.3734806629834,0.793357933579336,0.732039495780239,0.881359379989667,6.13184377990966,14.8876114914551,-3.04937209302326,311,431,"Skjelvik"
"Rolf","Feltscher","Rolf Feltscher",2019,"LAG",2331,"FB/WB",428,0.696,0.658,16.5859693121165,3.87522647479358,16.0146874540328,-0.949328859060403,242.65,17.6267696267696,0.696261682242991,0.657509417495055,0.68307724322745,3.87522647479358,16.0146874540328,-0.949328859060403,120,224,"Feltscher"
