"Team","Season","Games","PassF","PctF","xPctF","ScoreF","Per100F","VertF","PassA","PctA","xPctA","VertA","ScoreA","Per100A","ScoreDiff","VertDiff","Gini18","Comp"
"TOR",2019,34,5102,0.768,0.743,127.566,2.5,-1.093,3459,0.7,0.701,-0.747,-0.924,-0.027,128.49,-0.346,0.724,22193619
"LAFC",2019,34,5003,0.746,0.733,64.599,1.291,-0.083,2850,0.674,0.69,-0.425,-47.065,-1.651,111.664,0.341,0.657,14439693
"LAG",2019,34,4427,0.714,0.688,116.755,2.637,0.5,4095,0.724,0.716,-0.415,33.421,0.816,83.334,0.915,0.633,18514139
"SJE",2019,34,4358,0.731,0.713,79.335,1.82,-0.654,3175,0.683,0.684,0.837,-2.024,-0.064,81.359,-1.491,0.353,9161431
"RSL",2019,34,3314,0.737,0.729,26.789,0.808,-0.726,3617,0.675,0.689,-0.254,-50.374,-1.393,77.163,-0.472,0.447,10832522
"PHI",2019,34,4763,0.751,0.73,102.844,2.159,-0.941,3320,0.707,0.699,0.206,27.28,0.822,75.564,-1.147,0.518,8959605
"NYC",2019,34,3463,0.692,0.692,0.76,0.022,0.271,3119,0.659,0.681,0.137,-68.777,-2.205,69.538,0.134,0.433,10051253
"POR",2019,34,4463,0.713,0.692,95.922,2.149,0.109,3990,0.703,0.691,0.045,47.126,1.181,48.796,0.064,0.477,11786333
"MTL",2019,34,3711,0.731,0.726,19.745,0.532,-1.353,3363,0.7,0.709,-0.665,-28.929,-0.86,48.674,-0.688,0.624,12139404
"SEA",2019,34,4232,0.728,0.707,88.451,2.09,-0.691,4295,0.737,0.722,-0.403,65.827,1.533,22.624,-0.288,0.448,12621163
"FCD",2019,34,3466,0.722,0.705,56.891,1.641,-1.33,3817,0.718,0.708,-0.454,39.851,1.044,17.039,-0.876,0.344,8730844
"CHI",2019,34,3936,0.711,0.701,40.011,1.017,-0.414,3853,0.732,0.725,-1.1,24.5,0.636,15.511,0.685,0.638,16907430
"HOU",2019,34,3510,0.719,0.704,53.553,1.526,-0.717,3805,0.735,0.717,-0.848,67.813,1.782,-14.26,0.131,0.404,7665634
"ORL",2019,34,3985,0.732,0.72,49.317,1.238,-0.723,4796,0.734,0.719,-0.535,73.073,1.524,-23.757,-0.188,0.508,11359974
"ATL",2019,34,4243,0.716,0.723,-29.025,-0.684,-0.755,3074,0.701,0.703,0.234,-3.568,-0.116,-25.457,-0.989,0.493,12670769
"CLB",2019,34,3482,0.683,0.692,-32.264,-0.927,-0.92,3686,0.702,0.703,-0.695,-4.73,-0.128,-27.535,-0.226,0.409,10400782
"CIN",2019,34,2755,0.684,0.693,-24.407,-0.886,-0.174,3938,0.707,0.702,-1.263,19.081,0.485,-43.489,1.088,0.426,10312162
"NYRB",2019,34,4407,0.662,0.679,-75.671,-1.717,1.526,3388,0.681,0.689,-0.027,-25.745,-0.76,-49.927,1.552,0.446,8301854
"SKC",2019,34,3855,0.703,0.705,-7.73,-0.201,-0.936,3401,0.719,0.706,-0.708,42.761,1.257,-50.492,-0.229,0.384,13013585
"MIN",2019,34,3425,0.67,0.673,-9.732,-0.284,0.079,4726,0.731,0.72,0.036,51.34,1.086,-61.072,0.043,0.392,9180564
"NER",2019,34,3669,0.684,0.69,-24.302,-0.662,0.761,3742,0.712,0.698,-0.428,55.22,1.476,-79.521,1.189,0.49,8930469
"DCU",2019,34,3309,0.707,0.706,5.061,0.153,-0.51,5116,0.736,0.713,-0.251,115.898,2.265,-110.837,-0.259,0.53,10571569
"COL",2019,34,3086,0.657,0.66,-11.339,-0.367,0.165,4464,0.734,0.711,-0.512,104.063,2.331,-115.401,0.676,0.503,8937176
"VAN",2019,34,2846,0.7,0.7,-1.784,-0.063,-0.418,5721,0.747,0.716,-0.585,176.224,3.08,-178.008,0.167,0.369,8000713
