Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
1,Brenden Aaronson/Brenden-Aaronson,us USA,MFFW,Philadelphia,18,2000,19,25.9,33.3,77.9,389,83.1,0.42,1.16,36.4,23.1,27.4,84.2,2.47,4.79,51.6,0.05,0.12,-0.06,1.37,1.11,1.21,0.37,3.05,Matches
2,Saad Abdul-Salaam/Saad-Abdul-Salaam,us USA,DF,Seattle,27,1991,11.9,36.9,46.3,79.7,731,271,0,0.92,0,28,32.1,87.2,8.91,13.3,67.1,0,0.06,-0.06,0.59,2.02,0.67,0.17,4.54,Matches
3,Lalas Abubakar/Lalas-Abubakar,gh GHA,DF,Colorado,24,1994,22,26.5,31,85.6,605.5,237.4,0.23,0.55,41.7,16.5,18,92.2,9.73,12.5,78.1,0,0,0,0.14,2.73,0.09,0,1.59,Matches
4,Lalas Abubakar/Lalas-Abubakar,gh GHA,DF,Columbus,24,1994,1,50,53,94.3,1170,447,0,0,,28,31,90.3,22,22,100,0,0,0,0,5,0,0,6,Matches
5,David Accam/David-Accam,gh GHA,FW,Philadelphia,28,1990,3.8,15.5,20,77.6,232.1,63.2,0.53,1.32,40,14.2,16.1,88.5,0.79,2.63,30,0.53,0.05,0.47,0.53,0.79,0.53,0.26,1.58,Matches
6,David Accam/David-Accam,gh GHA,FWMF,Columbus,28,1990,7.4,15.7,21.2,73.9,246.4,63.8,0.27,1.08,25,13.5,15.8,85.5,1.89,4.32,43.8,0.14,0.14,0,1.22,0.41,1.22,0.14,2.57,Matches
7,Bryan Acosta/Bryan-Acosta,hn HON,MF,FC Dallas,25,1993,23,61.3,71.8,85.3,1379,348.4,0.39,1.26,31,41,44.3,92.5,19.9,26.2,75.9,0.04,0.1,-0.06,0.96,6.35,0.35,0.09,5.7,Matches
8,Danilo Acosta/Danilo-Acosta,us USA,DF,Orlando City,21,1997,7.4,33.1,47.2,70.2,623.2,223.9,0.41,1.76,23.1,26.2,31.6,82.9,6.49,13.8,47.1,0,0.05,-0.05,0.41,2.16,0.41,0.41,4.19,Matches
9,Kellyn Acosta/Kellyn-Acosta,us USA,MF,Colorado,23,1995,29.1,28.1,34.9,80.6,522.5,158.4,0.31,0.93,33.3,21.7,25.1,86.6,6.12,8.9,68.7,0.03,0.08,-0.04,0.65,3.23,0.41,0.07,3.71,Matches
10,Luciano Acosta/Luciano-Acosta,ar ARG,MFFW,D.C. United,24,1994,23.6,42.7,57.5,74.3,767.8,251.6,0.55,2.25,24.5,33.6,41,81.9,8.52,14.2,60,0.04,0.12,-0.08,1.27,5.76,1.99,0.42,6.91,Matches
11,Mo Adams/Mo-Adams,eng ENG,DFMF,Atlanta,22,1996,1,51,59,86.4,966,387,0,3,0,43,47,91.5,8,9,88.9,0,0.1,-0.1,1,3,0,0,9,Matches
12,Mo Adams/Mo-Adams,eng ENG,MF,Chicago,22,1996,5.4,31.1,36.3,85.7,496.5,120.6,0.74,1.3,57.1,26.5,29.1,91.1,3.89,5.93,65.6,0,0.07,-0.07,1.11,2.22,0,0,2.04,Matches
13,Fanendo Adi/Fanendo-Adi,ng NGA,FW,FC Cincinnati,28,1990,7.8,15.4,20.5,75,238.5,30.1,0.64,1.03,62.5,12.7,16.7,76.2,2.05,2.82,72.7,0,0.01,-0.01,0.51,0.51,0.38,0,1.15,Matches
14,Ali Adnan Kadhim/Ali-Adnan-Kadhim,iq IRQ,DF,Vancouver,25,1993,26.8,41.2,54.2,76,783.7,303.2,0.22,1.34,16.7,32.7,37.8,86.6,8.32,15.1,55.1,0.11,0.07,0.04,0.86,2.69,0.97,0.41,6.64,Matches
15,François Affolter/Francois-Affolter,ch SUI,DF,San Jose,27,1991,1,51,54,94.4,1168,350,0,1,0,34,35,97.1,17,18,94.4,0,0,0,0,0,0,0,3,Matches
16,Harrison Afful/Harrison-Afful,gh GHA,DF,Columbus,32,1986,21.1,44.1,56.2,78.6,824.3,340.9,0.33,1.09,30.4,34.6,39.7,87.2,9.15,15.4,59.6,0.09,0.07,0.03,0.76,3.6,1.09,0.33,6.45,Matches
17,Juan Agudelo/Juan-Agudelo,us USA,MFFW,New England,26,1992,21.7,29.2,36.8,79.4,477.1,124.5,0.65,1.66,38.9,24.8,29.9,82.9,3.78,5.21,72.6,0.05,0.1,-0.06,1.29,2.49,0.83,0.09,3.23,Matches
18,Tesho Akindele/Tesho-Akindele,ca CAN,FW,Orlando City,26,1992,20.8,21.7,27.5,78.7,332.7,55.4,0.43,1.11,39.1,19.1,23.1,82.7,2.12,3.32,63.8,0.05,0.08,-0.03,1.35,1.11,0.87,0.14,2.31,Matches
