,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Squad,# Pl,Cmp,PassAtt,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Squad,# Pl,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Squad,# Pl,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Squad,# Pl,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Squad,# Pl,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Squad,# Pl,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,28,41,2,2,325,110,13,33.8,10.83,3.67,0.12,0.35,37.7,36.1,0.11,3.3,2.9,Arsenal,28,13246,15956,83,258991,76555,190,562,33.8,9823,10901,90.1,3233,4493,72,28,37.7,-9.7,241,912,261,57,1215,Arsenal,28,15956,14439,1517,390,28,2965,423,570,184,56,60,29,11120,2284,2552,5106,9377,431,618,236,13246,52,241,226,412,Arsenal,28,512,17.07,371,45,39,31,26,60,2,44,3,2,8,3,0,Arsenal,28,488,304,264,165,59,167,492,33.9,325,4985,1322,26.5,1845,2152,988,481,122,2,359,257,768,8,Arsenal,28,55.1,19481,2337,6885,9224,4697,781,18024,345,581,59.4,369,25,13398,79511,45301,15267,13246,86.8,361,374,Arsenal,28,67,4,1,322,347,62,570,257,304,1,5,0,2435,370,449,45.2
Aston Villa,28,35,1,3,376,124,13,33,12.13,4,0.09,0.27,34.7,32.3,0.09,0.3,1.7,Aston Villa,28,9689,12839,75.5,202500,71559,171,495,34.5,6819,7995,85.3,2699,4349,62.1,28,34.7,-6.7,297,748,236,81,1138,Aston Villa,28,12839,11213,1626,440,16,2398,483,653,165,87,31,11,7412,2136,3291,4539,6478,578,649,218,9689,50,300,194,342,Aston Villa,28,618,19.94,449,68,34,24,42,60,1.94,42,5,5,4,3,1,Aston Villa,28,508,324,287,161,60,166,520,31.9,354,5006,1359,27.1,1858,2100,1048,618,199,4,419,348,841,24,Aston Villa,28,45.1,16646,2330,6231,6987,4514,671,15075,317,501,63.3,348,23,9745,63232,33448,11810,9689,82,352,367,Aston Villa,28,60,1,1,360,412,51,653,348,324,2,5,1,2779,561,620,47.5
Bournemouth,27,28,1,1,311,96,18,30.9,10.03,3.1,0.09,0.28,33.5,32.8,0.11,-5.5,-5.8,Bournemouth,27,10104,13352,75.7,198302,71180,196,597,32.8,7522,8829,85.2,2386,3926,60.8,18,33.5,-15.5,219,740,211,41,1136,Bournemouth,27,13352,11844,1508,382,36,2601,307,505,153,66,46,15,7674,2443,3235,3871,7501,724,635,213,10104,41,304,210,411,Bournemouth,27,457,14.74,322,55,25,22,32,44,1.42,26,3,3,6,5,1,Bournemouth,27,466,282,241,178,47,152,474,32.1,322,5585,1429,25.6,1882,2431,1272,578,148,3,430,398,1015,12,Bournemouth,27,45.2,17295,2330,6613,7337,4346,652,15818,292,533,54.8,323,20,10269,62266,32812,12336,10104,81.9,423,354,Bournemouth,27,67,3,2,293,321,52,505,398,282,1,3,0,2938,606,646,48.4
Brighton,25,30,1,2,389,122,11,31.4,12.55,3.94,0.07,0.24,36.2,34.7,0.09,-6.2,-5.7,Brighton,25,13467,16670,80.8,270863,87980,172,563,30.6,9903,11245,88.1,3392,4862,69.8,20,36.2,-16.2,280,933,264,70,1385,Brighton,25,16670,15173,1497,319,26,3129,541,574,146,49,54,31,10465,2891,3314,3380,11244,653,745,289,13467,49,299,280,425,Brighton,25,598,19.29,446,58,34,28,28,55,1.77,33,7,4,2,5,4,Brighton,25,559,345,279,203,77,182,535,34,353,4841,1481,30.6,1653,2033,1155,490,115,3,375,326,756,12,Brighton,25,54.6,20393,2310,7259,9086,5328,765,18935,296,498,59.4,311,17,13477,78550,40678,15869,13467,84.9,396,416,Brighton,25,51,2,1,314,260,53,574,326,345,2,2,2,2941,541,463,53.9
Burnley,22,33,2,2,299,96,16,32.1,9.97,3.2,0.1,0.32,33.4,31.9,0.11,-0.4,-0.9,Burnley,22,7465,10838,68.9,154304,61263,175,508,34.4,5244,6382,82.2,2046,3948,51.8,23,33.4,-10.4,197,593,146,58,930,Burnley,22,10838,9372,1466,331,18,2294,369,575,139,126,2,4,5188,1911,3739,3401,5436,594,686,191,7465,63,303,149,339,Burnley,22,416,13.87,286,52,20,29,28,47,1.57,32,5,3,5,1,1,Burnley,22,466,273,204,198,64,177,503,35.2,326,4802,1193,24.8,1413,2148,1241,554,146,2,408,302,990,4,Burnley,22,39.8,14421,1825,4593,6796,3721,503,12974,233,409,57,252,17,7647,43209,20977,9825,7465,76,322,288,Burnley,22,59,0,0,330,293,70,575,302,273,1,5,1,2808,732,700,51.1
Chelsea,27,53,4,4,497,167,19,33.6,16.57,5.57,0.1,0.29,51.6,48.6,0.1,1.4,0.4,Chelsea,27,16093,19182,83.9,312856,88857,285,644,44.3,11950,13349,89.5,3858,5189,74.3,37,51.6,-14.6,367,1131,348,79,1498,Chelsea,27,19182,17682,1500,326,32,3672,591,679,209,69,75,18,13275,2724,3183,3414,13992,559,716,197,16093,49,259,222,414,Chelsea,27,788,26.27,603,66,45,34,40,80,2.67,58,5,5,6,6,0,Chelsea,27,606,376,286,245,75,184,502,36.7,318,5065,1550,30.6,1434,2350,1281,457,81,2,376,364,751,7,Chelsea,27,60.5,22928,1918,6886,11118,6341,960,21467,392,600,65.3,421,9,16211,88156,47884,18492,16093,87,385,383,Chelsea,27,54,0,0,308,308,51,679,364,376,4,2,3,2965,517,510,50.3
Crystal Palace,24,26,3,3,294,92,10,31.3,9.48,2.97,0.08,0.25,29,26.8,0.09,-3,-3.8,Crystal Palace,24,9586,12679,75.6,186660,71732,232,567,40.9,7116,8343,85.3,2238,3769,59.4,18,29,-11,204,662,195,34,1090,Crystal Palace,24,12679,11096,1583,410,11,2646,335,442,142,85,39,7,7468,2090,3121,3009,7775,544,695,213,9586,45,277,232,362,Crystal Palace,24,414,13.35,271,49,43,18,31,48,1.55,31,3,4,2,6,2,Crystal Palace,24,596,350,334,206,56,203,527,38.5,324,5208,1386,26.6,2113,2153,942,560,134,3,426,371,877,10,Crystal Palace,24,43.7,16709,2093,6113,7527,4007,720,15146,368,599,61.4,391,18,9880,58143,30845,11767,9586,81.5,407,436,Crystal Palace,24,50,1,0,337,380,48,442,371,350,2,1,2,2836,592,599,49.7
Everton,23,36,0,0,404,137,17,33.9,13.03,4.42,0.09,0.26,43.9,43.9,0.11,-7.9,-7.9,Everton,23,10592,13888,76.3,224359,81666,145,545,26.6,7482,8792,85.1,2965,4551,65.2,27,43.9,-16.9,270,847,251,68,1401,Everton,23,13888,12313,1575,381,34,2466,494,693,181,76,75,17,8085,2433,3370,3846,7960,658,720,213,10592,41,315,237,450,Everton,23,585,18.87,388,74,37,48,36,53,1.71,35,4,4,8,0,2,Everton,23,639,355,310,234,95,217,616,35.2,399,5109,1396,27.3,1655,2257,1197,454,92,1,362,339,838,6,Everton,23,49.3,17736,2077,5932,8049,4786,770,16191,326,524,62.2,355,26,10584,64112,33924,12975,10592,81.6,406,393,Everton,23,62,3,3,374,315,51,693,339,355,0,1,2,2992,679,701,49.2
Leicester City,21,57,5,7,425,149,16,35.1,13.71,4.81,0.12,0.35,48.7,43.3,0.11,8.3,8.7,Leicester City,21,14001,17086,81.9,268888,83834,215,603,35.7,10612,11919,89,3174,4564,69.5,42,48.7,-6.7,314,990,265,57,1364,Leicester City,21,17086,15522,1564,400,54,2878,455,621,181,46,85,15,11432,2634,3020,3840,11432,562,717,219,14001,48,298,246,421,Leicester City,21,685,22.1,491,66,49,32,45,99,3.19,76,5,7,2,7,2,Leicester City,21,638,395,315,241,82,246,674,36.5,428,5400,1657,30.7,1793,2420,1187,486,90,2,396,343,862,10,Leicester City,21,57.4,20998,1975,6645,10072,5518,835,19491,343,573,59.9,372,18,13764,76797,42151,16188,14001,86.5,381,408,Leicester City,21,36,1,1,330,367,56,621,343,395,6,7,0,2828,546,468,53.8
