"First","Last","Player","Season","Team","Games","Minutes","Pos","NumChains/96","TeamChain%","ChainShot%","PlayerShot%","PlayerKP%","xB/96","xGChain/96","xB%","xB% (0)","Comp ($K)"
"Kevin","Kratz","Kevin Kratz",2019,"ATL",1,3,"CDM",64,0.688172043010753,0.5,0,0,2.14757066851323,2.14757066851323,1,1,222.75
"Abdul","Rwatubyaye","Abdul Rwatubyaye",2019,"SKC",2,176,"CB",31.0909090909091,0.252771618625277,0.210526315789474,0.0350877192982456,0,1.23692539840151,1.24599931259488,0.992717560835187,1,62.625
"Mohamed","El-Munir","Mohamed El-Munir",2019,"LAFC",15,658,"FB/WB",35.306990881459,0.321557294002359,0.305785123966942,0.0454545454545455,0.0330578512396694,1.17888157570042,1.25206563740087,0.941549340933617,0.970363417600827,202.833
"Amando","Moreno","Amando Moreno",2019,"CHI",6,101,"sub",19.960396039604,0.229870203910986,0.523809523809524,0.285714285714286,0.0476190476190476,1.15260514158918,2.08852497658748,0.551875201163485,0.0503953062571321,72.75
"Eduard","Atuesta","Eduard Atuesta",2019,"LAFC",30,2823,"CM",43.9022316684378,0.25529500873292,0.221533694810225,0.0333075135553834,0.0371804802478699,1.12015806176896,1.26587544615357,0.884888055276387,0.920464927599784,493
"Lee","Nguyen","Lee Nguyen",2019,"LAFC",23,1286,"CM",35.8320373250389,0.284283152285579,0.279166666666667,0.0375,0.0666666666666667,1.0837242210781,1.27420606251276,0.85050939009109,0.901044328748764,530
"Chris","Odoi-Atsem","Chris Odoi-Atsem",2019,"DCU",3,150,"FB/WB",29.44,0.23552,0.152173913043478,0,0,1.06745037251255,1.06745037251255,1,1,56.25
"Mark-Anthony","Kaye","Mark-Anthony Kaye",2019,"LAFC",31,2676,"CM",39.5336322869955,0.241819771289831,0.235934664246824,0.0317604355716878,0.044464609800363,1.03320512568917,1.27134130453771,0.812689025363547,0.726051421903283,177.811
"Andre","Horta","Andre Horta",2019,"LAFC",4,198,"CM",35.8787878787879,0.281402257872846,0.27027027027027,0.0540540540540541,0.027027027027027,1.00366579912988,1.10019027487547,0.912265652633125,0.964003326427134,1277.5
"Michael","Bradley","Michael Bradley",2019,"TOR",27,2544,"CDM",43.9245283018868,0.282371967654987,0.178694158075601,0.0189003436426117,0.0206185567010309,0.99994050153471,1.050866424436,0.951539109331977,0.968957616773291,6500
"Ilsinho","Ilsinho","Ilsinho",2019,"PHI",28,1187,"Wing",32.0269587194608,0.244214282174538,0.257575757575758,0.0580808080808081,0.0707070707070707,0.968452719698403,1.30981630242135,0.739380566502421,0.861803332331732,357
"Marcos","Lopez","Marcos Lopez",2019,"SJE",18,1227,"FB/WB",34.4254278728606,0.22815084746373,0.238636363636364,0.0227272727272727,0.0340909090909091,0.947347231968286,1.05625422160949,0.89689320296845,0.931153311380563,387.75
"Jonathan","dos Santos","Jonathan dos Santos",2019,"LAG",29,2721,"CDM",38.4917309812569,0.254331327969116,0.210815765352887,0.0128322639780018,0.0339138405132906,0.944651306343646,1.02681460167291,0.919982346184596,0.898735691142853,2000
