"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","extreme1","extreme2","plotnames"
"Reto","Ziegler","Reto Ziegler",2019,"FCD",3148,"CB",1148,0.884,0.824,69.3734802752733,6.04298608669628,22.4014856688495,6.16026108374384,870,35.0088945362135,0.884146341463415,0.823716480596452,2.11558262592955,6.04298608669628,22.4014856688495,6.16026108374384,341,495,"Ziegler"
"Matt","Hedges","Matt Hedges",2019,"FCD",3146,"CB",1067,0.874,0.828,49.3864300474525,4.62853140088589,22.1316639202745,6.25844051446945,575.008,32.5594405594406,0.874414245548266,0.828128931539407,1.50702393024648,4.62853140088589,22.1316639202745,6.25844051446945,358,481,"Hedges"
"Maxime","Chanot","Maxime Chanot",2019,"NYC",3053,"CB",1029,0.872,0.827,45.9823622815311,4.46864550840924,21.9171274616142,4.36371794871795,650,32.3563707828366,0.871720116618076,0.827033661533983,1.44589150967147,4.46864550840924,21.9171274616142,4.36371794871795,353,476,"Chanot"
"Bastian","Schweinsteiger","Bastian Schweinsteiger",2019,"CHI",2870,"CB",667,0.882,0.822,39.8041081167757,5.9676324013157,23.1034623736637,6.50747448979592,5600,22.3108013937282,0.881559220389805,0.821882896376648,1.33142661296532,5.9676324013157,23.1034623736637,6.50747448979592,333,491,"Schweinsteiger"
"Jack","Elliott","Jack Elliott",2019,"PHI",3310,"CB",773,0.806,0.759,36.0300899087451,4.66107243321412,24.430704201327,8.52181380417336,265,22.419335347432,0.805950840879689,0.759340116547548,1.04498145958898,4.66107243321412,24.430704201327,8.52181380417336,171,329,"Elliott"
"Guram","Kashia","Guram Kashia",2019,"SJE",2071,"CB",689,0.864,0.812,35.6569050978869,5.17516764845964,24.3464727446361,7.5526974789916,590,31.938194109126,0.863570391872279,0.811818715387682,1.65285508903773,5.17516764845964,24.3464727446361,7.5526974789916,306,466,"Kashia"
"Eddie","Segura","Eddie Segura",2019,"LAFC",3182,"CB",911,0.87,0.834,33.391358403489,3.66535218479572,20.229276303694,6.33602143757881,212,27.4846008799497,0.870472008781559,0.833818486933601,1.00740741883562,3.66535218479572,20.229276303694,6.33602143757881,377,475,"Segura"
"Florian","Jungwirth","Florian Jungwirth",2019,"SJE",2886,"CB",943,0.897,0.863,32.4541261158883,3.44158283307405,23.2313646975477,3.18289007092199,616.675,31.3679833679834,0.897136797454931,0.86272096912419,1.07955513067404,3.44158283307405,23.2313646975477,3.18289007092199,453,504,"Jungwirth"
"Erik","Godoy","Erik Godoy",2019,"VAN",2802,"CB",745,0.811,0.773,27.8124046251177,3.73320867451244,22.4721341270663,5.82520695364238,449.318,25.524625267666,0.810738255033557,0.773406168288433,0.952887524629301,3.73320867451244,22.4721341270663,5.82520695364238,198,341,"Godoy"
"Leandro","Gonzalez Pirez","Leandro Gonzalez Pirez",2019,"ATL",2879,"CB",735,0.849,0.812,27.3806736664846,3.72526172333124,22.6216283981415,5.35524038461539,810.008,24.5085098992706,0.848979591836735,0.811726974603422,0.913006138236375,3.72526172333124,22.6216283981415,5.35524038461539,303,437,"Pirez"
"Alexander","Callens","Alexander Callens",2019,"NYC",2352,"CB",791,0.817,0.782,27.2241040337831,3.44173249478926,20.752171386555,5.16467492260062,664,32.2857142857143,0.816687737041719,0.782270412093827,1.11118791974625,3.44173249478926,20.752171386555,5.16467492260062,224,356,"Callens"
"Matt","Besler","Matt Besler",2019,"SKC",2264,"CB",706,0.856,0.818,26.6541581349448,3.77537650636611,21.5557783036985,6.36060430463576,674.998,29.9363957597173,0.855524079320113,0.817770314256452,1.13021165236515,3.77537650636611,21.5557783036985,6.36060430463576,324,455,"Besler"
"Laurent","Ciman","Laurent Ciman",2019,"TOR",1338,"CB",391,0.91,0.843,26.2227023169398,6.7065734825933,23.2305664309827,5.72028089887641,435.625,28.0538116591928,0.910485933503836,0.843420198677903,1.88144949359209,6.7065734825933,23.2305664309827,5.72028089887641,413,518,"Ciman"
"Walker","Zimmerman","Walker Zimmerman",2019,"LAFC",2325,"CB",543,0.873,0.826,25.2448119502515,4.64913663908867,20.6084287016245,5.54183544303797,600,22.4206451612903,0.87292817679558,0.826436810404693,1.04236642891361,4.64913663908867,20.6084287016245,5.54183544303797,351,479,"Zimmerman"
"Daniel","Steres","Daniel Steres",2019,"LAG",2806,"CB",625,0.851,0.812,24.2031954862177,3.87251127779483,22.5748834258154,7.36216165413534,155.5,21.3827512473272,0.8512,0.812474887222052,0.828049453555559,3.87251127779483,22.5748834258154,7.36216165413534,310,443,"Steres"
"Diego","Polenta","Diego Polenta",2019,"LAG",2714,"CB",558,0.851,0.81,23.1042109150439,4.14053959050966,19.8068155972086,6.17562105263158,777.276,19.7376565954311,0.851254480286738,0.809849084381642,0.817245485572666,4.14053959050966,19.8068155972086,6.17562105263158,300,444,"Polenta"
