"First","Last","Player","Team","Season","Min","Pos","Shots","SoT","Dist","Solo","G","xG","xPlace","G-xG","KeyP","Dist.key","A","xA","A-xA","xG+xA","PA","xPA","xG/shot","xA/pass","G-xG/shot","A-xA/pass","Comp ($K)","Team/96","Min/96","Pos/96","Shots/96","SoT/96","G/96","xG/96","xPlace/96","G-xG/96","KeyP/96","A/96","xA/96","A-xA/96","xG+xA/96","PA/96","xPA/96","Comp ($K)/96","extreme1","extreme2","plotnames"
"Carlos","Vela","Carlos Vela","LAFC",2019,2931,"Wing",118,52,20.2557609494957,0.135593220338983,25,15.692,5.05244177608868,9.30775228381461,55,18.0044666333306,4,7.4232846966486,-3.4232846966486,23.115532412834,10.3451932746233,7.49955887635824,0.132985150137164,0.134968812666338,0.0788792566424967,-0.0622415399390655,6300,"LAFC",2931,"Wing",3.86489252814739,1.70317297850563,0.818833162743091,0.513973313119685,0.165484275163601,0.304859849623406,1.8014329580348,0.131013306038895,0.243137267443966,-0.112123961405072,0.757110580563652,0.338839493129934,0.245635500556258,6300,522,523,"Vela"
"Zlatan","Ibrahimovic","Zlatan Ibrahimovic","LAG",2019,2807,"F",117,50,16.443631659589,0.0683760683760684,21,16.116,2.65511777150185,4.88362808861286,40,17.6045876832557,6,5.46389334104969,0.536106658950307,21.5802652524368,13.2935251125085,11.2285820873492,0.137746768473394,0.136597333526242,0.0417404110137851,0.0134026664737577,7200,"LAG",2807,"F",4.00142500890631,1.7100106875668,0.718204488778055,0.551183364265467,0.0908055953203339,0.167021124512588,1.36800855005344,0.205201282508016,0.186866320178401,0.018334962329615,0.738049684443868,0.454641400356542,0.384019907511764,7200,523,522,"Ibrahimovic"
"Diego","Rossi","Diego Rossi","LAFC",2019,3078,"Wing",99,47,19.6742328057646,0.181818181818182,16,10.598,2.63678847254789,5.40207550292714,45,19.0189963426682,6,7.30889041297135,-1.30889041297135,17.9068149100442,8.17464488952044,4.87637181453113,0.107049742394675,0.162419786954919,0.0545664192214863,-0.0290864536215855,1052,"LAFC",3078,"Wing",3.08771929824561,1.46588693957115,0.499025341130604,0.330539555464261,0.0822390166876534,0.168485785666344,1.40350877192982,0.187134502923977,0.227957595726202,-0.0408230928022252,0.558497151190462,0.254959684663406,0.152089569264129,1052,517,520,"Rossi"
"Josef","Martinez","Josef Martinez","ATL",2019,2757,"F",92,38,15.2654519175641,0.119565217391304,21,14.994,1.00966975003811,6.00587895315119,28,22.0672390278333,1,2.18306652194034,-1.18306652194034,17.1771875687891,11.6191175297402,8.19794038938382,0.162979576596183,0.0779666614978693,0.0652812929690347,-0.0422523757835836,3058,"ATL",2757,"F",3.20348204570185,1.32317736670294,0.731229597388466,0.522102147441961,0.03515716213408,0.209127449946505,0.974972796517954,0.0348204570184984,0.0760153739957463,-0.041194916977248,0.598117521437707,0.404582982537199,0.285456030968751,3058,521,521,"Martinez"
"Mauro","Manotas","Mauro Manotas","HOU",2019,2707,"F",79,27,18.5917474472911,0.177215189873418,11,11.717,-1.91038989155523,-0.716799381637358,38,20.2841793925282,7,5.32170769827225,1.67829230172775,17.0385070799096,8.98029662364032,8.0888461879389,0.148313916223258,0.140044939428217,-0.00907340989414377,0.0441655868875723,1245,"HOU",2707,"F",2.80162541558921,0.957517547100111,0.390099741411156,0.415520037176648,-0.0677493275172892,-0.0254202957654918,1.34761728851127,0.248245289988918,0.188726981541979,0.0595183084469389,0.604247018718627,0.31847376278887,0.286859709657235,1245,520,517,"Manotas"
"Sebastian","Blanco","Sebastian Blanco","POR",2019,2720,"Wing",87,26,23.5219304420144,0.183908045977011,3,5.801,-1.87376085815806,-2.80082510954613,73,19.1258559200442,10,8.36606894455399,1.63393105544601,14.1668940541001,2.0064035660697,3.54802074842601,0.0666761506844383,0.114603684171972,-0.0321933920637486,0.0223826171978905,1375,"POR",2720,"Wing",3.07058823529412,0.917647058823529,0.105882352941176,0.204735003866334,-0.0661327361702845,-0.0988526509251576,2.57647058823529,0.352941176470588,0.295273021572494,0.0576681548980944,0.500008025438828,0.0708142435083422,0.125224261709153,1375,484,416,"Blanco"
"Aleksandar","Katai","Aleksandar Katai","CHI",2019,2241,"Wing",93,26,23.8667290010902,0.182795698924731,5,6.032,-1.34147072951264,-1.03227361656773,28,13.7246980269172,6,7.71641724410578,-1.71641724410578,13.7486908606735,1.76143873866534,3.94497908790253,0.0648631571673949,0.275586330146635,-0.0110997163071799,-0.0613006158609208,1380,"CHI",2241,"Wing",3.98393574297189,1.11378848728246,0.214190093708166,0.258410650241188,-0.0574659482522149,-0.0442205565330218,1.19946452476573,0.257028112449799,0.330556026521265,-0.0735279140714659,0.588966676762453,0.0754565456991847,0.168995088102919,1380,489,463,"Katai"
"Przemyslaw","Frankowski","Przemyslaw Frankowski","CHI",2019,2478,"Wing",46,20,20.0644303171225,0.152173913043478,5,6.013,0.465892162910404,-1.01250203015434,44,18.0096285254985,7,7.52914323119243,-0.529143231192434,13.5416452613468,2.3714659717356,2.56576417200555,0.13070656587292,0.17111689161801,-0.0220109136990074,-0.0120259825271008,662,"CHI",2478,"Wing",1.78208232445521,0.774818401937046,0.193704600484261,0.232929860732372,0.0180490910570616,-0.0392252602481101,1.7046004842615,0.271186440677966,0.291685936317382,-0.0204994956394163,0.524615797049754,0.0918727737234132,0.0994000647750335,662,488,466,"Frankowski"
"Raul","Ruidiaz","Raul Ruidiaz","SEA",2019,1920,"F",61,26,15.2933210033951,0.147540983606557,11,10.999,-0.276277110896606,0.000743210130896739,17,21.3639715914451,2,2.19608366088869,-0.196083660888689,13.1953404507578,5.604135025198,6.95708352832399,0.180315685079821,0.129181391816982,1.21837726376515e-05,-0.0115343329934523,1800,"SEA",1920,"F",3.05,1.3,0.55,0.549962839493455,-0.0138138555448303,3.71605065448369e-05,0.85,0.1,0.109804183044434,-0.00980418304443445,0.65976702253789,0.2802067512599,0.347854176416199,1800,519,515,"Ruidiaz"
"Cristian","Espinoza","Cristian Espinoza","SJE",2019,2691,"Wing",78,30,25.2357302585793,0.166666666666667,2,3.994,-0.802516923678148,-1.99421739526691,54,17.7226103140704,7,9.13114721349682,-2.13114721349682,13.1253646087637,0.823482521970998,2.17255491423221,0.0512079153239347,0.16909531876846,-0.025566889682909,-0.03946568913883,550,"SJE",2691,"Wing",2.78260869565217,1.07023411371237,0.0713489409141583,0.142491590466601,-0.0286293662850621,-0.0711426495524425,1.92642140468227,0.249721293199554,0.325748841507133,-0.076027548307579,0.468240431973734,0.0293773029019754,0.0775047461041593,550,454,401,"Espinoza"
