"Team","Season","Games","PassF","PctF","xPctF","ScoreF","Per100F","VertF","PassA","PctA","xPctA","VertA","ScoreA","Per100A","ScoreDiff","VertDiff","Gini18","Comp"
"LAFC",2019,34,9597,0.88,0.856,222.262,2.316,3.29,6582,0.806,0.826,2.224,-128.176,-1.947,350.438,1.066,0.657,14439693
"TOR",2019,34,9173,0.881,0.845,325.193,3.545,2.761,7829,0.848,0.835,2.614,100.745,1.287,224.449,0.147,0.724,22193619
"SJE",2019,34,8690,0.87,0.851,168.38,1.938,2.417,6164,0.803,0.808,3.201,-30.448,-0.494,198.828,-0.785,0.353,9161431
"PHI",2019,34,9022,0.851,0.837,124.627,1.381,2.685,7492,0.815,0.825,2.714,-70.1,-0.936,194.727,-0.029,0.518,8959605
"NYC",2019,34,8908,0.839,0.837,23.577,0.265,2.582,6843,0.784,0.799,3.196,-99.458,-1.453,123.035,-0.614,0.433,10051253
"SKC",2019,34,8459,0.857,0.839,155.529,1.839,2.135,7417,0.85,0.84,2.644,73.153,0.986,82.376,-0.509,0.384,13013585
"LAG",2019,34,8186,0.87,0.837,267.728,3.271,2.813,8181,0.864,0.839,3.431,204.854,2.504,62.874,-0.618,0.633,18514139
"ATL",2019,34,9302,0.855,0.849,57.941,0.623,2.181,7375,0.824,0.822,3.214,11.133,0.151,46.808,-1.033,0.493,12670769
"NYRB",2019,34,6835,0.712,0.747,-241.578,-3.534,5.784,7915,0.764,0.798,3.444,-272.582,-3.444,31.004,2.34,0.446,8301854
"CLB",2019,34,8094,0.836,0.828,63.573,0.785,3.097,8424,0.835,0.831,2.195,36.425,0.432,27.148,0.902,0.409,10400782
"RSL",2019,34,8260,0.842,0.835,55.327,0.67,1.861,8519,0.836,0.831,2.557,42.117,0.494,13.21,-0.696,0.447,10832522
"CHI",2019,34,8012,0.831,0.823,62.248,0.777,2.738,8789,0.846,0.839,2.637,62.279,0.709,-0.031,0.102,0.638,16907430
"FCD",2019,34,8612,0.869,0.851,154.323,1.792,1.612,7490,0.865,0.843,2.551,165.316,2.207,-10.993,-0.939,0.344,8730844
"NER",2019,34,7445,0.795,0.796,-6.11,-0.082,4.761,8645,0.828,0.824,3.117,33.802,0.391,-39.912,1.643,0.49,8930469
"POR",2019,34,8400,0.848,0.837,89.954,1.071,3.728,8167,0.853,0.836,3.111,141.721,1.735,-51.767,0.617,0.477,11786333
"MTL",2019,34,8679,0.843,0.839,30.289,0.349,2.366,9906,0.854,0.843,2.015,100.705,1.017,-70.415,0.351,0.624,12139404
"SEA",2019,34,8559,0.844,0.835,76.344,0.892,2.745,8551,0.857,0.839,2.556,160.502,1.877,-84.158,0.189,0.448,12621163
"CIN",2019,34,7605,0.811,0.819,-60.862,-0.8,2.172,8908,0.832,0.829,2.425,28.207,0.317,-89.069,-0.253,0.426,10312162
"DCU",2019,34,8650,0.836,0.831,44.152,0.51,2.601,8475,0.85,0.834,2.914,136.145,1.606,-91.993,-0.314,0.53,10571569
"HOU",2019,34,7501,0.851,0.836,115.422,1.539,2.347,9001,0.871,0.847,2.607,212.527,2.361,-97.105,-0.26,0.404,7665634
"ORL",2019,34,7849,0.833,0.828,36.105,0.46,2.808,8247,0.862,0.838,3.427,202.036,2.45,-165.931,-0.619,0.508,11359974
"COL",2019,34,6284,0.82,0.814,35.711,0.568,3.187,9460,0.864,0.842,2.464,206.557,2.183,-170.845,0.723,0.503,8937176
"MIN",2019,34,7539,0.834,0.828,42.168,0.559,3.317,9422,0.862,0.839,2.779,219.595,2.331,-177.427,0.539,0.392,9180564
"VAN",2019,34,7333,0.841,0.835,39.191,0.534,2.014,9192,0.879,0.842,3.036,344.44,3.747,-305.249,-1.022,0.369,8000713
