Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Brenden Aaronson/Brenden-Aaronson,us USA,MFFW,Philadelphia,18,2000,19,0.16,0,0,1.84,0.47,0,25.7,0.1,0.02,0.09,0.33,0.19,0.19,0.11,-0.04,-0.04,Matches
2,Saad Abdul-Salaam/Saad-Abdul-Salaam,us USA,DF,Seattle,27,1991,11.9,0,0,0,0.17,0,0,0,0.01,0,0,,0.02,0.02,0.08,-0.02,-0.02,Matches
3,Lalas Abubakar/Lalas-Abubakar,gh GHA,DF,Colorado,24,1994,22,0,0,0,0.55,0.18,0,33.3,0.03,0.01,0,0,0.05,0.05,0.1,-0.05,-0.05,Matches
4,Lalas Abubakar/Lalas-Abubakar,gh GHA,DF,Columbus,24,1994,1,0,0,0,2,1,0,50,2,1,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
5,David Accam/David-Accam,gh GHA,FW,Philadelphia,28,1990,3.8,1.05,0,0,2.89,1.84,0,63.6,0.77,0.49,0.36,0.57,0.58,0.58,0.2,0.47,0.47,Matches
6,David Accam/David-Accam,gh GHA,FWMF,Columbus,28,1990,7.4,0.27,0,0,2.03,0.81,0,40,0.27,0.11,0.13,0.33,0.16,0.16,0.08,0.11,0.11,Matches
7,Bryan Acosta/Bryan-Acosta,hn HON,MF,FC Dallas,25,1993,23,0.09,0,0,2.22,0.48,0.22,21.6,0.1,0.02,0.04,0.18,0.09,0.09,0.04,0,0,Matches
8,Danilo Acosta/Danilo-Acosta,us USA,DF,Orlando City,21,1997,7.4,0,0,0,0.14,0,0,0,0.02,0,0,,0.01,0.01,0.06,-0.01,-0.01,Matches
9,Kellyn Acosta/Kellyn-Acosta,us USA,MF,Colorado,23,1995,29.1,0.07,0,0,1.17,0.45,0.14,38.2,0.04,0.02,0.06,0.15,0.05,0.05,0.05,0.02,0.02,Matches
10,Luciano Acosta/Luciano-Acosta,ar ARG,MFFW,D.C. United,24,1994,23.6,0.25,0,0,2.42,0.72,0.13,29.8,0.1,0.03,0.11,0.35,0.19,0.19,0.08,0.06,0.06,Matches
11,Mo Adams/Mo-Adams,eng ENG,DFMF,Atlanta,22,1996,1,1,0,0,2,2,0,100,1.94,1.94,0.5,0.5,0.2,0.2,0.08,0.8,0.8,Matches
12,Mo Adams/Mo-Adams,eng ENG,MF,Chicago,22,1996,5.4,0,0,0,0.19,0,0,0,0.03,0,0,,0,0,0.03,0,0,Matches
13,Fanendo Adi/Fanendo-Adi,ng NGA,FW,FC Cincinnati,28,1990,7.8,0.13,0,0,2.69,0.64,0,23.8,0.35,0.08,0.05,0.2,0.42,0.42,0.16,-0.29,-0.29,Matches
14,Ali Adnan Kadhim/Ali-Adnan-Kadhim,iq IRQ,DF,Vancouver,25,1993,26.8,0.04,0,0.04,1.42,0.49,0.22,34.2,0.05,0.02,0.03,0.08,0.09,0.06,0.04,-0.05,-0.02,Matches
15,François Affolter/Francois-Affolter,ch SUI,DF,San Jose,27,1991,1,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
16,Harrison Afful/Harrison-Afful,gh GHA,DF,Columbus,32,1986,21.1,0,0,0,0.85,0.43,0,50,0.04,0.02,0,0,0.04,0.04,0.04,-0.04,-0.04,Matches
17,Juan Agudelo/Juan-Agudelo,us USA,MFFW,New England,26,1992,21.7,0.14,0,0,1.52,0.41,0,27.3,0.07,0.02,0.09,0.33,0.18,0.16,0.1,-0.04,-0.02,Matches
