Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Brenden Aaronson/Brenden-Aaronson,us USA,MFFW,Philadelphia,18,2000,19,33.3,31.3,2.05,0.32,0.26,6.84,1.11,2.05,1.21,0.95,0.05,0.11,26.7,3.32,3.32,3,28.6,1,0.32,0.16,25.9,0.21,0.89,1.05,0.79,Matches
2,Saad Abdul-Salaam/Saad-Abdul-Salaam,us USA,DF,Seattle,27,1991,11.9,46.3,37.7,8.57,0.76,0.08,6.97,1.01,0.67,0,0,0,0,30.4,6.97,8.91,7.14,28.1,2.44,7.82,0,36.9,0.08,1.09,0.84,1.09,Matches
3,Lalas Abubakar/Lalas-Abubakar,gh GHA,DF,Colorado,24,1994,22,31,30.1,0.82,0.55,0,3.14,1.23,0,0,0,0,0,20.7,3.77,6.5,1.55,26.5,2,0.27,0.05,26.5,0.14,0.36,0.32,0.32,Matches
4,Lalas Abubakar/Lalas-Abubakar,gh GHA,DF,Columbus,24,1994,1,53,52,1,1,0,5,1,0,0,0,0,0,46,5,2,3,46,3,0,0,50,0,2,1,0,Matches
5,David Accam/David-Accam,gh GHA,FW,Philadelphia,28,1990,3.8,20,19.7,0.26,0,0,4.47,0.26,0.53,0,0,0,0,14.7,4.21,1.05,2.89,16.1,0.26,0,0.26,15.5,0,0.26,0.26,1.05,Matches
6,David Accam/David-Accam,gh GHA,FWMF,Columbus,28,1990,7.4,21.2,19.7,1.49,0,0.14,4.46,0.68,0.95,0.14,0.14,0,0,14.3,4.05,2.84,2.84,15.8,0.68,1.35,0,15.7,0,0.68,0.41,0.81,Matches
7,Bryan Acosta/Bryan-Acosta,hn HON,MF,FC Dallas,25,1993,23,71.8,65.5,6.3,4.17,0.26,11,4.78,2.09,1.83,0.39,0.65,0.26,49.7,7.35,14.7,8.13,60,2.57,0.26,0.17,61.3,0.22,1.52,0.96,0.87,Matches
8,Danilo Acosta/Danilo-Acosta,us USA,DF,Orlando City,21,1997,7.4,47.2,38.5,8.65,0.41,0,6.49,1.22,3.38,0,0,0,0,27.2,7.16,12.8,35.7,2.16,0.95,8.24,0,33.1,0.27,1.22,0.95,1.76,Matches
9,Kellyn Acosta/Kellyn-Acosta,us USA,MF,Colorado,23,1995,29.1,34.9,33,1.89,0.76,0.1,5.88,0.86,1.27,0.48,0.24,0.24,0,24.4,5.5,5.02,10.5,22.4,1.13,0.34,0.14,28.1,0.14,0.69,0.82,0.69,Matches
10,Luciano Acosta/Luciano-Acosta,ar ARG,MFFW,D.C. United,24,1994,23.6,57.5,53.9,3.52,0.81,0.51,11,2.75,3.05,1.06,0.38,0.34,0.17,39.7,7.71,10,9.92,45,0.76,1.31,0.3,42.7,0.17,1.06,1.86,2.33,Matches
11,Mo Adams/Mo-Adams,eng ENG,DFMF,Atlanta,22,1996,1,59,55,4,1,0,6,0,1,0,0,0,0,43,11,5,7,47,2,3,0,51,0,0,0,4,Matches
12,Mo Adams/Mo-Adams,eng ENG,MF,Chicago,22,1996,5.4,36.3,35.2,1.11,1.11,0,5.56,0.19,0.19,0,0,0,0,28.5,3.15,4.63,4.07,30.7,0.74,0,0.19,31.1,0,0.37,0.19,0.74,Matches
13,Fanendo Adi/Fanendo-Adi,ng NGA,FW,FC Cincinnati,28,1990,7.8,20.5,17.6,2.95,0.13,0,5,0.51,0.26,0,0,0,0,12.4,4.1,3.97,2.95,12.8,2.05,0,1.03,15.4,0.51,0.51,0.13,0.38,Matches
14,Ali Adnan Kadhim/Ali-Adnan-Kadhim,iq IRQ,DF,Vancouver,25,1993,26.8,54.2,44.2,10,1.23,0.07,7.01,1.57,3.28,1.04,0.34,0.37,0.11,30.4,11.1,12.6,33.4,9.22,2.16,7.76,0.37,41.2,0.15,1.19,1.16,1.42,Matches
15,François Affolter/Francois-Affolter,ch SUI,DF,San Jose,27,1991,1,54,52,2,2,0,6,4,0,0,0,0,0,43,5,6,14,36,4,0,0,51,0,0,0,1,Matches
16,Harrison Afful/Harrison-Afful,gh GHA,DF,Columbus,32,1986,21.1,56.2,46.3,9.91,0.71,0.14,7.54,1,2.27,0,0,0,0,30.9,13.6,11.6,7.96,36.8,1.71,9.19,0.19,44.1,0.24,0.71,0.66,1.33,Matches
17,Juan Agudelo/Juan-Agudelo,us USA,MFFW,New England,26,1992,21.7,36.8,35.6,1.2,0.46,0.28,8.34,0.55,0.37,0,0,0,0,25.9,5.62,5.3,3.87,29.9,1.2,0.41,0.28,29.2,0.14,0.55,0.88,1.34,Matches
