"Player" "Pos" "shots" "KP" "xG" "xA" "xPlace" "ShotDist" "KPDist" "A3Passes" "M3Passes" "D3Passes" "percChain" "xGChain" "xB" "Team" "ShotChainPerc" "KPChainPerc" "xBperc" "Vertical" "PassPct" "PassDistance" "TouchPerc" "xPassPerc" "Passes" "PassScore" "A3perc" "M3perc" "D3perc" "role" "subtype"
"Eduard Atuesta" "CM" 0.91817215727949 1.32624867162593 0.0561923516077177 0.142235537107837 0.0558701402166162 24.6103118479165 21.3116252294615 16.3230605738576 51.9277364505845 13.9766206163656 0.25529500873292 1.26587544615357 1.12015806176896 "LAFC" 0.0333075135553834 0.0371804802478699 0.884888055276387 4.4685634958957 0.856492969396195 18.6068116903095 0.13887183074775 0.831924336522546 82.2274176408077 2.02021523616519 0.198511166253102 0.63151364764268 0.169975186104219 "M3" "Direct MF Creator"
"Lee Nguyen" "CM" 0.746500777604977 1.86625194401244 0.0551936819408245 0.182225180619048 0.0860342588784839 23.4324342758431 18.8096838587834 26.1275272161742 36.8024883359253 0 0.284283152285579 1.27420606251276 1.0837242210781 "LAFC" 0.0375 0.0666666666666667 0.85050939009109 1.75540726817043 0.888641425389755 16.8564756282484 0.107363273552534 0.850147743939623 67.0357698289269 2.58045356955907 0.389755011135858 0.548997772828507 0 "M3" "Direct MF Creator"
"Mark-Anthony Kaye" "CM" 0.860986547085202 1.75784753363229 0.0581891874183456 0.229040899326701 0.0377403616406878 23.2275940260235 20.3959081188693 16.5381165919283 43.8744394618834 7.71300448430493 0.241819771289831 1.27134130453771 1.03320512568917 "LAFC" 0.0317604355716878 0.044464609800363 0.812689025363547 3.97249056603774 0.837282780410742 18.1151623058288 0.124287649296472 0.837595358942138 68.1255605381166 -0.0212945876634726 0.242759347024751 0.644023170089521 0.113217482885729 "M3" "Direct MF Creator"
"Michael Bradley" "CDM" 0.60377358490566 0.452830188679245 0.0612167000334464 0.0197703539210438 0.0275469710370348 24.4149878822948 27.4169145971892 10.5660377358491 50.7547169811321 18.9056603773585 0.282371967654987 1.050866424436 0.99994050153471 "TOR" 0.0189003436426117 0.0206185567010309 0.951539109331977 4.487392 0.881937911571025 20.2239004428253 0.128497532755115 0.836152253989638 80.2264150943396 3.67321917049165 0.13170272812794 0.632643461900283 0.235653809971778 "M3" "Indirect MF Creator"
"Marcos Lopez" "FB/WB" 0.547677261613692 1.17359413202934 0.0345944986094252 0.0736848468982578 -0.00224537340698987 22.877401908029 23.8665994134483 15.4132029339853 31.3740831295844 12.6748166259169 0.22815084746373 1.05625422160949 0.947347231968286 "SJE" 0.0227272727272727 0.0340909090909091 0.89689320296845 -0.994378109452736 0.793421052631579 19.4804161062545 0.107641134083764 0.779182884327785 59.4621026894865 0.846631425790358 0.259210526315789 0.52763157894737 0.213157894736843 "M3" "Direct MF Creator"
"Jonathan dos Santos" "CDM" 0.24696802646086 0.388092613009923 0.0101762758321887 0.0270549058521507 0.0065226035010808 27.9150550319205 22.3105924746514 14.077177508269 46.2888643880926 14.2535832414553 0.254331327969116 1.02681460167291 0.944651306343646 "LAG" 0.0128322639780018 0.0339138405132906 0.919982346184596 3.57403744725738 0.89645390070922 18.7035838724839 0.140640081671979 0.838357706480697 74.619625137817 4.33511623526618 0.188652482269503 0.620330969267139 0.191016548463356 "M3" "Indirect MF Creator"
"Jackson Yueill" "CDM" 0.86247408431237 1.22736696613683 0.0727628237290085 0.0889495597365164 -0.0110021901902418 24.6233266997779 25.4273985670313 12.3731859018659 46.8821689259645 10.1174844505874 0.243322714483689 1.05446368927096 0.929672891531872 "SJE" 0.0304428044280443 0.0415129151291513 0.881654722671988 2.81263461538462 0.873739798367739 19.6822212174066 0.115475698115598 0.847389814748366 69.0974429854872 1.82071649080816 0.179068650984157 0.678493543325638 0.146423427748439 "M3" "Direct MF Creator"
"Haris Medunjanin" "CDM" 0.522054380664653 0.986102719033233 0.0181676454539386 0.0807203215766799 -0.0134124343707577 29.3473182038115 22.9929255004234 15.980664652568 48.2900302114804 14.6755287009063 0.25375281694992 1.01481420632115 0.921317307970235 "PHI" 0.0239099859353024 0.0457102672292546 0.907867964629849 5.76781834372217 0.825128581925055 20.2002620410255 0.133140174802819 0.792084534520463 78.9462235649547 2.60870275389391 0.202424687729611 0.611682586333579 0.185892725936811 "M3" "Direct MF Creator"
"Nicolas Lodeiro" "CAM" 1.49388662467581 1.5650240829937 0.135571153832146 0.203586565852243 -0.0335704523298851 22.7553440284305 17.7381542469065 30.7669507224898 38.6987773249352 4.57670126874279 0.233680589334763 1.20358792691557 0.89612933773506 "SEA" 0.0525793650793651 0.0813492063492064 0.744548294059052 2.56747531270573 0.73134328358209 19.251433246798 0.145406889083103 0.754758917408662 73.8762504631345 -1.72985922932492 0.41646605681271 0.523832450649976 0.0619509144014644 "M3" "Direct MF Creator"
"Shea Salinas" "Wing" 1.10944935418083 2.28416043507818 0.220343396657002 0.285933943319228 0.0036845675333149 16.6690503218377 20.2428953078544 19.3174711080897 18.5343303874915 7.66863905325444 0.236174087666635 1.17618199813279 0.882595128540924 "SJE" 0.0488372093023256 0.0883720930232558 0.75038993110085 -0.700339449541284 0.792151162790698 17.5758825158043 0.0937410470756205 0.777976122679362 44.9000679809653 0.636460264631875 0.430232558139534 0.412790697674419 0.170793484243842 "M3" "Direct MF Creator"
"Jordan Harvey" "FB/WB" 0.152988047808765 0.764940239043825 0.00814039554341232 0.0812182107566749 -0.00814039554341232 19.5411505031837 21.6137881412935 14.2661354581673 29.5266932270916 11.6653386454183 0.206761534546164 0.945404352340887 0.87913600187629 "LAFC" 0.0101123595505618 0.0213483146067416 0.92990475419273 0.508329346092504 0.864827586206897 16.4943644252437 0.0941685539853778 0.822653828178019 55.4581673306773 2.33887932972901 0.257241379310344 0.532413793103448 0.210344827586206 "M3" "Indirect MF Creator"
"Alejandro Pozuelo" "CAM" 1.86338185890258 1.93505039193729 0.138522671856715 0.241132673191971 0.00720880798591845 21.2484795523901 18.8418985980296 33.5767077267637 31.1758118701008 3.63218390804598 0.227903161381085 1.14400544108548 0.867195595839288 "TOR" 0.0760649087221095 0.0791075050709939 0.758034502892276 0.540392091152815 0.791092258748674 17.5007008316844 0.12126216007421 0.77996199463582 67.5834266517357 0.75222138828553 0.496818663838812 0.461293743372217 0.0537437074145855 "A3" "creative forward"
"Marco Delgado" "CM" 1.23665807876334 1.41332351858668 0.0814456622162097 0.11985847433519 -0.0149735598433985 21.869819252104 21.4202345091002 20.9878542510121 36.7817445712183 8.47994111152006 0.225559201207277 0.973967205804924 0.864200102979954 "TOR" 0.0400801603206413 0.0380761523046092 0.887298974574555 3.41533458411507 0.8528 17.2938104136896 0.117271242958916 0.827883961508671 66.2495399337505 1.65067608702213 0.316799999999999 0.5552 0.128 "M3" "Direct MF Creator"
"Latif Blessing" "CM" 1.25793103448276 1.29103448275862 0.216962259692341 0.154735554972038 -0.0375865682736486 17.5310302387675 21.2342884433738 15.8234482758621 28.6675862068966 5.83880597014925 0.205695869688775 1.12681636129406 0.84729692367223 "LAFC" 0.0426164519326065 0.0396432111000991 0.75193878326294 2.6617896389325 0.845388188453882 16.0192472529474 0.102945749576827 0.840285340550231 49.8868965517241 0.254565245488593 0.317186463171865 0.574651625746518 0.117040873931603 "M3" "Direct MF Creator"
"Jonathan Osorio" "CM" 1.22292993630573 0.866242038216561 0.138664711795946 0.0834586315246911 0.0285091280567657 18.8200921032616 21.9005071694822 19.9745222929936 25.7834394904459 6.04345403899721 0.222781810102207 0.995289559927877 0.844669953935667 "TOR" 0.044189852700491 0.0245499181669394 0.848667551578533 0.661998867497169 0.873392680514342 16.16217252407 0.0912427717910113 0.843309409341579 51.515923566879 1.54976749837778 0.387734915924826 0.500494559841741 0.117312349668962 "M3" "Direct MF Creator"
"Dax McCarty" "CDM" 0.37932169904511 0.948304247612776 0.035416773587244 0.0592702552522068 -0.0324881090682807 24.0104216347626 27.4312574872376 10.1141057052853 41.0299637800461 12.5176160684886 0.235065533945531 0.930356617615442 0.841874575735305 "CHI" 0.017933390264731 0.0256191289496157 0.904894488624242 3.03037659327926 0.86516290726817 18.7567185831415 0.124111996655826 0.841813903654877 63.0622324662496 1.47244029371684 0.160382931427274 0.65062656641604 0.198496240601503 "M3" "Indirect MF Creator"
"Auro" "FB/WB" 0.288 0.768 0.0229033022707281 0.128500359863634 -0.00874142773624457 17.3913867853363 14.9006519726617 20.496 30.528 14.832 0.227867549668874 0.939709522008358 0.838735437054124 "TOR" 0.0106951871657754 0.0240641711229947 0.892547555825091 1.06955857385399 0.858600583090379 16.9166563331413 0.115454620090342 0.807000286241792 65.856 3.39818914926052 0.311224489795918 0.463556851311953 0.225218658892128 "M3" "Direct MF Creator"
"Diego Chara" "CDM" 0.235541535226078 0.841219768664564 0.0412452500675937 0.04755637438384 -0.0288318108436152 22.1827123645013 25.2660422509059 9.55625657202944 39.4027339642482 10.3638275499474 0.23778384182159 0.934512447610646 0.83537104610421 "POR" 0.0062667860340197 0.0223813786929275 0.893911095823368 6.04692211838006 0.910380034032898 20.1293446118535 0.112686747181862 0.85951513694351 59.322818086225 3.01744903700836 0.161089052750993 0.664208735110608 0.1747022121384 "M3" "Indirect MF Creator"
"Joe Corona" "CM" 0.617363344051447 0.617363344051447 0.0504683763704156 0.0434465191992013 -0.0190111567555079 22.9785073870136 22.8572263916454 12.5830951408738 42.512077294686 6.91787439613527 0.240128446556753 0.911285815859741 0.820566157302421 "LAG" 0.019845644983462 0.0209481808158765 0.900448731914332 3.22133623819898 0.860625 16.5296709249365 0.125815517265994 0.846691190693527 61.7363344051447 0.860222310881902 0.203819926500612 0.688607085346216 0.112055152979066 "M3" "Indirect MF Creator"
"Magnus Eriksson" "CAM" 2.23552894211577 2.07584830339321 0.143333362675354 0.153758310108705 -0.0559468534638828 24.8588143879624 22.4644983464508 26.6347305389222 26.8582834331337 3.20435967302452 0.206032914091496 1.14268495763623 0.814285806600543 "SJE" 0.0876494023904383 0.099601593625498 0.712607443686828 1.96599568655643 0.784545967287084 17.7960625198648 0.105707464233683 0.771448868327368 56.622754491018 0.741593818940566 0.470389170896786 0.47433728144388 0.0565913774741005 "A3" "creative forward"
"Tommy Thompson" "FB/WB" 0.356435643564356 0.871287128712871 0.0215729619796968 0.0611116614409767 -0.00650268236451755 23.763536168516 24.1657812693088 13.980198019802 30.4554455445545 13.4257425742574 0.245734338352461 0.853778984901653 0.800941469684038 "SJE" 0.014207650273224 0.0229508196721311 0.938113357025647 1.24335398915569 0.883641341546886 16.1086303492511 0.108221860480067 0.832047864927959 57.8613861386139 2.98527007288124 0.241615331964408 0.526351813826147 0.232032854209445 "M3" "Indirect MF Creator"
"Walker Zimmerman" "CB" 0.123870967741935 0.165161290322581 0.00881137777130317 0.00991698723580117 0.0025490069415137 18.8067375252524 23.4639208006742 2.78709677419355 30.1832258064516 22.4206451612903 0.197251541027664 0.84335563044152 0.78495228680551 "LAFC" 0.026615969581749 0.00506970849176172 0.930748854305467 6.59350265017668 0.852409638554217 20.4624248307906 0.0945626658881175 0.806624205683425 54.8335483870968 2.51057774874472 0.0508283132530121 0.550451807228915 0.408885542168674 "D3" "Back Third General"
"Maximiliano Moralez" "Wing" 1.3393665158371 2.67873303167421 0.138785158469578 0.287866383222959 0.0226615028601708 20.2715391356552 21.9987536023382 21.8642533936652 33.8099547511312 5.14151681000782 0.190321973061346 1.15228914519466 0.777219375316187 "NYC" 0.0544069640914037 0.100108813928183 0.674500301037626 2.60446498819827 0.758805970149254 19.5650433659968 0.111311021181802 0.768172685155895 60.6334841628959 -0.567936566013553 0.360597014925374 0.557611940298507 0.0847966578366962 "A3" "creative forward"
"Diego Valeri" "CAM" 2.28896797153025 1.84483985765125 0.1836132904365 0.177898246288147 -0.0305712829186676 22.5313432744495 21.4128702396243 28.2875444839858 23.5046263345196 2.69459572685379 0.18707060721087 1.15491790501016 0.769564596593988 "POR" 0.0931818181818182 0.129545454545455 0.66633705586824 1.53884312007011 0.720783322804801 19.3828893484121 0.107480967151319 0.730223645555563 54.0811387900356 -0.510543404906667 0.523057485786482 0.43461781427669 0.0498250552251734 "A3" "creative forward"
"Cristian Espinoza" "Wing" 2.78260869565217 1.92642140468227 0.142491590466601 0.325748841507133 -0.0286293662850621 25.2357302585793 17.7226103140704 29.0033444816053 18.2296544035674 3.24034160227735 0.183997052811026 1.1816888374568 0.766993404792644 "SJE" 0.116834170854271 0.0979899497487437 0.649065456557371 -2.552425 0.710732054015636 19.0146621910458 0.101727829827275 0.726271270908675 50.1939799331104 -0.779975140905435 0.577825159914711 0.363184079601989 0.0645563792031535 "A3" "creative forward"
"Jorge Corrales" "FB/WB" 0.0790774299835255 0.474464579901153 0.00172320369026812 0.038734986726493 -0.00172320369026812 34.2270317147134 25.6700303537839 0 29.5993404781533 12.635761589404 0.214477052094677 0.81826307426305 0.764664395582886 "CHI,MTL" 0.00527704485488127 0.0211081794195251 0.934497009133113 1.77748181818182 0.799418604651163 16.5402884819044 0.111883609088725 0.778647923495534 54.4052718286656 1.13003455433854 0 0.544052800092025 0.232252521946712 "M3" "Indirect MF Creator"
"Ilie Sanchez" "CM" 0.318466642093623 0.672318466642094 0.0140566088028896 0.0991331958789798 -0.0107495738051211 26.3139032440767 23.5345539059466 7.36011795060818 41.2237375598968 14.5433099889421 0.227809312177583 0.88341593883329 0.763698664707302 "SKC" 0.0203458799593082 0.0193285859613428 0.864483683321249 3.6517237969677 0.850336322869955 21.3570975786323 0.114838584810481 0.83675320059345 63.1271654994471 0.857464007948146 0.116591928251121 0.653026905829597 0.230381165919282 "M3" "Indirect MF Creator"
"Cristian Roldan" "CDM" 0.94840834248079 1.05378704720088 0.103290939725261 0.104800935010785 0.0132594046328204 22.6647463139874 19.9241123620312 14.1384388807069 34.6344676180022 8.80117820324006 0.226874832841625 0.91044060456962 0.755185030017352 "SEA" 0.0316789862724393 0.0337909186906019 0.829472044883522 3.37202966714906 0.84525993883792 20.1609209268195 0.113333572859772 0.815636914908111 57.4313940724479 1.70129156093043 0.246179621948088 0.603058103975535 0.153246814662685 "M3" "Direct MF Creator"
"Sebastian Lletget" "CM" 1.0873786407767 0.815533980582524 0.0986864977057132 0.11325886143462 0.034821885924004 19.8234234018798 17.2033725853922 18.0462850182704 33.7087378640777 4.35284418796373 0.213453006367298 0.90902206856227 0.745634873144048 "LAG" 0.0365699873896595 0.042875157629256 0.820260474339596 0.115274244833068 0.873004857737682 16.5051753522704 0.107402183920414 0.834336356228214 55.9611650485437 2.16393439515124 0.322478722567982 0.602359472588481 0.0777833017627106 "M3" "Direct MF Creator"
"Djordje Mihailovic" "CAM" 1.17073170731707 1.35558408215661 0.11197730039643 0.0982414283898674 0.0648573771787987 24.4427691929087 20.9639388329202 14.9747572815534 26.8652118100128 8.18823529411765 0.201308917802996 0.896526942227196 0.742471370673615 "CHI" 0.0486257928118393 0.0676532769556025 0.828164035794765 1.26393023255814 0.813366960907944 18.6497743051972 0.104043048121249 0.786466859412599 48.8626444159178 1.31441009411916 0.306466370384881 0.549810844892812 0.167576589273793 "M3" "Direct MF Creator"
"Przemyslaw Frankowski" "Wing" 1.78208232445521 1.7046004842615 0.232929860732372 0.291685936317382 0.0180490910570616 20.0644303171225 18.0096285254985 19.7578692493947 15.980463980464 4.7095926412615 0.17603237254967 1.21235050351095 0.740504488446088 "CHI" 0.0841121495327103 0.073208722741433 0.610800660618855 -1.30929846938776 0.760426770126091 17.1072365662023 0.0938406900576169 0.75855389930792 39.9418886198547 0.0748059976187491 0.494665373423861 0.400092848201481 0.117911115472903 "A3" "creative forward"
"Bastian Schweinsteiger" "CB" 0.200696864111498 0.434843205574913 0.0044465011038005 0.039090106301041 -0.00234372880027607 34.8301632721688 23.7137762633409 7.25136382710869 34.5867595818815 22.3108013937282 0.238534924384184 0.804869923706736 0.739581000860685 "CHI" 0.020776874435411 0.014453477868112 0.918882640631706 6.78725214198286 0.868686868686869 22.0049014336687 0.123070438896689 0.819064514201525 62.9184668989547 3.12216246813432 0.115250167152899 0.549707602339181 0.354598617756512 "M3" "Indirect MF Creator"
"Jamiro Monteiro" "CAM" 1.4789306751246 1.3049388309923 0.177036364785184 0.181977018503063 -0.0252636364389172 23.4345155442056 18.6424351605149 20.323731138546 35.1463525147259 3.5482546201232 0.213287817667527 1.02356829661172 0.735058889136391 "PHI" 0.0643500643500644 0.0437580437580438 0.718133701062872 2.67758828596038 0.864482501861504 17.1623279144361 0.116898102155488 0.830333614695543 58.4177616674218 1.99490155166882 0.347903284180093 0.601638123603873 0.0607393114498938 "M3" "Direct MF Creator"
"Felipe Gutierrez" "CM" 1.38938662991041 1.25706409372846 0.139813059570939 0.0953487968528351 0.0130848778318813 23.1266535866447 23.1738038384906 13.3314955203308 30.7980702963473 8.50978996084016 0.202693344739688 0.910476747028388 0.729966301422354 "SKC" 0.06478578892372 0.0512016718913271 0.801740740556874 1.41419622641509 0.837018319646241 19.5170806292037 0.109838577080663 0.820694674910131 52.3666436940041 0.854814487683369 0.254579911560329 0.588123815540113 0.16250401707174 "M3" "Direct MF Creator"
"Alejandro Romero Gamarra" "CAM" 1.4404646660213 1.85866408518877 0.115840069293667 0.251303552759585 0.00778177584392788 22.1527206344609 19.5262093831003 29.8780251694095 26.0677637947725 2.75409836065574 0.183158589227912 1.05902461050015 0.723522004690835 "NYRB" 0.0510510510510511 0.0795795795795796 0.683196591955624 4.14749407582938 0.66984126984127 18.1050563607992 0.11777113342752 0.719027556913594 58.5479186834463 -2.87975473585111 0.51031746031746 0.445238095238095 0.047040072859745 "A3" "creative forward"
"Keaton Parks" "CM" 1.23913043478261 1.04347826086957 0.150618694092976 0.106336072433724 0.0628846864079796 16.8639709955163 18.7090473928108 10.4269662921348 39.7826086956522 12.5793103448276 0.2411324570273 0.897215187583589 0.716542460426829 "NYC" 0.0387453874538745 0.0313653136531365 0.798629437333362 2.77659062885327 0.858201058201058 18.1414687540409 0.111262282144236 0.844672900828577 61.6304347826087 0.833746220673552 0.169185343717178 0.645502645502646 0.204108739281153 "M3" "Direct MF Creator"
"Diego Polenta" "CB" 0.141488577745026 0.49521002210759 0.010268967097801 0.0571024912160652 -0.010268967097801 24.1466540275765 14.3405500662704 5.92795883361921 24.9019896831245 19.7376565954311 0.191291765012869 0.808946649724712 0.716456425048646 "LAG" 0.0217391304347826 0.0193236714975845 0.88566585360414 6.76593264248705 0.823613086770982 20.4502654587454 0.0973328219608039 0.761400763161353 49.7332350773766 3.09402011478747 0.119195118202069 0.500711237553342 0.396870554765291 "D3" "Back Third General"
"Judson" "CDM" 0.521997034107761 0.474542758279782 0.0206381610424349 0.0252825650842012 5.67091422612493e-05 28.2767870009968 26.2082542311671 3.81531268264173 36.3153197818542 15.8971824023727 0.222785723071845 0.745669068444889 0.713764297462485 "SJE" 0.0222222222222222 0.0133333333333333 0.957213229926592 3.34898346303502 0.881646655231561 22.046292103536 0.102510879613934 0.858283080635864 55.3316856154226 1.29274596438158 0.0689534873229723 0.656320503847655 0.287307032590051 "M3" "Indirect MF Creator"
"Rolf Feltscher" "FB/WB" 0.329472329472329 0.782496782496782 0.079158492716977 0.160257807744238 -0.0613863627946971 14.3486716263115 14.1708425854251 17.6267696267696 24.1338481338481 9.30759330759331 0.185479597244303 0.887727931378034 0.713169137741143 "LAG" 0.0247813411078717 0.0306122448979592 0.803364536062395 2.02171204188482 0.770161290322581 16.9365836114053 0.101359624007517 0.729960391186591 51.0682110682111 2.05298800220859 0.34516129032258 0.472580645161289 0.182258064516129 "M3" "Direct MF Creator"
"Alejandro Bedoya" "CM" 0.627450980392157 1.03529411764706 0.05233844194061 0.0925644787531914 0.0172648680342617 21.7060388218645 21.7606242337556 17.9450980392157 28.9882352941176 5.55294117647059 0.188161331330175 0.839330156873221 0.711761981365064 "PHI" 0.0283018867924528 0.0387840670859539 0.848011924195135 1.35108848314607 0.851165570830843 16.5741134063503 0.0955532094595564 0.827943270283407 52.4862745098039 1.2188520412819 0.341900777047221 0.552301255230125 0.105797967722654 "M3" "Direct MF Creator"
