"Date","Day","Comp","Round","Venue","Result","Squad","Opponent","Start","Pos","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int","Blocks","xG","npxG","xA","SCA","GCA","PassesCmp","PassesAtt","PassesCmp%","PassesPrgDist","Carries","CarriesPrgDist","DribblesSucc","DribblesAtt","Match Report","2017-2018"
"2017-08-05","Sat","DFL-Supercup","DFL-Supercup","Home","L 2 (4)–2 (5)","Dortmund","Bayern Munich","Y","FW","89","1","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-08-19","Sat","Bundesliga","Matchweek 1","Away","W 3–0","Dortmund","Wolfsburg","Y","RW","86","1","1","0","0","1","1","0","0","45","13","0","1","0","0.1","0.1","0.6","3","1","26","33","78.8","104","41","138","3","5","Match Report","2017-2018"
"2017-08-26","Sat","Bundesliga","Matchweek 2","Home","W 2–0","Dortmund","Hertha BSC","Y","FW","90","0","0","0","0","5","3","0","0","46","9","0","1","0","0.7","0.7","0.4","5","0","24","29","82.8","102","44","287","1","2","Match Report","2017-2018"
"2017-09-01","Fri","WCQ","Fifth round","Home","L 0–2","us United States","cr Costa Rica","Y","CM","86","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-09-05","Tue","WCQ","Fifth round","Away","D 1–1","us United States","hn Honduras","Y","AM","90","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-09-09","Sat","Bundesliga","Matchweek 3","Away","D 0–0","Dortmund","Freiburg","Y","AM","90","0","0","0","0","2","1","0","0","44","15","0","1","0","0.2","0.2","0.1","2","0","27","34","79.4","68","43","107","3","4","Match Report","2017-2018"
"2017-09-13","Wed","Champions Lg","Group stage","Away","L 1–3","de Dortmund","eng Tottenham","Y","FW","90","0","0","0","0","2","0","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2017-2018"
"2017-09-17","Sun","Bundesliga","Matchweek 4","Home","W 5–0","Dortmund","Köln","N","AM","24","0","0","0","0","0","0","0","0","17","9","0","1","1","0.0","0.0","0.0","0","0","13","17","76.5","28","16","97","0","0","Match Report","2017-2018"
"2017-09-20","Wed","Bundesliga","Matchweek 5","Away","W 3–0","Dortmund","Hamburger SV","Y","LW,RW","90","1","0","0","0","3","2","0","0","40","20","2","2","3","0.5","0.5","0.1","3","0","16","19","84.2","41","36","287","3","8","Match Report","2017-2018"
"2017-09-23","Sat","Bundesliga","Matchweek 6","Home","W 6–1","Dortmund","M'gladbach","Y","RW","64","0","0","0","0","1","0","0","0","37","8","0","1","1","0.0","0.0","0.0","1","0","27","32","84.4","36","40","240","7","9","Match Report","2017-2018"
