R,Team,TotalTackles,DribbledPast,TotalAttemptedTackles,Rating,R,Team,Total,Rating,R,Team,Fouled,Fouls,Rating,R,Team,Yellow,Red,Rating,R,Team,CaughtOffside,Rating,R,Team,Total,Rating,R,Team,ShotsBlocked,CrossesBlocked,PassesBlocked,Rating,R,Team,Total,SixYardBox,PenaltyArea,OutOfBox,Rating,R,Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating,R,Team,Total,SixYardBox,PenaltyArea,OutOfBox,Rating,R,Team,Unsuccessful,Successful,Total Dribbles,Rating,R,Team,UnsuccessfulTouches,Dispossessed,Rating,R,Team,Total,Won,Lost,Rating,R,Team,Total,AccLB,InAccLB,AccSP,InAccSP,Rating,R,Team,Total,Long,Short,Rating,R,Team,Cross,Corner,Throughball,Freekick,Throwin,Other,Total,Rating,R,Team,Total,OpenPlay,Counter,SetPiece,PenaltyTaken,Rating,R,Team,Cross,Corner,Throughball,Freekick,Throwin,Other,Rating
1,Los Angeles FC,17.3,9.1,26.4,7.02,1,Los Angeles FC,9.8,7.02,1,Los Angeles FC,12.6,11.6,7.02,1,Los Angeles FC,1.5,0,7.02,1,Los Angeles FC,2.2,7.02,1,Los Angeles FC,13.9,7.02,1,Los Angeles FC,2.4,1.2,8.3,7.02,1,Los Angeles FC,2.6,0.1,1.7,0.9,7.02,1,Los Angeles FC,18.3,6.9,1.4,10,7.02,1,Los Angeles FC,2.5,0.5,1.7,0.2,7.02,1,Los Angeles FC,10.9,14.4,25.3,7.02,1,Los Angeles FC,16.4,12.8,7.02,1,Los Angeles FC,22.2,11.8,10.5,7.02,1,Los Angeles FC,526.6,22.3,21.5,421.9,60.8,7.02,1,Los Angeles FC,13.5,1.6,11.9,7.02,1,Los Angeles FC,0.2,0.1,0.2,0.1,0,1.2,1.7,7.02,1,Los Angeles FC,18.3,13,0.5,4.5,0.3,7.02,1,Los Angeles FC,2.1,1.2,0.7,0.4,0.1,10.4,7.02
2,LA Galaxy,16.9,10,26.9,6.82,2,LA Galaxy,10.6,6.82,2,LA Galaxy,8.5,11.3,6.82,2,LA Galaxy,2.1,0.1,6.82,2,LA Galaxy,2.5,6.82,2,LA Galaxy,19.1,6.82,2,LA Galaxy,3.8,1.4,6.6,6.82,2,LA Galaxy,4.2,0.1,2.4,1.7,6.82,2,LA Galaxy,13.8,4.1,1.1,8.7,6.82,2,LA Galaxy,1.7,0.4,1.2,0.1,6.82,2,LA Galaxy,6.2,10,16.2,6.82,2,LA Galaxy,14.3,8.4,6.82,2,LA Galaxy,30.6,17.5,13.1,6.82,2,LA Galaxy,449.5,30.3,26.5,342.1,50.6,6.82,2,LA Galaxy,10.9,2.1,8.8,6.82,2,LA Galaxy,0.4,0.1,0.1,0,0,0.9,1.3,6.82,2,LA Galaxy,13.8,9.9,0.4,3.3,0.2,6.82,2,LA Galaxy,3.3,1.2,0.3,0.1,0,7.3,6.82
3,Atlanta United,14.9,9.5,24.4,6.81,3,Atlanta United,9.4,6.81,3,Atlanta United,11.8,10.3,6.81,3,Atlanta United,1.6,0.1,6.81,3,Atlanta United,1.6,6.81,3,Atlanta United,13.4,6.81,3,Atlanta United,2.6,0.8,7.5,6.81,3,Atlanta United,2.7,0.3,1.3,1,6.81,3,Atlanta United,15,5.9,0.6,8.5,6.81,3,Atlanta United,1.7,0.3,1.1,0.2,6.81,3,Atlanta United,7.9,12.3,20.2,6.81,3,Atlanta United,16,9.4,6.81,3,Atlanta United,24,12.8,11.2,6.81,3,Atlanta United,493.4,33.8,27.7,372.5,59.3,6.81,3,Atlanta United,11.2,2.1,9.1,6.81,3,Atlanta United,0.1,0,0.2,0,0,0.8,1.1,6.81,3,Atlanta United,15,10.3,0.8,3.6,0.3,6.81,3,Atlanta United,2.2,1.3,0.7,0.2,0.1,8.1,6.81
4,New York City FC,17.2,10.5,27.7,6.81,4,New York City FC,10.1,6.81,4,New York City FC,12,13.7,6.81,4,New York City FC,2.3,0,6.81,4,New York City FC,2,6.81,4,New York City FC,18.9,6.81,4,New York City FC,2.6,1,7.9,6.81,4,New York City FC,2.6,0.1,1.3,1.2,6.81,4,New York City FC,15.2,6.5,0.5,8.2,6.81,4,New York City FC,1.9,0.3,1.2,0.4,6.81,4,New York City FC,6.3,9.5,15.7,6.81,4,New York City FC,16.3,10.4,6.81,4,New York City FC,30.1,15.2,15,6.81,4,New York City FC,509.6,35.9,32.6,377.9,63.2,6.81,4,New York City FC,11.2,2,9.3,6.81,4,New York City FC,0.1,0,0.1,0,0,1,1.3,6.81,4,New York City FC,15.2,10.9,0.6,3.4,0.3,6.81,4,New York City FC,2,1,0.3,0.3,0,8.5,6.81
5,DC United,16.7,10.3,27,6.81,5,DC United,9.7,6.81,5,DC United,11.3,11.4,6.81,5,DC United,1.4,0.1,6.81,5,DC United,1.5,6.81,5,DC United,23,6.81,5,DC United,5.3,1.3,6.9,6.81,5,DC United,3.8,0.1,2,1.6,6.81,5,DC United,12.6,5,0.7,6.9,6.81,5,DC United,1.2,0.2,0.8,0.2,6.81,5,DC United,7.4,10.4,17.7,6.81,5,DC United,14.4,10,6.81,5,DC United,33.5,17.7,15.8,6.81,5,DC United,432.9,26.1,31.4,318.1,57.4,6.81,5,DC United,9.1,2.2,6.9,6.81,5,DC United,0.1,0,0.1,0.1,0,0.5,0.7,6.81,5,DC United,12.6,7.5,0.4,4.5,0.1,6.81,5,DC United,2.3,0.9,0.2,0.7,0,6.3,6.81
6,Minnesota United,17.5,9,26.5,6.79,6,Minnesota United,12.7,6.79,6,Minnesota United,9.4,11.5,6.79,6,Minnesota United,1.6,0.1,6.79,6,Minnesota United,1.5,6.79,6,Minnesota United,19.4,6.79,6,Minnesota United,3.6,1.4,7.2,6.79,6,Minnesota United,3.8,0.2,1.9,1.7,6.79,6,Minnesota United,13.7,4.9,1,7.8,6.79,6,Minnesota United,1.5,0.3,1,0.2,6.79,6,Minnesota United,7.1,10.4,17.5,6.79,6,Minnesota United,16.4,9.8,6.79,6,Minnesota United,29.6,13.6,15.9,6.79,6,Minnesota United,405,26.8,29.6,294.2,54.3,6.79,6,Minnesota United,10.2,2,8.2,6.79,6,Minnesota United,0.2,0,0.2,0.1,0,0.6,1,6.79,6,Minnesota United,13.7,10.4,0.3,2.8,0.2,6.79,6,Minnesota United,2.4,0.8,0.4,0.3,0.1,7.1,6.79
7,Philadelphia Union,18.9,10.6,29.5,6.77,7,Philadelphia Union,9.1,6.77,7,Philadelphia Union,9.6,11.4,6.77,7,Philadelphia Union,1.7,0.1,6.77,7,Philadelphia Union,2.4,6.77,7,Philadelphia Union,15.7,6.77,7,Philadelphia Union,3.1,1.1,7.6,6.77,7,Philadelphia Union,2.4,0.1,1.5,0.8,6.77,7,Philadelphia Union,14,5.5,1.1,7.4,6.77,7,Philadelphia Union,1.7,0.2,1.3,0.2,6.77,7,Philadelphia Union,6.6,10.6,17.2,6.77,7,Philadelphia Union,15.7,8.4,6.77,7,Philadelphia Union,31.4,15.6,15.8,6.77,7,Philadelphia Union,484,27.1,29.2,368.9,58.7,6.77,7,Philadelphia Union,10.5,1.5,9,6.77,7,Philadelphia Union,0.2,0,0.1,0,0,1,1.2,6.77,7,Philadelphia Union,14,9.8,0.3,3.7,0.2,6.77,7,Philadelphia Union,2,0.9,0.5,0.4,0,7.5,6.77
8,San Jose Earthquakes,17.7,9.1,26.9,6.75,8,San Jose Earthquakes,10.6,6.75,8,San Jose Earthquakes,12.2,12.5,6.75,8,San Jose Earthquakes,2.1,0.1,6.75,8,San Jose Earthquakes,2.2,6.75,8,San Jose Earthquakes,14.9,6.75,8,San Jose Earthquakes,2.7,0.9,6.9,6.75,8,San Jose Earthquakes,3.2,0.1,1.8,1.3,6.75,8,San Jose Earthquakes,17.5,7.8,1.3,8.4,6.75,8,San Jose Earthquakes,1.5,0.4,0.9,0.2,6.75,8,San Jose Earthquakes,7.1,11.7,18.9,6.75,8,San Jose Earthquakes,14.1,10.6,6.75,8,San Jose Earthquakes,23.1,10.6,12.5,6.75,8,San Jose Earthquakes,501.9,38.1,26.5,385,52.4,6.75,8,San Jose Earthquakes,13.9,1.7,12.2,6.75,8,San Jose Earthquakes,0.1,0,0.1,0,0,0.9,1.2,6.75,8,San Jose Earthquakes,17.5,13.3,0.3,3.9,0,6.75,8,San Jose Earthquakes,2.1,1.1,0.3,0.4,0.1,11,6.75
9,Portland Timbers,16.9,10.3,27.2,6.74,9,Portland Timbers,10.1,6.74,9,Portland Timbers,9,13.5,6.74,9,Portland Timbers,2.2,0.2,6.74,9,Portland Timbers,1.6,6.74,9,Portland Timbers,19,6.74,9,Portland Timbers,3.1,1,6.4,6.74,9,Portland Timbers,3.6,0.2,2.2,1.2,6.74,9,Portland Timbers,16.5,6,0.9,9.6,6.74,9,Portland Timbers,1.5,0.3,0.9,0.3,6.74,9,Portland Timbers,6.1,8,14.1,6.74,9,Portland Timbers,14.3,7.7,6.74,9,Portland Timbers,27.7,13.8,13.9,6.74,9,Portland Timbers,450.9,34.8,26.9,333.5,55.7,6.74,9,Portland Timbers,13.2,3.1,10.2,6.74,9,Portland Timbers,0.3,0.1,0.1,0.1,0,0.6,1,6.74,9,Portland Timbers,16.5,11.5,0.9,4.1,0.1,6.74,9,Portland Timbers,3.6,1.7,0.3,0.4,0,9.2,6.74
10,FC Dallas,17.8,9.3,27.1,6.73,10,FC Dallas,11,6.73,10,FC Dallas,11.7,12.6,6.73,10,FC Dallas,2,0,6.73,10,FC Dallas,1.5,6.73,10,FC Dallas,16.4,6.73,10,FC Dallas,3,1.3,6.8,6.73,10,FC Dallas,2.7,0.1,1.5,1.1,6.73,10,FC Dallas,13.8,6.2,0.7,6.9,6.73,10,FC Dallas,1.6,0.3,1,0.2,6.73,10,FC Dallas,7,9.2,16.2,6.73,10,FC Dallas,13.5,9.9,6.73,10,FC Dallas,23,11.7,11.3,6.73,10,FC Dallas,495.9,31.3,25.3,387.9,51.3,6.73,10,FC Dallas,10.2,1.9,8.4,6.73,10,FC Dallas,0.1,0.1,0.1,0,0,0.8,1,6.73,10,FC Dallas,13.8,10,0.4,3.3,0.1,6.73,10,FC Dallas,1.5,1.1,0.2,0.1,0,8.1,6.73
