"Team","TotalTackles","DribbledPast","TotalAttemptedTackles","Interceptions","Fouled","Fouls","Yellow","Red","CaughtOffside","Clearances","ShotsBlocked","CrossesBlocked","PassesBlocked","TotalSaves","SixYardBoxSaves","PenaltyAreaSaves","OutOfBoxSaves","TotalShots","OutOfBoxShots","SixYardBoxShots","PenaltyAreaShots","TotalGoals","SixYardBoxGoals","PenaltyAreaGoals","OutOfBoxGoals","Unsuccessful","Successful","TotalDribbles","UnsuccessfulTouches","Dispossessed","TotalAerial","AerialWon","AerialLost","TotalPasses","AccLB","InAccLB","AccSP","InAccSP","TotalKeyPasses","LongKeyPasses","ShortKeyPasses","CrossAss","CornerAss","ThroughballAss","FreekickAss","OtherAss","TotalAss","OpenPlayShots","CounterShots","SetPieceShots","PenaltyShots","CrossKP","CornerKP","ThroughballKP","FreekickKP","ThrowinKP","OtherKP","League","percOppThird","percMiddleThird","attackMiddle","percOutofBoxShots","percSixYardBoxShots","percPenaltyAreaShots","percOutofBoxGoals","percSixYardBoxGoals","percPenaltyAreaGoals","percAerial","TotalLB","accLB","percLB","TotalSP","accSP","percLongKeyPasses","percCrossAss","percCornerAss","percThroughballAss","percFreekickAss","percSetPieceAss","percDribbles","percSetPieceShots","percCounterShots","percLongKP","percTBKP","percCrossKP","percSetPieceKP","team"
"Manchester City",14,11,25,9.4,7.7,10.1,1.8,0.1,1.8,12.9,1.6,0.9,6.2,2.1,0.2,1.3,0.6,19.4,6.3,2,11.1,2.4,0.5,1.5,0.4,6.3,12.8,19.1,12.1,9.2,28,14,14,675.9,32,18.3,568.7,57,15.1,1.2,13.9,0.5,0.1,0.3,0,1,1.8,14.1,0.7,4.3,0.3,3,1.1,0.9,0.1,NA,11,"PL",36,43,27,0.324742268041237,0.103092783505155,0.572164948453608,0.166666666666667,0.208333333333333,0.625,0.5,50.3,0.636182902584493,0.0744192927947921,625.7,0.908902029726706,0.0794701986754967,0.277777777777778,0.0555555555555556,0.166666666666667,0,0.0555555555555556,0.670157068062827,0.233695652173913,0.049645390070922,0.0794701986754967,0.0604026845637584,0.201342281879195,0.0794701986754967,"Manchester City"
"Liverpool",14.9,10.4,25.3,9.2,7.6,8.3,0.9,0,1.4,17.1,1.9,1.6,6.2,2.1,0.1,1,1.1,15.6,4.5,1.3,9.8,2.3,0.4,1.6,0.2,7.3,10.3,17.7,15.6,7.9,34,17.9,16.1,622.2,31.8,32.4,490.2,67.9,12.2,2,10.2,0.5,0.2,0.2,0.1,1,1.8,11.1,0.8,3.6,0.2,2.9,1,0.6,0.3,NA,8.6,"PL",33,44,26,0.288461538461538,0.0833333333333333,0.628205128205128,0.0869565217391304,0.173913043478261,0.695652173913044,0.526470588235294,64.2,0.495327102803738,0.103182256509161,558.1,0.878337215552768,0.163934426229508,0.277777777777778,0.111111111111111,0.111111111111111,0.0555555555555556,0.166666666666667,0.581920903954802,0.244897959183673,0.0720720720720721,0.163934426229508,0.0495867768595041,0.239669421487603,0.10655737704918,"Liverpool"
"Leicester",19.6,11.7,31.3,11.4,11.7,10.6,1.1,0,1.8,19,2.6,2.2,8.7,2.8,0.2,1.8,0.8,14,5.1,1.2,7.7,2,0.4,1.3,0.3,8.9,10.7,19.6,15.6,8.6,33.8,16.9,16.9,516.3,26.2,27.4,399.5,63.2,10.5,1.9,8.7,0.2,0.1,0.3,0,0.9,1.4,9.2,0.9,3.7,0.2,2.4,0.9,0.6,0.6,NA,7.2,"PL",28,44,23,0.364285714285714,0.0857142857142857,0.55,0.15,0.2,0.65,0.5,53.6,0.488805970149254,0.10381561107883,462.7,0.863410417116922,0.180952380952381,0.142857142857143,0.0714285714285714,0.214285714285714,0,0.0714285714285714,0.545918367346939,0.286821705426357,0.0978260869565217,0.180952380952381,0.0588235294117647,0.235294117647059,0.142857142857143,"Leicester"
"Chelsea",17.6,9.9,27.4,12.5,10.3,10,1.8,0,1.8,15.8,2.4,1.5,7.2,1.7,0,1.1,0.6,16.6,5.8,1.2,9.6,1.8,0.3,1.2,0.2,7.1,13,20.1,16.1,11.3,37.2,18.7,18.5,602,28,26.6,482.2,65.2,12.4,2,10.5,0.4,0,0.1,0.1,0.7,1.2,11.9,0.4,4.1,0.1,3.2,1.1,0.5,0.4,NA,8.5,"PL",30,45,26,0.349397590361446,0.072289156626506,0.578313253012048,0.111111111111111,0.166666666666667,0.666666666666667,0.502688172043011,54.6,0.512820512820513,0.0906976744186047,547.4,0.880891487029594,0.161290322580645,0.333333333333333,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.646766169154229,0.25625,0.0336134453781513,0.161290322580645,0.0409836065573771,0.262295081967213,0.120967741935484,"Chelsea"
"Wolverhampton Wanderers",17.9,11.4,29.3,11.9,9.3,10.9,1.6,0.1,1.4,17.8,3,1.4,6.7,2.7,0.2,1.7,0.8,12.8,4.4,1.2,7.1,1.4,0.4,0.7,0.2,8.2,14,22.1,14.6,8.9,38.8,20.3,18.4,430.8,34.6,30.9,304.2,61.1,9.3,1.3,8,0.2,0,0,0,0.7,0.9,8.4,0.9,3.4,0.1,2.7,0.8,0.2,0.4,NA,6.2,"PL",26,47,21,0.34375,0.09375,0.5546875,0.142857142857143,0.285714285714286,0.5,0.52319587628866,65.5,0.52824427480916,0.152042711234912,365.3,0.832740213523132,0.139784946236559,0.222222222222222,0,0,0,0,0.633484162895928,0.288135593220339,0.107142857142857,0.139784946236559,0.021978021978022,0.296703296703297,0.129032258064516,"Wolverhampton Wanderers"
"Manchester United",15.8,10.4,26.2,9.8,11.5,11,1.9,0,1.3,17.6,2.7,2.3,6.8,2.6,0.1,1.5,1,14.8,6.9,0.9,6.9,1.5,0.2,1,0.2,8.1,11.7,19.8,15.1,11.1,30.4,15.5,14.9,503,22.9,25.7,391.7,62.7,10.9,1.7,9.2,0.3,0,0.1,0,0.6,1,10.4,0.7,3.3,0.3,2.1,0.7,0.7,0.3,NA,8,"PL",30,43,23,0.466216216216216,0.0608108108108108,0.466216216216216,0.133333333333333,0.133333333333333,0.666666666666667,0.509868421052632,48.6,0.47119341563786,0.0966202783300199,454.4,0.862015845070423,0.155963302752294,0.3,0,0.1,0,0,0.590909090909091,0.240875912408759,0.0673076923076923,0.155963302752294,0.0648148148148148,0.194444444444444,0.091743119266055,"Manchester United"
"Tottenham",17.8,11.7,29.4,9.9,11.1,10.2,2.2,0.1,1.8,22.1,4.1,1.8,7.9,3.7,0.2,2,1.4,12.1,4.7,0.8,6.6,1.6,0.3,1,0.2,8.2,12.5,20.7,15.4,12.3,34.8,17.2,17.6,497.4,21.6,32.2,381.9,61.7,9.4,1.1,8.4,0.2,0.1,0,0,0.8,1,8.9,0.7,2.3,0.1,1.9,0.6,0.4,0.2,NA,7,"PL",26,46,29,0.388429752066116,0.0661157024793388,0.545454545454545,0.125,0.1875,0.625,0.494252873563218,53.8,0.401486988847584,0.108162444712505,443.6,0.860910730387737,0.117021276595745,0.2,0.1,0,0,0.1,0.603864734299517,0.205357142857143,0.0786516853932584,0.117021276595745,0.043010752688172,0.204301075268817,0.0851063829787234,"Tottenham"
"Sheffield United",16.8,10.3,27.1,11.5,7.4,10.9,1.8,0,2.2,23.9,2.9,1.6,6,2.5,0.2,1.4,0.9,10.2,2.7,1,6.5,1.1,0.2,0.8,0,5.1,9.6,14.7,14.4,8.2,48.8,25,23.8,395.5,29.9,44.9,263.5,57.2,7.6,1.8,5.8,0.2,0,0.1,0,0.4,0.6,6.5,0.7,2.9,0,2.6,0.8,0.3,0.3,NA,4.6,"PL",31,43,19,0.264705882352941,0.0980392156862745,0.637254901960784,0,0.181818181818182,0.727272727272727,0.512295081967213,74.8,0.399732620320856,0.189127686472819,320.7,0.821640162145307,0.236842105263158,0.333333333333333,0,0.166666666666667,0,0,0.653061224489796,0.308510638297872,0.107692307692308,0.236842105263158,0.04,0.346666666666667,0.144736842105263,"Sheffield United"
"Crystal Palace",17.7,10.2,28,11.7,12.5,10.9,1.7,0,1.5,22.3,3.8,2.3,6.4,3.4,0.5,1.8,1.2,9.9,3.3,0.9,5.7,0.9,0.1,0.6,0.1,7.3,11.6,19,15.9,12.4,43.1,21.6,21.6,381.3,23.1,34.9,266.3,57,7.1,1.2,5.9,0.1,0,0,0,0.5,0.6,6.3,0.4,3.1,0.1,1.7,0.8,0.2,0.4,NA,5.1,"PL",27,43,23,0.333333333333333,0.0909090909090909,0.575757575757576,0.111111111111111,0.111111111111111,0.666666666666667,0.501160092807425,58,0.398275862068966,0.15211119853134,323.3,0.823693164243737,0.169014084507042,0.166666666666667,0,0,0,0,0.610526315789474,0.329787234042553,0.0634920634920635,0.169014084507042,0.0285714285714286,0.242857142857143,0.169014084507042,"Crystal Palace"
"Arsenal",16.2,10,26.2,9.2,11.6,11,2.3,0.1,1.9,18.5,3.8,1.6,6.6,3.7,0.3,1.9,1.6,11.1,3.5,0.9,6.8,1.4,0.3,1,0.1,8.3,11.8,20,15.1,9.8,29.7,13.4,16.3,507.1,27.1,26.6,398,55.4,8.6,1,7.6,0.3,0.1,0.1,0,0.6,1,7.6,0.6,2.9,0.1,2.3,1.1,0.4,0.2,NA,5.7,"PL",26,42,24,0.315315315315315,0.0810810810810811,0.612612612612613,0.0714285714285714,0.214285714285714,0.714285714285714,0.451178451178451,53.7,0.504655493482309,0.105896272924472,453.4,0.877812086457874,0.116279069767442,0.3,0.1,0.1,0,0.1,0.59,0.276190476190476,0.0789473684210526,0.116279069767442,0.0476190476190476,0.273809523809524,0.151162790697674,"Arsenal"
