Team,Conf,GP,ShtF,ShtA,GF,GA,GD,xGF,xGA,xGD,xGDdiff,ShtF/g,ShtA/g,GF/g,GA/g,GD/g,xGF/g,xGA/g,xGD/g
Los Angeles FC,Western,34,621,344,84,33,51,68.1,33.3,34.8,16.2,18.3,10.1,2.47,0.97,1.5,2,0.98,1.02
Chicago Fire,Eastern,34,477,375,53,47,6,54.9,40.2,14.8,-8.8,14,11,1.56,1.38,0.18,1.62,1.18,0.43
New York City FC,Eastern,34,514,392,63,39,24,48.9,37.6,11.3,12.7,15.1,11.5,1.85,1.15,0.71,1.44,1.11,0.33
San Jose Earthquakes,Western,34,593,445,50,53,-3,54.7,45.5,9.2,-12.2,17.4,13.1,1.47,1.56,-0.09,1.61,1.34,0.27
Atlanta United,Eastern,34,508,384,55,41,14,48.4,40.6,7.9,6.1,14.9,11.3,1.62,1.21,0.41,1.42,1.19,0.23
Philadelphia Union,Eastern,34,476,394,57,49,8,50.2,42.7,7.5,0.5,14,11.6,1.68,1.44,0.24,1.48,1.26,0.22
Toronto FC,Eastern,34,438,425,57,50,7,47.4,42.4,5.1,1.9,12.9,12.5,1.68,1.47,0.21,1.4,1.25,0.15
Minnesota United,Western,34,467,492,50,43,7,46.6,42.4,4.2,2.8,13.7,14.5,1.47,1.26,0.21,1.37,1.25,0.12
FC Dallas,Western,34,469,433,51,46,5,44.7,40.7,3.9,1.1,13.8,12.7,1.5,1.35,0.15,1.31,1.2,0.12
New York Red Bulls,Eastern,34,447,430,49,49,0,46.8,43,3.8,-3.8,13.1,12.6,1.44,1.44,0,1.38,1.26,0.11
Sporting Kansas City,Western,34,499,464,46,67,-21,49.7,47.7,2,-23,14.7,13.6,1.35,1.97,-0.62,1.46,1.4,0.06
LA Galaxy,Western,34,468,568,58,56,2,52.7,50.9,1.8,0.2,13.8,16.7,1.71,1.65,0.06,1.55,1.5,0.05
Portland Timbers,Western,34,562,484,50,48,2,51.6,51.7,0,2,16.5,14.2,1.47,1.41,0.06,1.52,1.52,0
Houston Dynamo,Western,34,452,484,45,59,-14,45.3,45.6,-0.3,-13.7,13.3,14.2,1.32,1.74,-0.41,1.33,1.34,-0.01
Orlando City,Eastern,34,385,468,44,50,-6,40.8,41.9,-1.1,-4.9,11.3,13.8,1.29,1.47,-0.18,1.2,1.23,-0.03
Seattle Sounders FC,Western,34,426,473,50,47,3,45.2,47.5,-2.2,5.2,12.5,13.9,1.47,1.38,0.09,1.33,1.4,-0.07
Montreal Impact,Eastern,34,391,376,44,59,-15,37.9,41.1,-3.2,-11.8,11.5,11.1,1.29,1.74,-0.44,1.12,1.21,-0.09
Real Salt Lake,Western,34,429,430,46,40,6,35,38.8,-3.8,9.8,12.6,12.6,1.35,1.18,0.18,1.03,1.14,-0.11
Columbus Crew,Eastern,34,395,441,37,47,-10,35.1,43.9,-8.8,-1.2,11.6,13,1.09,1.38,-0.29,1.03,1.29,-0.26
Colorado Rapids,Western,34,483,527,57,56,1,47.9,58.1,-10.2,11.2,14.2,15.5,1.68,1.65,0.03,1.41,1.71,-0.3
DC United,Eastern,34,430,576,41,37,4,37.9,51.6,-13.6,17.6,12.6,16.9,1.21,1.09,0.12,1.12,1.52,-0.4
New England Revolution,Eastern,34,455,504,49,57,-8,46.5,60.2,-13.7,5.7,13.4,14.8,1.44,1.68,-0.24,1.37,1.77,-0.4
FC Cincinnati,Eastern,34,359,513,29,74,-45,32.8,56.8,-24,-21,10.6,15.1,0.85,2.18,-1.32,0.96,1.67,-0.71
Vancouver Whitecaps,Western,34,359,681,37,55,-18,31.2,56.6,-25.4,7.4,10.6,20,1.09,1.62,-0.53,0.92,1.67,-0.75
