R,Team,Own Third,Middle Third,Opposition Third,League
1,Newcastle United,32%,45%,22%,PL
2,Norwich,35%,42%,23%,PL
3,Aston Villa,33%,41%,26%,PL
4,Arsenal,32%,42%,26%,PL
5,Bournemouth,32%,43%,26%,PL
6,Tottenham,29%,46%,26%,PL
7,Wolverhampton Wanderers,28%,47%,26%,PL
8,Crystal Palace,31%,43%,27%,PL
9,West Ham,28%,46%,27%,PL
10,Brighton,29%,44%,28%,PL
11,Leicester,28%,44%,28%,PL
12,Watford,28%,45%,28%,PL
13,Southampton,26%,45%,29%,PL
14,Burnley,26%,45%,29%,PL
15,Everton,27%,43%,30%,PL
16,Manchester United,27%,43%,30%,PL
17,Chelsea,25%,45%,30%,PL
18,Sheffield United,26%,43%,31%,PL
19,Liverpool,23%,44%,33%,PL
20,Manchester City,21%,43%,36%,PL
1,Vancouver Whitecaps,35%,42%,23%,MLS
2,DC United,31%,44%,24%,MLS
3,FC Dallas,31%,42%,26%,MLS
4,Colorado Rapids,30%,44%,28%,MLS
5,New York City FC,30%,44%,26%,MLS
6,FC Cincinnati,30%,45%,25%,MLS
7,Orlando City,30%,43%,28%,MLS
8,Columbus Crew,29%,44%,28%,MLS
9,Real Salt Lake,29%,46%,25%,MLS
10,San Jose Earthquakes,29%,42%,30%,MLS
11,Seattle Sounders FC,29%,45%,27%,MLS
12,Minnesota United,29%,44%,27%,MLS
13,Sporting Kansas City,28%,42%,29%,MLS
14,Houston Dynamo,28%,45%,27%,MLS
15,Chicago Fire,27%,45%,28%,MLS
16,LA Galaxy,27%,43%,29%,MLS
17,Toronto FC,27%,42%,31%,MLS
18,Portland Timbers,27%,42%,30%,MLS
19,Montreal Impact,27%,48%,26%,MLS
20,New England Revolution,26%,44%,30%,MLS
21,Atlanta United,26%,46%,29%,MLS
22,New York Red Bulls,25%,42%,32%,MLS
23,Philadelphia Union,24%,43%,32%,MLS
24,Los Angeles FC,24%,42%,33%,MLS
