,Season,Team,Speed,SF,GF,xGF,SA,GA,xGA
0,2019,Sevilla,Normal,206,19,23.746063399128616,156,14,16.109902327880263
0,2019,Sevilla,Standard,111,13,13.0671965489164,78,10,8.305383301340044
0,2019,Sevilla,Fast,21,5,3.562907269690186,13,3,2.1535549722611904
0,2019,Sevilla,Slow,16,2,2.433928971644491,17,2,1.734837552998215
0,2019,Real Sociedad,Normal,191,30,25.111187145579606,185,19,18.07180402521044
0,2019,Real Sociedad,Standard,80,12,13.560058377683163,88,9,9.68891759775579
0,2019,Real Sociedad,Fast,25,3,3.7858278676867485,19,3,3.3238085536286235
0,2019,Real Sociedad,Slow,18,0,0.7638352671638131,15,2,1.8294747262261808
0,2019,Espanyol,Normal,163,9,13.041471854783595,207,29,26.509278336539865
0,2019,Espanyol,Standard,84,10,9.693015027791262,84,10,7.249603279866278
0,2019,Espanyol,Slow,31,2,3.3202056558802724,13,1,1.443830125965178
0,2019,Espanyol,Fast,21,2,4.13488081889227,26,6,4.960973484441638
0,2019,Getafe,Normal,168,19,19.40593718457967,112,16,16.86985277151689
0,2019,Getafe,Standard,94,14,13.365526730194688,64,6,9.61289433017373
0,2019,Getafe,Fast,13,3,2.524694165214896,16,2,4.3372955694794655
0,2019,Getafe,Slow,13,1,0.7966986056417227,8,1,0.31905774772167206
0,2019,Atletico Madrid,Normal,196,21,24.381620408967137,165,8,11.692051804158837
0,2019,Atletico Madrid,Standard,95,7,11.21756896469742,96,10,9.852909858338535
0,2019,Atletico Madrid,Fast,26,2,6.372919904068112,6,1,0.8735744878649712
0,2019,Atletico Madrid,Slow,10,1,0.6069063087925315,19,2,1.4552315883338451
0,2019,Valencia,Normal,146,22,20.51381842046976,276,23,28.772856272757053
0,2019,Valencia,Standard,75,13,12.939583405852318,99,12,12.869730042293668
0,2019,Valencia,Slow,15,1,1.0254128207452595,24,3,1.3824454499408603
0,2019,Valencia,Fast,12,2,2.5652310494333506,12,1,1.4920168444514275
0,2019,Athletic Club,Normal,160,13,14.29375967476517,153,13,17.803827497642487
0,2019,Athletic Club,Standard,107,12,12.469989420846105,84,7,11.223219027742743
0,2019,Athletic Club,Fast,19,3,1.7346414104104042,11,1,3.5490139424800873
0,2019,Athletic Club,Slow,16,1,2.2132871709764004,11,2,2.759515835903585
0,2019,Barcelona,Normal,238,42,39.56769594969228,170,18,16.023187823127955
0,2019,Barcelona,Standard,67,14,8.405071745626628,63,9,9.237189637497067
0,2019,Barcelona,Slow,23,4,1.605508927255869,19,1,0.8679110510274768
0,2019,Barcelona,Fast,16,3,3.1042690286412835,15,3,1.5682419259101152
0,2019,Real Madrid,Normal,284,31,35.369740716181695,141,9,13.618471465539187
0,2019,Real Madrid,Standard,112,13,14.778523607179523,65,6,7.873996025882661
0,2019,Real Madrid,Slow,27,3,1.7727578673511744,12,1,1.6625233059749007
0,2019,Real Madrid,Fast,12,2,3.2313843443989754,13,3,2.299239933490753
0,2019,Levante,Normal,199,21,22.50993239786476,264,22,31.690289731603116
0,2019,Levante,Standard,73,10,9.398756540380418,115,13,14.617149472236633
0,2019,Levante,Fast,23,1,2.9438242269679904,32,4,4.532862431369722
0,2019,Levante,Slow,15,0,0.6326265390962362,28,1,2.3544977167621255
0,2019,Celta Vigo,Normal,168,10,16.28183751553297,196,17,19.137244381010532
0,2019,Celta Vigo,Standard,65,8,7.89643126167357,99,11,10.32289651967585
0,2019,Celta Vigo,Fast,17,4,3.7911063693463802,12,3,2.537696599960327
0,2019,Celta Vigo,Slow,12,0,0.7237439388409257,19,3,1.617530117277056
0,2019,Real Betis,Normal,202,18,18.555849353782833,200,26,22.668335247784853
0,2019,Real Betis,Standard,83,13,11.426061946898699,105,16,15.62625870667398
0,2019,Real Betis,Slow,26,2,1.3869062256999314,14,0,0.6320917205885053
0,2019,Real Betis,Fast,21,5,4.444726098328829,22,1,3.1622984600253403
0,2019,Villarreal,Normal,263,25,29.922999432776123,221,20,20.784403841011226
0,2019,Villarreal,Standard,84,12,13.449055404402316,103,15,14.267969094216824
0,2019,Villarreal,Slow,18,2,2.5753632551059127,23,2,1.9451197255402803
0,2019,Villarreal,Fast,17,5,3.3006363147869706,17,1,2.123896263539791
0,2019,Granada,Normal,156,15,17.360323949716985,185,22,19.2628140472807
0,2019,Granada,Standard,95,11,10.45975727494806,93,7,9.307158195413649
0,2019,Granada,Slow,16,2,1.8792503336444497,23,2,1.6009282683953643
0,2019,Granada,Fast,11,5,2.257709067314863,22,1,2.136371321976185
0,2019,Eibar,Normal,166,10,12.815170577261597,167,25,24.422679824754596
0,2019,Eibar,Standard,99,12,12.476023362018168,70,9,9.333145728334785
0,2019,Eibar,Slow,20,3,1.4546171622350812,6,1,1.3299899641424417
0,2019,Eibar,Fast,16,2,2.731594743207097,26,6,6.315754408016801
0,2019,Osasuna,Normal,209,16,22.32156180916354,171,18,19.478752115741372
0,2019,Osasuna,Standard,111,13,12.320112305693328,93,13,12.06188995204866
0,2019,Osasuna,Fast,26,4,3.567161589395255,22,5,4.567021845839918
0,2019,Osasuna,Slow,13,1,0.888760513626039,13,2,0.9840371459722519
0,2019,Alaves,Normal,111,16,13.665053883567452,188,17,20.087864122353494
0,2019,Alaves,Standard,93,12,12.368376064579934,119,15,15.512707053683698
0,2019,Alaves,Fast,21,1,4.354122830554843,19,4,3.947795692831278
0,2019,Alaves,Slow,10,0,0.3001499241217971,11,1,0.739941444247961
0,2019,Leganes,Normal,182,11,15.716726797632873,157,22,20.42122737970203
0,2019,Leganes,Standard,97,6,9.388732254505157,75,14,11.695530431810766
0,2019,Leganes,Fast,19,4,3.0794098703190684,16,2,4.19052416831255
