"","Player","Nation","Pos","Squad","Matches","League","Rk","Age","Born","MatchesPlayed","Starts","Min","Gls","Ast","PK","PKatt","CrdY","CrdR","xG","npxG","xA","Sh","SoT","FK","SoTperc","GperSh","GperSoT","npxGperSh","G-xG","np:G-xG","PassCmp","PassAtt","PassCmpperc","PassTotDist","PassPrgDist","SPassCmp","SPassAtt","SPassCmpperc","MPassCmp","MPassAtt","MPassCmpperc","LPassCmp","LPassAtt","LPassCmpperc","A-xA","KP","PassF3","PPA","CrsPA","ProgPasses","Att","PassLive","PassDead","PassFK","PassTB","PassPress","PassSw","PassCrs","PassCK","CKIn","CKOut","CKStr","PassGround","PassLow","PassHigh","PassLeft","PassRight","PassHead","PassTI","PassOther","PassOff","PassOut","PassInt","PassBlocks","SCA","SCAPassLive","SCAPassDead","SCADrib","SCASh","SCAFld","GCA","GCAPassLive","GCAPassDead","GCADrib","GCASh","GCAFld","GCAOG","TklTkl","TklTklW","TklDef3rd","TklMid3rd","TklAtt3rd","vDribTkl","vDribAtt","vDribTklperc","vDribPast","Press","PressSucc","Pressperc","PressDef3rd","PressMid3rd","PressAtt3rd","Blocks","BlockSh","BlockShSv","BlockPass","Int","Clr","Err","Touches","TouchesDefPen","TouchesDef3rd","TouchesMid3rd","TouchesAtt3rd","TouchesAttPen","TouchesLive","DribSucc","DribAtt","DribSuccperc","Drib#Pl","DribMegs","Carries","CarryTotDist","CarryPrgDist","Targ","Rec","Recperc","Miscon","Dispos","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","AerWon","AerLost","AerWonperc"
"3","David Abraham","ar ARG","DF","Eint Frankfurt","Matches","Bundesliga",0.126760563380282,32,1986,17,17,1420,0,0,0,0,0.126760563380282,0,0.0316901408450704,0.0316901408450704,0.00633802816901408,0.316901408450704,0.0633802816901408,0,20,0,0,0.1,-0.0316901408450704,-0.0316901408450704,32.9577464788732,42.5281690140845,77.5,768.422535211268,289.267605633803,0.253521126760563,0.823943661971831,30.8,20.3450704225352,24.0845070422535,84.5,12.3591549295775,17.6197183098592,70.1,-0.00633802816901408,0.190140845070423,3.67605633802817,0.443661971830986,0.190140845070423,4.56338028169014,42.5281690140845,41.0704225352113,1.45774647887324,1.26760563380282,0,6.40140845070423,1.52112676056338,0.507042253521127,0,0,0,0,27.0633802816901,4.62676056338028,10.8380281690141,4.56338028169014,32.830985915493,3.80281690140845,0.190140845070423,0,0.126760563380282,0.76056338028169,0.76056338028169,0.76056338028169,0.633802816901408,0.507042253521127,0,0,0.0633802816901408,0.0633802816901408,0.0633802816901408,0,0,0,0.0633802816901408,0,0,1.77464788732394,1.20422535211268,1.07746478873239,0.570422535211268,0.126760563380282,0.507042253521127,1.64788732394366,30.8,1.14084507042254,11.4718309859155,4.30985915492958,37.6,7.09859154929577,3.80281690140845,0.570422535211268,2.53521126760563,0.697183098591549,0.0633802816901408,1.83802816901408,1.77464788732394,4.11971830985915,0,52.4788732394366,5.70422535211268,23.7042253521127,29.0915492957746,3.61267605633803,0.507042253521127,51.0845070422535,0.253521126760563,0.316901408450704,80,0.253521126760563,0,30.1056338028169,202.753521126761,109.140845070423,28.6478873239437,28.0140845070423,97.8,0.190140845070423,0.126760563380282,0,0.697183098591549,0.570422535211268,0,0.507042253521127,1.20422535211268,0,0,0,12.4859154929577,1.7112676056338,1.01408450704225,62.8
"4","Amir Abrashi","al ALB","MF","Freiburg","Matches","Bundesliga",0.341772151898734,28,1990,10,9,790,0,0,0,0,0.569620253164557,0,0.0227848101265823,0.0227848101265823,0.0113924050632911,0.79746835443038,0.227848101265823,0,28.6,0,0,0.02,-0.0227848101265823,-0.0227848101265823,37.9367088607595,43.746835443038,86.7,642.075949367089,110.278481012658,0.455696202531646,1.59493670886076,28.6,31.6708860759494,35.2025316455696,90,5.81012658227848,6.94936708860759,83.6,-0.0113924050632911,0.227848101265823,2.50632911392405,0.113924050632911,0,1.82278481012658,43.746835443038,42.6075949367089,1.13924050632911,0.683544303797468,0,8.77215189873418,0.455696202531646,0.227848101265823,0,0,0,0,33.1518987341772,5.35443037974683,5.24050632911392,2.84810126582278,36.5696202531646,3.18987341772152,0.227848101265823,0.455696202531646,0,0.455696202531646,0.455696202531646,1.13924050632911,0.455696202531646,0.455696202531646,0,0,0,0,0,0,0,0,0,0,0,2.16455696202532,1.36708860759494,0.911392405063291,0.911392405063291,0.341772151898734,0.455696202531646,2.27848101265823,20,1.82278481012658,23.0126582278481,5.46835443037975,23.8,8.08860759493671,12.0759493670886,2.84810126582278,1.25316455696203,0.227848101265823,0,1.0253164556962,2.16455696202532,1.13924050632911,0,52.746835443038,2.27848101265823,11.9620253164557,35.7721518987342,7.63291139240506,0.455696202531646,51.8354430379747,0.683544303797468,0.79746835443038,85.7,0.683544303797468,0,38.620253164557,196.291139240506,78.1518987341772,33.1518987341772,31.5569620253165,95.2,0.113924050632911,1.25316455696203,0,2.16455696202532,1.82278481012658,0,0.227848101265823,1.36708860759494,0,0,0,13.3291139240506,0.569620253164557,0.683544303797468,45.5
"5","Tyler Adams","us USA","MF","RB Leipzig","Matches","Bundesliga",0.499306518723994,19,1999,10,8,721,0,0.249653259361997,0,0,0,0,0.0249653259361997,0.0249653259361997,0.0998613037447989,0.374479889042996,0.124826629680999,0,33.3,0,0,0.06,-0.0249653259361997,-0.0249653259361997,51.9278779472954,64.4105409153953,80.6,873.411927877947,277.614424410541,0.748959778085992,2.24687933425797,33.3,43.1900138696255,51.4285714285714,84,7.98890429958391,10.7350901525659,74.4,0.149791955617198,0.624133148404993,6.11650485436893,0.499306518723994,0,6.61581137309293,64.4105409153953,62.4133148404993,1.99722607489598,1.74757281553398,0.499306518723994,11.1095700416089,0.748959778085992,0.499306518723994,0,0,0,0,45.4368932038835,8.7378640776699,10.2357836338419,9.86130374479889,46.5603328710125,5.99167822468793,0.249653259361997,0.249653259361997,0.124826629680999,0.998613037447989,0.374479889042996,1.74757281553398,1.62274618585298,1.37309292649098,0,0.124826629680999,0,0.124826629680999,0.499306518723994,0.374479889042996,0,0.124826629680999,0,0,0,3.37031900138696,2.62135922330097,1.49791955617198,1.37309292649098,0.499306518723994,1.37309292649098,2.74618585298197,50,1.37309292649098,26.2135922330097,10.1109570041609,38.6,8.11373092926491,13.9805825242718,4.11927877947295,1.62274618585298,0.124826629680999,0,1.49791955617198,2.24687933425797,1.37309292649098,0,77.0180305131761,2.12205270457698,14.4798890429958,52.5520110957004,15.8529819694868,0.87378640776699,75.5201109570042,1.37309292649098,1.74757281553398,78.6,1.37309292649098,0.124826629680999,51.3037447988904,310.568654646325,183.994452149792,54.6740638002774,50.4299583911234,92.2,1.62274618585298,1.12343966712899,0,1.49791955617198,1.37309292649098,0,0.499306518723994,2.62135922330097,0,0,0,15.8529819694868,1.99722607489598,1.62274618585298,55.2
"7","Manuel Akanji","ch SUI","DF","Dortmund","Matches","Bundesliga",0.244897959183673,23,1995,25,25,2205,0.0408163265306122,0,0,0,0.0408163265306122,0,0.0326530612244898,0.0326530612244898,0.0163265306122449,0.36734693877551,0.0816326530612245,0,22.2,0.11,0.5,0.09,0.00816326530612245,0.00816326530612245,69.3061224489796,74.6122448979592,92.9,1540.97959183673,450.734693877551,0.36734693877551,0.653061224489796,56.3,43.9183673469388,46.2448979591837,95,25.0204081632653,27.7142857142857,90.3,-0.0163265306122449,0.244897959183673,4.48979591836735,0.163265306122449,0.122448979591837,4.16326530612245,74.6122448979592,72.8571428571429,1.75510204081633,1.06122448979592,0.0408163265306122,7.3469387755102,2.73469387755102,0.122448979591837,0,0,0,0,64.4489795918367,4.69387755102041,5.46938775510204,15.0612244897959,55.6326530612245,2.53061224489796,0.693877551020408,0.204081632653061,0.122448979591837,0.938775510204082,0.612244897959184,0.448979591836735,0.653061224489796,0.571428571428571,0,0,0.0408163265306122,0.0408163265306122,0.163265306122449,0.0816326530612245,0,0,0.0408163265306122,0.0408163265306122,0,1.38775510204082,1.02040816326531,0.775510204081633,0.448979591836735,0.163265306122449,0.204081632653061,0.775510204081633,26.3,0.571428571428571,6.57142857142857,2.44897959183673,37.3,3.75510204081633,2.57142857142857,0.244897959183673,1.10204081632653,0.489795918367347,0,0.612244897959184,1.18367346938776,4.16326530612245,0.0408163265306122,83.0612244897959,6.57142857142857,34.1632653061224,52.4897959183673,3.42857142857143,0.775510204081633,81.4285714285714,0.326530612244898,0.448979591836735,72.7,0.326530612244898,0,63.5918367346939,414.122448979592,227.510204081633,64.9387755102041,64.4489795918367,99.2,0.326530612244898,0.285714285714286,0,0.571428571428571,0.693877551020408,0,0.122448979591837,1.02040816326531,0,0,0,8.77551020408163,1.22448979591837,0.938775510204082,56.6
"8","Chadrac Akolo","cd COD","MF,FW","Stuttgart","Matches","Bundesliga",1.2,23,1995,16,5,525,0,0.171428571428571,0,0,0,0,0.154285714285714,0.154285714285714,0.0514285714285714,2.74285714285714,0.514285714285714,0,18.8,0,0,0.06,-0.154285714285714,-0.154285714285714,20.9142857142857,27.4285714285714,76.3,301.542857142857,75.6,0.171428571428571,1.54285714285714,11.1,18.5142857142857,21.6,85.7,2.22857142857143,4.28571428571429,52,0.12,0.857142857142857,0.685714285714286,1.02857142857143,0.342857142857143,2.91428571428571,27.4285714285714,27.2571428571429,0.171428571428571,0,0.171428571428571,5.48571428571429,0,1.54285714285714,0.171428571428571,0,0,0,22.6285714285714,2.74285714285714,2.05714285714286,3.08571428571429,22.9714285714286,0.857142857142857,0,0,0,0.685714285714286,0.685714285714286,1.02857142857143,3.6,2.4,0,0.514285714285714,0.342857142857143,0.342857142857143,0.171428571428571,0.171428571428571,0,0,0,0,0,1.2,0.857142857142857,0.342857142857143,0.857142857142857,0,0,0.685714285714286,0,0.685714285714286,23.6571428571429,6,25.4,2.74285714285714,13.2,7.71428571428571,1.02857142857143,0,0,1.02857142857143,0.857142857142857,0.342857142857143,0,42.6857142857143,0,4.45714285714286,22.2857142857143,18.6857142857143,3.42857142857143,42.5142857142857,1.37142857142857,2.22857142857143,61.5,1.71428571428571,0,32.7428571428571,157.714285714286,85.3714285714286,43.0285714285714,29.3142857142857,68.1,2.57142857142857,2.4,0,1.37142857142857,2.74285714285714,0.171428571428571,1.54285714285714,0.857142857142857,0,0,0,8.74285714285714,1.02857142857143,1.2,46.2
"11","David Alaba","at AUT","DF","Bayern Munich","Matches","Bundesliga",0.355731225296443,26,1992,31,29,2530,0.106719367588933,0.106719367588933,0,0,0.142292490118577,0,0.0782608695652174,0.0782608695652174,0.170750988142292,1.67193675889328,0.569169960474308,0.569169960474308,34,0.06,0.19,0.05,0.0284584980237154,0.0284584980237154,62.8932806324111,76.0197628458498,82.7,1092.30830039526,367.363636363636,0.533596837944664,1.8498023715415,28.8,51.9723320158103,58.197628458498,89.3,10.3873517786561,15.9723320158103,65,-0.0640316205533597,1.20948616600791,5.76284584980237,1.63636363636364,0.853754940711463,8.21739130434783,76.0197628458498,65.6679841897233,10.3517786561265,0.960474308300395,0.24901185770751,14.1225296442688,1.70750988142293,4.12648221343874,0.177865612648221,0,0,0,52.0434782608696,11.1699604743083,12.8063241106719,57.1304347826087,7.22134387351779,1.8498023715415,9.21343873517787,0.0355731225296443,0.355731225296443,1.13833992094862,1.03162055335968,2.1699604743083,2.52569169960474,1.99209486166008,0.0355731225296443,0.142292490118577,0.284584980237154,0.0711462450592885,0.24901185770751,0.213438735177866,0,0.0355731225296443,0,0,0,1.06719367588933,0.74703557312253,0.462450592885375,0.391304347826087,0.213438735177866,0.320158102766798,0.924901185770751,34.6,0.604743083003953,8.85770750988142,3.84189723320158,43.4,3.02371541501976,3.30830039525692,2.52569169960474,1.70750988142293,0.106719367588933,0,1.60079051383399,1.28063241106719,1.45849802371542,0,84.699604743083,1.77865612648221,17.2173913043478,43.8260869565217,28.8498023715415,2.63241106719368,73.9565217391304,0.924901185770751,1.24505928853755,74.3,0.924901185770751,0.0355731225296443,61.2569169960474,293.158102766798,146.98814229249,63.9249011857708,59.300395256917,92.8,0.99604743083004,0.640316205533597,0,0.49802371541502,0.391304347826087,0.213438735177866,4.12648221343874,0.74703557312253,0,0,0,9.24901185770751,0.569169960474308,0.49802371541502,53.3
"12","Lucas Alario","ar ARG","FW","Leverkusen","Matches","Bundesliga",0.782608695652174,25,1992,27,11,1265,0.640316205533597,0.213438735177866,0,0,0.0711462450592885,0,0.533596837944664,0.533596837944664,0.113833992094862,3.1304347826087,1.20948616600791,0,38.6,0.2,0.53,0.18,0.106719367588933,0.106719367588933,21.6284584980237,27.8181818181818,77.7,286.363636363636,46.8853754940711,1.42292490118577,2.34782608695652,60.6,18.2845849802372,22.9802371541502,79.6,1.92094861660079,2.4901185770751,77.1,0.0996047430830039,1.06719367588933,0.569169960474308,0.569169960474308,0.0711462450592885,1.49407114624506,27.8181818181818,26.5375494071146,1.28063241106719,0.0711462450592885,0.0711462450592885,5.90513833992095,0.355731225296443,0.355731225296443,0,0,0,0,18.6403162055336,6.1897233201581,2.98814229249012,3.55731225296443,20.0632411067194,2.06324110671937,0.0711462450592885,0.49802371541502,0.0711462450592885,0.426877470355731,0.711462450592885,0.782608695652174,1.92094861660079,1.77865612648221,0,0,0.0711462450592885,0.0711462450592885,0.355731225296443,0.284584980237154,0,0,0.0711462450592885,0,0,0.924901185770751,0.640316205533597,0.284584980237154,0.49802371541502,0.142292490118577,0.142292490118577,0.853754940711463,16.7,0.711462450592885,20.4189723320158,6.40316205533597,31.4,1.20948616600791,9.46245059288538,9.74703557312253,0.99604743083004,0.213438735177866,0,0.782608695652174,0.0711462450592885,0.782608695652174,0,40.695652173913,0.924901185770751,4.76679841897233,18.2845849802372,19.3517786561265,6.1897233201581,39.4861660079051,0.284584980237154,1.13833992094862,25,0.49802371541502,0.0711462450592885,26.9644268774704,117.106719367589,48.0237154150198,49.802371541502,32.0869565217391,64.4,2.77470355731225,1.99209486166008,0,1.63636363636364,1.70750988142293,1.06719367588933,0.355731225296443,0.640316205533597,0,0,0,3.98418972332016,2.27667984189723,3.27272727272727,41
"13","Miiko Albornoz","cl CHI","DF,MF","Hannover 96","Matches","Bundesliga",0.650602409638554,27,1990,22,19,1660,0.0542168674698795,0.162650602409639,0,0,0.162650602409639,0.0542168674698795,0.0162650602409639,0.0162650602409639,0.0759036144578313,0.596385542168675,0.216867469879518,0,36.4,0.09,0.25,0.03,0.0379518072289157,0.0379518072289157,39.3072289156627,52.6987951807229,74.6,743.259036144578,297,0.216867469879518,1.57228915662651,13.8,29.8192771084337,34.9156626506024,85.4,9.2710843373494,16.210843373494,57.2,0.0867469879518072,0.867469879518072,2.98192771084337,1.19277108433735,0.433734939759036,6.28915662650603,52.6987951807229,41.4759036144578,11.2228915662651,0.975903614457831,0,6.83132530120482,1.13855421686747,3.14457831325301,0.108433734939759,0,0.0542168674698795,0,26.5120481927711,12.6867469879518,13.5,33.9939759036145,5.31325301204819,2.71084337349398,10.1385542168675,0.162650602409639,0.325301204819277,1.30120481927711,0.921686746987952,1.8433734939759,1.68072289156627,1.24698795180723,0.271084337349398,0.0542168674698795,0.108433734939759,0,0.216867469879518,0.162650602409639,0.0542168674698795,0,0,0,0,2.16867469879518,1.35542168674699,1.62650602409639,0.433734939759036,0.108433734939759,0.975903614457831,2.60240963855422,37.5,1.62650602409639,16.1566265060241,4.66265060240964,28.9,7.86144578313253,6.07228915662651,2.22289156626506,1.95180722891566,0.162650602409639,0,1.78915662650602,0.975903614457831,2.06024096385542,0,63.1626506024096,3.03614457831325,19.355421686747,30.9036144578313,17.1867469879518,0.813253012048193,52.2650602409639,0.487951807228916,1.19277108433735,40.9,0.542168674698795,0.0542168674698795,37.9518072289157,195.018072289157,105.939759036145,39.0361445783133,35.078313253012,89.9,1.08433734939759,1.03012048192771,0,1.8433734939759,1.95180722891566,0.0542168674698795,3.14457831325301,1.35542168674699,0,0.0542168674698795,0,9.75903614457831,0.433734939759036,0.867469879518072,33.3
"14","Paco Alcácer","es ESP","FW","Dortmund","Matches","Bundesliga",0.966143682906689,24,1993,26,11,1211,1.33773740710157,0,0.074318744838976,0.074318744838976,0,0,0.676300578034682,0.616845582163501,0.178364987613543,3.79025598678778,1.93228736581338,0.445912469033856,51,0.33,0.65,0.16,0.661436829066887,0.646573080099092,15.606936416185,20.3633360858794,76.6,190.999174236168,34.3352601156069,0.668868703550784,0.891824938067713,75,13.8976052848885,17.4649050371594,79.6,1.04046242774566,2.00660611065235,51.9,-0.178364987613543,1.26341866226259,0.74318744838976,0.594549958711808,0,1.33773740710157,20.3633360858794,18.2824112303881,2.08092485549133,0,0.074318744838976,3.4186622625929,0,0.297274979355904,0,0,0,0,13.8232865400495,3.64161849710983,2.89843104872007,3.19570602807597,15.7555739058629,1.04046242774566,0.074318744838976,0.074318744838976,0.148637489677952,0.222956234516928,0.445912469033856,0.37159372419488,2.52683732452519,1.93228736581338,0,0.148637489677952,0.222956234516928,0.222956234516928,0.445912469033856,0.297274979355904,0,0,0.074318744838976,0.074318744838976,0,0.297274979355904,0.297274979355904,0.074318744838976,0.148637489677952,0.074318744838976,0,0.594549958711808,0,0.594549958711808,14.0462427745665,3.19570602807597,22.8,0.891824938067713,5.72254335260116,7.43187448389761,0.445912469033856,0,0,0.445912469033856,0.445912469033856,0.37159372419488,0,29.9504541701073,0.445912469033856,1.26341866226259,12.0396366639141,17.3162675474814,5.79686209744013,27.4979355904211,0.520231213872832,0.817506193228737,63.6,0.668868703550784,0,18.728323699422,64.5829892650702,30.2477291494633,35.5986787778695,21.9240297274979,61.6,2.30388109000826,0.966143682906689,0,0.445912469033856,0.520231213872832,0.74318744838976,0.297274979355904,0.297274979355904,0,0,0,3.27002477291495,0.37159372419488,2.30388109000826,13.9
"15","Thiago Alcántara","es ESP","MF","Bayern Munich","Matches","Bundesliga",0.523255813953488,27,1991,30,26,2408,0.0747508305647841,0.224252491694352,0,0,0.18687707641196,0,0.0784883720930233,0.0784883720930233,0.0971760797342193,0.859634551495017,0.224252491694352,0.037375415282392,26.1,0.09,0.33,0.09,-0.0037375415282392,-0.0037375415282392,86.9725913621262,96.1669435215947,90.4,1865.74335548173,462.670265780731,0.448504983388704,1.12126245847176,40,60.1744186046512,63.687707641196,94.5,26.3496677740864,31.3579734219269,84,0.127076411960133,1.27076411960133,10.3156146179402,0.971760797342193,0,10.4277408637874,96.1669435215947,90.859634551495,5.30730897009967,2.69102990033223,0.149501661129568,13.4551495016611,5.34468438538206,2.57890365448505,2.27990033222591,0.710132890365448,0.037375415282392,0.523255813953488,69.7425249169435,10.5024916943522,15.921926910299,5.38205980066445,85.9260797342193,3.02740863787375,0.299003322259136,0.710132890365448,0.112126245847176,1.23338870431894,0.971760797342193,0.747508305647841,2.87790697674419,2.16777408637874,0.485880398671096,0.0747508305647841,0,0.149501661129568,0.299003322259136,0.224252491694352,0.0747508305647841,0,0,0,0,3.17691029900332,2.46677740863787,1.19601328903654,1.49501661129568,0.485880398671096,0.598006644518272,1.68189368770764,35.6,1.08388704318937,14.5016611295681,4.74667774086379,32.7,3.40116279069767,8.93272425249169,2.16777408637874,1.08388704318937,0.224252491694352,0,0.859634551495017,1.64451827242525,0.934385382059801,0,105.510797342193,2.05564784053156,20.7433554817276,70.8637873754153,21.1918604651163,1.19601328903654,100.539867109635,1.94352159468439,2.27990033222591,85.2,2.01827242524917,0,82.1137873754153,396.777408637874,204.667774086379,81.1420265780731,78.4883720930233,96.7,0.485880398671096,0.897009966777409,0,1.94352159468439,1.27076411960133,0.037375415282392,2.57890365448505,2.46677740863787,0,0,0,14.3147840531561,0.934385382059801,1.15863787375415,44.6
