"","Squad","League","#Pl","Poss","MP","Starts","Min","Gls","Ast","PK","PKatt","xG","npxG","xA","GA","SoTA","Saves","Save%","W","D","L","CS","CS%","PKA","PKsv","PKm","FK","CK","OG","PSxG","PSxG/SoT","PSxG+/-","GKLongPassCmp","GKLongPassAtt","GKLongPassCmp%","GKPassAtt","GKPassThr","GKPassLaunch%","GKPassAvgLen","GKickAtt","GKickLaunch%","GKickAvgLen","GKCrossOpp","GKCrossStp","GKCrossStp%","#OPA","AvgDist","Sh","SoT","SoT%","G/Sh","G/SoT","npxG/Sh","G-xG","np:G-xG","PassCmp","PassAtt","PassCmp%","PassTotDist","PassPrgDist","SPassCmp","SPassAtt","SPassCmp%","MPassCmp","MPassAtt","MPassCmp%","LPassCmp","LPassAtt","LPassCmp%","A-xA","KP","PassF3","PPA","CrsPA","ProgPasses","Att","PassLive","PassDead","PassFK","PassTB","PassPress","PassSw","PassCrs","PassCK","CKIn","CKOut","CKStr","PassGround","PassLow","PassHigh","PassLeft","PassRight","PassHead","PassTI","PassOther","PassOff","PassOut","PassInt","PassBlocks","SCA","SCAPassLive","SCAPassDead","SCADrib","SCASh","SCAFld","GCA","GCAPassLive","GCAPassDead","GCADrib","GCASh","GCAFld","GCAOG","TklTkl","TklTklW","TklDef3rd","TklMid3rd","TklAtt3rd","vDribTkl","vDribAtt","vDribTkl%","vDribPast","Press","PressSucc","Press%","PressDef3rd","PressMid3rd","PressAtt3rd","Blocks","BlockSh","BlockShSv","BlockPass","Int","Clr","Err","Touches","TouchesDefPen","TouchesDef3rd","TouchesMid3rd","TouchesAtt3rd","TouchesAttPen","TouchesLive","DribSucc","DribAtt","DribSucc%","Drib#Pl","DribMegs","Carries","CarryTotDist","CarryPrgDist","Targ","Rec","Rec%","Miscon","Dispos","Mn/MP","Min%","Subs","Mn/Sub","unSub","PPM","onG","onGA","+/-","onxG","onxGA","xG+/-","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","Recov","AerWon","AerLost","AerWon%"
"2","Augsburg","Bundesliga",0.882352941176471,46.6,34,374,3060,1.47058823529412,0.970588235294118,0.147058823529412,0.147058823529412,1.26764705882353,1.15588235294118,0.838235294117647,2.08823529411765,5.29411764705882,3.26470588235294,0.611,0.235294117647059,0.235294117647059,0.529411764705882,0.147058823529412,14.7,0.0294117647058824,0.0294117647058824,0,0.0588235294117647,0.352941176470588,0.0588235294117647,1.68235294117647,0.32,-0.347058823529412,6.05882352941176,15.6764705882353,38.6,24.8235294117647,4.14705882352941,46.1,1.15588235294118,7.88235294117647,53.7,1.36176470588235,8.44117647058824,0.558823529411765,6.6,0.676470588235294,0.408823529411765,13.0294117647059,4.64705882352941,35.7,0.1,0.28,0.09,0.202941176470588,0.167647058823529,327.588235294118,443.941176470588,73.8,6792.14705882353,2598.11764705882,3.58823529411765,13.7647058823529,26.1,7950,9616,82.7,90.1764705882353,147.352941176471,61.2,0.132352941176471,9.14705882352941,23.9705882352941,8.05882352941176,2.64705882352941,45.7352941176471,443.941176470588,395.088235294118,48.8529411764706,11.8235294117647,0.617647058823529,81.6470588235294,14.3529411764706,17.9705882352941,4.32352941176471,0.235294117647059,0.735294117647059,0.0294117647058824,260.441176470588,64.6764705882353,118.823529411765,114.088235294118,258.647058823529,31.1176470588235,21.8529411764706,7.05882352941176,2.23529411764706,11.4117647058824,7.70588235294118,13.4117647058824,19,13.5882352941176,2.11764705882353,0.882352941176471,1.35294117647059,1.02941176470588,2.02941176470588,1.52941176470588,0.117647058823529,0,0.205882352941176,0.147058823529412,0.0294117647058824,17.1176470588235,10.9411764705882,8.35294117647059,6.82352941176471,1.94117647058824,5.23529411764706,15.8529411764706,33,10.6176470588235,161.205882352941,40.3823529411765,25.1,51.1470588235294,74.5588235294118,35.5,16.4117647058824,4.11764705882353,0.147058823529412,12.2941176470588,14.4117647058824,23.4117647058824,0.147058823529412,558.323529411765,65.5882352941177,203.794117647059,261.911764705882,126.088235294118,20.2941176470588,510.676470588235,7.17647058823529,12.0882352941176,59.4,7.91176470588235,0.323529411764706,337.705882352941,1901.08823529412,976.558823529412,396.794117647059,327.588235294118,82.6,12.0588235294118,11.0882352941176,90,100,2.76470588235294,0.647058823529412,4.23529411764706,0.0276470588235294,1.5,2.08823529411765,-0.588235294117647,1.26764705882353,1.64705882352941,-0.379411764705882,0,13.6764705882353,10.5588235294118,2.70588235294118,17.9705882352941,10.9411764705882,0.0588235294117647,0.0588235294117647,101.764705882353,13.0588235294118,14,48.3
"3","Bayern Munich","Bundesliga",0.705882352941177,65.5,34,374,3060,2.52941176470588,1.82352941176471,0.0882352941176471,0.117647058823529,2.31764705882353,2.22941176470588,1.70882352941176,0.941176470588235,2.08823529411765,1.32352941176471,0.62,0.705882352941177,0.176470588235294,0.117647058823529,0.352941176470588,35.3,0.147058823529412,0,0.0294117647058824,0.0294117647058824,0.0882352941176471,0.0294117647058824,0.711764705882353,0.29,-0.2,4.64705882352941,9.79411764705882,47.4,29.8235294117647,4.85294117647059,29.7,0.938235294117647,4.58823529411765,20.5,0.973529411764706,4.70588235294118,0.264705882352941,5.6,1.11764705882353,0.526470588235294,18.2352941176471,7.23529411764706,39.7,0.13,0.34,0.13,0.211764705882353,0.211764705882353,603.117647058824,701.794117647059,85.9,12053.8823529412,3532.14705882353,6.08823529411765,16.5,36.9,14992,16503,90.8,156.088235294118,199.911764705882,78.1,0.114705882352941,13.3529411764706,50.8823529411765,13.9411764705882,2.82352941176471,63,701.794117647059,655.147058823529,46.6470588235294,11.1470588235294,2,110.970588235294,23.8235294117647,23.1176470588235,8.38235294117647,0.735294117647059,1.05882352941176,0.588235294117647,524.117647058824,70.7058823529412,106.970588235294,184.941176470588,456.441176470588,24.6764705882353,20.5882352941176,7.82352941176471,2.38235294117647,8.73529411764706,8.94117647058824,13.3235294117647,28.6470588235294,20.7352941176471,2.5,2.02941176470588,1.79411764705882,1.52941176470588,4.02941176470588,2.88235294117647,0.235294117647059,0.264705882352941,0.470588235294118,0.117647058823529,0.0588235294117647,13.9411764705882,9.41176470588235,5.41176470588235,6.17647058823529,2.35294117647059,4.11764705882353,13.0882352941176,31.5,8.97058823529412,131.205882352941,41.7647058823529,31.8,30.6764705882353,59.8823529411765,40.6470588235294,12.5294117647059,2.20588235294118,0.0882352941176471,10.3235294117647,10.8823529411765,12.2941176470588,0.176470588235294,804.735294117647,50.4117647058824,204.205882352941,419.205882352941,233.382352941176,40.3823529411765,758.882352941176,13.3235294117647,20.2647058823529,65.7,14.2941176470588,0.794117647058823,613.911764705882,3266.70588235294,1818.82352941176,666.117647058824,603.117647058824,90.5,12.3823529411765,11.1470588235294,90,100,3,0.588235294117647,3.91176470588235,0.0673529411764706,2.58823529411765,0.941176470588235,1.64705882352941,2.31764705882353,0.767647058823529,1.55294117647059,0.0588235294117647,9.32352941176471,10.2058823529412,2.70588235294118,23.1176470588235,9.41176470588235,0.117647058823529,0.147058823529412,98.5,10.2058823529412,8.55882352941176,54.4
"4","Dortmund","Bundesliga",0.676470588235294,58,34,374,3060,2.35294117647059,1.76470588235294,0.117647058823529,0.117647058823529,1.67647058823529,1.58823529411765,1.22058823529412,1.29411764705882,3.82352941176471,2.61764705882353,0.692,0.676470588235294,0.205882352941176,0.117647058823529,0.294117647058824,29.4,0.117647058823529,0,0.0294117647058824,0.0294117647058824,0.235294117647059,0,1.22941176470588,0.31,-0.0647058823529412,5.11764705882353,14.5294117647059,35.2,26.2941176470588,5.14705882352941,37.8,1.06764705882353,6.97058823529412,65.8,1.50882352941176,8.76470588235294,0.529411764705882,6,0.764705882352941,0.455882352941176,13.0588235294118,5.23529411764706,40.1,0.17,0.43,0.12,0.676470588235294,0.647058823529412,554.264705882353,650,85.3,10189.6470588235,3061.61764705882,9.23529411764706,18.9705882352941,48.7,14459,16086,89.9,119.764705882353,157.911764705882,75.8,0.544117647058823,9.61764705882353,39.4411764705882,9.23529411764706,1.61764705882353,47.7941176470588,650,600.882352941176,49.1176470588235,13.0294117647059,0.794117647058823,82.9117647058823,14.7352941176471,13.5,4.91176470588235,0.529411764705882,0.382352941176471,0.117647058823529,506.323529411765,67,76.6764705882353,204.558823529412,388.676470588235,20.3529411764706,21.9411764705882,7.82352941176471,1.58823529411765,8.5,9.64705882352941,13.2647058823529,21.0882352941176,15.7352941176471,1.85294117647059,1.02941176470588,1.14705882352941,1.32352941176471,4.23529411764706,3.11764705882353,0.176470588235294,0.294117647058824,0.323529411764706,0.323529411764706,0,15.2647058823529,10.1764705882353,7.20588235294118,6.17647058823529,1.88235294117647,4.91176470588235,13.4705882352941,36.5,8.55882352941176,148.558823529412,42.7058823529412,28.7,44.6176470588235,66.7352941176471,37.2058823529412,13.7352941176471,2.26470588235294,0.0294117647058824,11.4705882352941,11.9705882352941,19.8529411764706,0.323529411764706,765.264705882353,58.7352941176471,205.264705882353,417.029411764706,192.235294117647,27.7941176470588,717.970588235294,13.9705882352941,22.2058823529412,62.9,15.4705882352941,0.882352941176471,570.911764705882,3089.76470588235,1637.91176470588,615.264705882353,554.264705882353,90.1,13.7058823529412,13.5,90,100,2.94117647058824,0.5,4.02941176470588,0.0658823529411765,2.38235294117647,1.29411764705882,1.08823529411765,1.67647058823529,1.15294117647059,0.523529411764706,0,8.79411764705882,11.5,1.97058823529412,13.5,10.1764705882353,0.0882352941176471,0.147058823529412,91.9411764705882,8.94117647058824,8.47058823529412,51.4
"5","Düsseldorf","Bundesliga",0.705882352941177,43.1,34,374,3060,1.41176470588235,1.02941176470588,0.147058823529412,0.205882352941176,1.34117647058824,1.18529411764706,0.967647058823529,1.91176470588235,5.08823529411765,3.32352941176471,0.665,0.382352941176471,0.147058823529412,0.470588235294118,0.147058823529412,14.7,0.205882352941176,0,0,0.0294117647058824,0.235294117647059,0,1.69117647058824,0.31,-0.220588235294118,7.52941176470588,18.2941176470588,41.2,21.0294117647059,4.41176470588235,48.5,1.20294117647059,9.70588235294118,83.3,1.75294117647059,10.1176470588235,0.794117647058823,7.8,0.147058823529412,0.376470588235294,11.9117647058824,4.55882352941176,38.3,0.11,0.28,0.1,0.0705882352941176,0.0794117647058824,327.823529411765,429.088235294118,76.4,7067.82352941176,2635.70588235294,4,13.0588235294118,30.6,7708,9138,84.4,97.1176470588235,147.264705882353,65.9,0.0617647058823529,9.08823529411765,26.4117647058824,7.23529411764706,2.32352941176471,43.9117647058824,429.088235294118,380.088235294118,49,13.3235294117647,1.17647058823529,61.9117647058824,18.0588235294118,16.1764705882353,4.26470588235294,0.5,0.529411764705882,0.117647058823529,264,61.5294117647059,103.558823529412,144.058823529412,224.882352941176,24.7352941176471,18.8235294117647,6.41176470588235,1.23529411764706,8.47058823529412,7.35294117647059,11.5,18.6470588235294,13.5,2.02941176470588,0.970588235294118,1.02941176470588,1.08823529411765,2.29411764705882,1.64705882352941,0.117647058823529,0.264705882352941,0.117647058823529,0.117647058823529,0.0294117647058824,18.2058823529412,11.5,10.2352941176471,6.41176470588235,1.55882352941176,5.58823529411765,17.4411764705882,32,11.8529411764706,173.852941176471,44.4411764705882,25.6,64.6764705882353,83,26.1764705882353,14.6470588235294,3.20588235294118,0.117647058823529,11.4411764705882,13.3529411764706,23.0588235294118,0.323529411764706,538.676470588235,63.6764705882353,205.088235294118,245.352941176471,120.058823529412,19.2941176470588,490.882352941176,7.85294117647059,13.2647058823529,59.2,8.82352941176471,0.411764705882353,341,1910.14705882353,1060.26470588235,385,327.823529411765,85.1,11.4411764705882,9.11764705882353,90,100,2.85294117647059,0.558823529411765,4.11764705882353,0.0379411764705882,1.44117647058824,1.91176470588235,-0.470588235294118,1.34117647058824,1.71470588235294,-0.373529411764706,0,12.9117647058824,12.2941176470588,1.52941176470588,16.1764705882353,11.5,0.0882352941176471,0.205882352941176,82.7058823529412,11.3235294117647,11.2647058823529,50.1
"6","Eint Frankfurt","Bundesliga",0.882352941176471,47.3,34,374,3060,1.76470588235294,1.23529411764706,0.117647058823529,0.117647058823529,1.60294117647059,1.51470588235294,1.11470588235294,1.41176470588235,4.91176470588235,3.55882352941176,0.719,0.441176470588235,0.264705882352941,0.294117647058824,0.264705882352941,26.5,0.0294117647058824,0,0,0.0294117647058824,0.176470588235294,0.0294117647058824,1.42352941176471,0.29,0.0411764705882353,11.0294117647059,23.9411764705882,46.1,30.2647058823529,3.20588235294118,59.7,1.28235294117647,6.79411764705882,86.6,1.82058823529412,8.55882352941176,0.823529411764706,9.6,0.705882352941177,0.444117647058824,11.8235294117647,4.29411764705882,36.3,0.14,0.38,0.13,0.161764705882353,0.132352941176471,312.5,436.764705882353,71.5,6547.76470588235,2741.91176470588,4.58823529411765,14.1764705882353,32.4,7524,9440,79.7,86.6176470588235,144.941176470588,59.8,0.120588235294118,8.44117647058824,27.9411764705882,7.67647058823529,2.41176470588235,47.0882352941176,436.764705882353,386.647058823529,50.1176470588235,13.1470588235294,0.823529411764706,72.4117647058823,11.8235294117647,20.0588235294118,5.26470588235294,0.529411764705882,0.588235294117647,0.176470588235294,250.058823529412,67.6470588235294,119.058823529412,126.029411764706,234.5,31.8529411764706,22.5,6.82352941176471,2.23529411764706,9.29411764705882,8.79411764705882,13.2352941176471,17.3529411764706,11.9705882352941,2.20588235294118,1.26470588235294,0.882352941176471,1.02941176470588,2.67647058823529,1.97058823529412,0.147058823529412,0.176470588235294,0.294117647058824,0.0882352941176471,0,17.3235294117647,11.3529411764706,8.44117647058824,6.94117647058824,1.94117647058824,5.26470588235294,15.1764705882353,34.7,9.91176470588235,172.764705882353,52.5294117647059,30.4,55.6764705882353,80.0294117647059,37.0588235294118,17.1470588235294,2.94117647058824,0.264705882352941,14.2058823529412,10.8529411764706,20.6470588235294,0.147058823529412,551.088235294118,59.2941176470588,175.5,270.558823529412,138.617647058824,23.0882352941176,502.294117647059,8.5,14.7352941176471,57.7,9.55882352941176,0.382352941176471,336.176470588235,2061.41176470588,1145.73529411765,395.970588235294,312.588235294118,78.9,12.2941176470588,12.1470588235294,90,100,2.73529411764706,0.617647058823529,4.26470588235294,0.0467647058823529,1.76470588235294,1.41176470588235,0.352941176470588,1.60294117647059,1.49117647058824,0.111764705882353,0.0588235294117647,12.5588235294118,10.4117647058824,2.41176470588235,20.0588235294118,11.3529411764706,0.0588235294117647,0.0294117647058824,109,15.1764705882353,14.3529411764706,51.4
"7","Freiburg","Bundesliga",0.823529411764706,44.2,34,374,3060,1.29411764705882,0.735294117647059,0.147058823529412,0.176470588235294,1.22352941176471,1.08823529411765,0.75,1.79411764705882,4.91176470588235,3.29411764705882,0.677,0.235294117647059,0.352941176470588,0.411764705882353,0.147058823529412,14.7,0.205882352941176,0,0,0,0.352941176470588,0,1.57647058823529,0.29,-0.217647058823529,8.70588235294118,21.2058823529412,41.1,28.3823529411765,4.02941176470588,47.3,1.20294117647059,9.76470588235294,79.8,1.88235294117647,10.1764705882353,0.470588235294118,4.6,0.558823529411765,0.4,12.1764705882353,4.5,37,0.09,0.25,0.09,0.0705882352941176,0.0588235294117647,337.941176470588,440.205882352941,76.8,7269.14705882353,2520.5,5.52941176470588,14.5588235294118,38,7864,9216,85.3,101.117647058824,154.588235294118,65.4,-0.0147058823529412,8.55882352941176,23.5294117647059,6.41176470588235,2.20588235294118,37.1764705882353,440.205882352941,390.352941176471,49.8529411764706,13.0882352941176,0.470588235294118,73.0294117647059,15.7941176470588,15.7941176470588,4.41176470588235,1,0.0882352941176471,0.117647058823529,277.117647058824,58.0294117647059,105.058823529412,143.117647058824,236.294117647059,24.7647058823529,19.9411764705882,6.94117647058824,1.20588235294118,9.26470588235294,7.17647058823529,10.6764705882353,18.1176470588235,13.2352941176471,1.58823529411765,1,1.05882352941176,1.17647058823529,2.08823529411765,1.23529411764706,0.147058823529412,0.0588235294117647,0.323529411764706,0.264705882352941,0.0588235294117647,15.5,9.38235294117647,8.88235294117647,5.05882352941176,1.55882352941176,5.08823529411765,16.0882352941176,31.6,11,153.676470588235,35.5588235294118,23.1,52.6764705882353,68.3235294117647,32.6764705882353,14.1764705882353,3.67647058823529,0.0588235294117647,10.5,11.6470588235294,24,0.235294117647059,551.852941176471,68.8823529411765,205.823529411765,263.617647058824,118.088235294118,18.4117647058824,503.647058823529,8.02941176470588,14.0588235294118,57.1,8.97058823529412,0.529411764705882,360.970588235294,2136.70588235294,1160.52941176471,399.323529411765,337.941176470588,84.6,12.0882352941176,10.9117647058824,90,100,2.97058823529412,0.588235294117647,4.02941176470588,0.0311764705882353,1.35294117647059,1.79411764705882,-0.441176470588235,1.22352941176471,1.59705882352941,-0.373529411764706,0.0882352941176471,12.3529411764706,12.2941176470588,1.52941176470588,15.7941176470588,9.38235294117647,0.117647058823529,0.205882352941176,90.0588235294118,11.6176470588235,13.8235294117647,45.7
"8","Hannover 96","Bundesliga",0.941176470588235,46.3,34,374,3060,0.882352941176471,0.588235294117647,0.0882352941176471,0.0882352941176471,0.973529411764706,0.908823529411765,0.679411764705882,2.11764705882353,6.47058823529412,4.58823529411765,0.7,0.147058823529412,0.176470588235294,0.676470588235294,0.147058823529412,14.7,0.176470588235294,0.0294117647058824,0,0.0294117647058824,0.352941176470588,0.0294117647058824,1.87647058823529,0.27,-0.182352941176471,9.55882352941176,19.9117647058824,48,29,4.41176470588235,50.8,1.19117647058824,8.82352941176471,58.7,1.36176470588235,10.6470588235294,0.529411764705882,5,0.911764705882353,0.444117647058824,11.1764705882353,3.32352941176471,29.7,0.07,0.24,0.08,-0.0911764705882353,-0.114705882352941,336.117647058824,443.823529411765,75.7,6966.02941176471,2620.94117647059,4.79411764705882,15.2352941176471,31.5,8158,9682,84.3,91.3823529411765,143.823529411765,63.5,-0.0911764705882353,7.91176470588235,24.2941176470588,6.70588235294118,1.73529411764706,38.8823529411765,443.823529411765,391.970588235294,51.8529411764706,14,0.705882352941177,71.7647058823529,12.2647058823529,15.6470588235294,4.20588235294118,0.323529411764706,0.794117647058823,0.205882352941176,270.411764705882,65.7352941176471,107.676470588235,119.558823529412,256.441176470588,28.4117647058824,21.7647058823529,7.29411764705882,1.44117647058824,9,7.35294117647059,12.8235294117647,16.2941176470588,11.7647058823529,1.76470588235294,1.05882352941176,0.647058823529412,1.02941176470588,1.35294117647059,1.05882352941176,0.0882352941176471,0.0294117647058824,0.0294117647058824,0.117647058823529,0.0294117647058824,17,10.8235294117647,9.79411764705882,5.76470588235294,1.44117647058824,5.88235294117647,19.3235294117647,30.4,13.4411764705882,157.5,41.6176470588235,26.4,61.2058823529412,68.6470588235294,27.6470588235294,17.3235294117647,3.88235294117647,0.0588235294117647,13.4411764705882,14.5588235294118,26.1176470588235,0.294117647058824,570.088235294118,69.8529411764706,213.235294117647,271.117647058824,123.441176470588,17.5588235294118,519.823529411765,9.29411764705882,15.8235294117647,58.7,10.1470588235294,0.411764705882353,355.823529411765,2171.44117647059,1198,408.647058823529,336.117647058824,82.3,15.3823529411765,13.2058823529412,90,100,2.85294117647059,0.647058823529412,4.14705882352941,0.0182352941176471,0.911764705882353,2.08823529411765,-1.17647058823529,0.973529411764706,1.89411764705882,-0.920588235294118,0.0882352941176471,12.8235294117647,12.6764705882353,1.79411764705882,15.6470588235294,10.8235294117647,0.0588235294117647,0.147058823529412,96.8235294117647,13.2058823529412,14.1176470588235,48.3
"9","Hertha BSC","Bundesliga",0.764705882352941,48.1,34,374,3060,1.44117647058824,0.941176470588235,0.117647058823529,0.117647058823529,1.4,1.31176470588235,1,1.67647058823529,4.52941176470588,3,0.656,0.323529411764706,0.294117647058824,0.382352941176471,0.264705882352941,26.5,0.117647058823529,0.0294117647058824,0.0294117647058824,0.0294117647058824,0.176470588235294,0.0588235294117647,1.52058823529412,0.32,-0.0970588235294118,11.9705882352941,26.5882352941176,45,28.7647058823529,3.20588235294118,63.8,1.34411764705882,9,91.5,1.87941176470588,8.47058823529412,0.970588235294118,11.5,0.470588235294118,0.405882352941176,11.5882352941176,4.23529411764706,36.5,0.11,0.31,0.12,0.0411764705882353,0.0117647058823529,366.823529411765,475.323529411765,77.2,7505.67647058824,2840.58823529412,4.73529411764706,13.0588235294118,36.3,9115,10693,85.2,94,147.764705882353,63.6,-0.0588235294117647,8.79411764705882,26.9411764705882,6.91176470588235,2.17647058823529,42.9705882352941,475.323529411765,425.5,49.8235294117647,12.9411764705882,0.794117647058823,86.1176470588235,13.0588235294118,16.2647058823529,4.26470588235294,0.441176470588235,0.558823529411765,0.205882352941176,296.852941176471,60.5294117647059,117.941176470588,120.382352941176,286.235294117647,28.3235294117647,20.9705882352941,6.5,1.91176470588235,9.55882352941176,8.26470588235294,10.5588235294118,17.9705882352941,12.6764705882353,1.88235294117647,1.35294117647059,1.11764705882353,0.941176470588235,2.26470588235294,1.5,0.117647058823529,0.235294117647059,0.235294117647059,0.176470588235294,0,16.2058823529412,10.1470588235294,8.20588235294118,6.58823529411765,1.41176470588235,4.55882352941176,14.5882352941176,31.3,10.0294117647059,161.411764705882,41.3529411764706,25.6,52.8529411764706,75.1764705882353,33.3823529411765,17.0588235294118,3.55882352941176,0.117647058823529,13.5,12.2941176470588,23.1470588235294,0.147058823529412,589.147058823529,65.0882352941177,191.294117647059,298.911764705882,133.735294117647,20.5588235294118,541.117647058824,10.0882352941176,15.3235294117647,65.8,10.7352941176471,0.352941176470588,378.823529411765,2111.20588235294,1116.32352941176,436.088235294118,366.823529411765,84.1,12.8235294117647,11.5294117647059,90,100,2.70588235294118,0.588235294117647,4.26470588235294,0.0370588235294118,1.44117647058824,1.67647058823529,-0.235294117647059,1.4,1.70294117647059,-0.3,0.0882352941176471,13.3823529411765,11.2058823529412,2.35294117647059,16.2647058823529,10.1470588235294,0.0882352941176471,0.147058823529412,94.1764705882353,14.6176470588235,13.2941176470588,52.4
"10","Hoffenheim","Bundesliga",0.852941176470588,53.6,34,374,3060,2.02941176470588,1.44117647058824,0.176470588235294,0.205882352941176,2.10294117647059,1.95,1.42058823529412,1.52941176470588,4.85294117647059,3.52941176470588,0.727,0.382352941176471,0.352941176470588,0.264705882352941,0.147058823529412,14.7,0.205882352941176,0.0294117647058824,0,0,0.147058823529412,0.0294117647058824,1.65588235294118,0.31,0.155882352941176,6.61764705882353,14.2058823529412,46.6,31.8823529411765,5.47058823529412,33.7,0.973529411764706,7.26470588235294,47.8,1.27647058823529,9.05882352941176,0.764705882352941,8.4,1.35294117647059,0.494117647058824,17.5294117647059,6.29411764705882,35.9,0.11,0.29,0.12,-0.0735294117647059,-0.0970588235294118,426.441176470588,527.941176470588,80.8,8398.58823529412,3026.82352941176,5.44117647058824,15.6176470588235,34.8,10748,12253,87.7,104.882352941176,151.941176470588,69,0.0205882352941176,13.2352941176471,35.2941176470588,10.9117647058824,3,51.4705882352941,527.941176470588,480.735294117647,47.2058823529412,11.9411764705882,1.14705882352941,74.2352941176471,13.6470588235294,19.5588235294118,5.32352941176471,0.588235294117647,0.823529411764706,0.352941176470588,359.676470588235,74.6470588235294,93.6176470588235,133.970588235294,333.735294117647,23.1764705882353,20.2058823529412,9.38235294117647,1.70588235294118,9.02941176470588,8.14705882352941,13.1176470588235,27.1470588235294,19.7941176470588,2.32352941176471,2.02941176470588,1.58823529411765,1.38235294117647,3.26470588235294,2.23529411764706,0.176470588235294,0.205882352941176,0.323529411764706,0.294117647058824,0.0294117647058824,16.6764705882353,10.2352941176471,7.5,7,2.17647058823529,5.58823529411765,15.8529411764706,35.3,10.2647058823529,146.205882352941,41.3529411764706,28.3,46.4705882352941,68.3235294117647,31.4117647058824,15.5588235294118,3.5,0.0588235294117647,12.0588235294118,12.6470588235294,20.4411764705882,0.176470588235294,647.264705882353,62.2647058823529,210.382352941176,310.911764705882,171.529411764706,31.3235294117647,601.147058823529,11.4705882352941,18.7058823529412,61.3,12.4411764705882,0.588235294117647,441.705882352941,2707.67647058824,1569.11764705882,494.088235294118,426.441176470588,86.3,13.5882352941176,11.2647058823529,90,100,2.94117647058824,0.676470588235294,4.05882352941176,0.0441176470588235,2.05882352941176,1.52941176470588,0.529411764705882,2.10294117647059,1.51764705882353,0.585294117647059,0.0588235294117647,14.0294117647059,10.5588235294118,2.02941176470588,19.5588235294118,10.2352941176471,0.147058823529412,0.205882352941176,97.6470588235294,10.0588235294118,10.7941176470588,48.2
"11","Leverkusen","Bundesliga",0.617647058823529,59.9,34,374,3060,2,1.5,0.117647058823529,0.147058823529412,1.78235294117647,1.67352941176471,1.21764705882353,1.58823529411765,4.02941176470588,2.67647058823529,0.635,0.529411764705882,0.117647058823529,0.352941176470588,0.264705882352941,26.5,0.117647058823529,0.0588235294117647,0,0.0588235294117647,0.323529411764706,0.0588235294117647,1.32647058823529,0.3,-0.144117647058824,7.41176470588235,16.1470588235294,45.9,35.9117647058824,4.91176470588235,35.6,1.04411764705882,6.02941176470588,55.6,1.34117647058824,7.32352941176471,0.647058823529412,8.8,0.852941176470588,0.470588235294118,15.0588235294118,5.52941176470588,36.7,0.13,0.34,0.12,0.217647058823529,0.208823529411765,539.029411764706,647.941176470588,83.2,10220.1176470588,3286.58823529412,8.73529411764706,21.2647058823529,41.1,13941,15708,88.8,120.264705882353,164.676470588235,73,0.282352941176471,10.8823529411765,37.0882352941176,10.7941176470588,2.73529411764706,56.6470588235294,647.941176470588,599.647058823529,48.2941176470588,13.0588235294118,1.82352941176471,99.6470588235294,17.2647058823529,18.9117647058824,5.52941176470588,0.705882352941177,0.823529411764706,0.176470588235294,474.235294117647,74.2058823529412,99.5,188.352941176471,397.558823529412,24.5588235294118,21.1764705882353,7.70588235294118,1.70588235294118,9.14705882352941,10,14.2058823529412,22.7941176470588,17.9117647058824,1.52941176470588,1.14705882352941,1.23529411764706,0.941176470588235,3.44117647058824,2.70588235294118,0.176470588235294,0.0588235294117647,0.264705882352941,0.205882352941176,0.0294117647058824,16.5882352941176,10.9117647058824,8.97058823529412,5.94117647058824,1.67647058823529,5.32352941176471,16.0588235294118,33.2,10.7352941176471,147.676470588235,46.4705882352941,31.5,46.4411764705882,68.4411764705882,32.7941176470588,16.1176470588235,2.88235294117647,0.0588235294117647,13.2352941176471,11.2352941176471,20.7352941176471,0.117647058823529,767.941176470588,63.1470588235294,224.176470588235,401.529411764706,189.970588235294,28.7352941176471,720.529411764706,11.0588235294118,17.7647058823529,62.3,11.7941176470588,0.470588235294118,542.735294117647,2861.70588235294,1498.02941176471,611,539.029411764706,88.2,14.5588235294118,11.9117647058824,90,100,2.73529411764706,0.647058823529412,4.23529411764706,0.0502941176470588,2.02941176470588,1.52941176470588,0.5,1.78235294117647,1.26176470588235,0.520588235294118,0,11.0882352941176,11.3823529411765,2.02941176470588,18.9117647058824,10.9117647058824,0.0882352941176471,0.176470588235294,102.764705882353,11.8823529411765,11.0294117647059,51.9
