"","Squad","League","#Pl","Poss","MP","Starts","Min","Gls","Ast","PK","PKatt","xG","npxG","xA","GA","SoTA","Saves","Save%","W","D","L","CS","CS%","PKA","PKsv","PKm","FK","CK","OG","PSxG","PSxG/SoT","PSxG+/-","GKLongPassCmp","GKLongPassAtt","GKLongPassCmp%","GKPassAtt","GKPassThr","GKPassLaunch%","GKPassAvgLen","GKickAtt","GKickLaunch%","GKickAvgLen","GKCrossOpp","GKCrossStp","GKCrossStp%","#OPA","AvgDist","Sh","SoT","SoT%","G/Sh","G/SoT","npxG/Sh","G-xG","np:G-xG","PassCmp","PassAtt","PassCmp%","PassTotDist","PassPrgDist","SPassCmp","SPassAtt","SPassCmp%","MPassCmp","MPassAtt","MPassCmp%","LPassCmp","LPassAtt","LPassCmp%","A-xA","KP","PassF3","PPA","CrsPA","ProgPasses","Att","PassLive","PassDead","PassFK","PassTB","PassPress","PassSw","PassCrs","PassCK","CKIn","CKOut","CKStr","PassGround","PassLow","PassHigh","PassLeft","PassRight","PassHead","PassTI","PassOther","PassOff","PassOut","PassInt","PassBlocks","SCA","SCAPassLive","SCAPassDead","SCADrib","SCASh","SCAFld","GCA","GCAPassLive","GCAPassDead","GCADrib","GCASh","GCAFld","GCAOG","TklTkl","TklTklW","TklDef3rd","TklMid3rd","TklAtt3rd","vDribTkl","vDribAtt","vDribTkl%","vDribPast","Press","PressSucc","Press%","PressDef3rd","PressMid3rd","PressAtt3rd","Blocks","BlockSh","BlockShSv","BlockPass","Int","Clr","Err","Touches","TouchesDefPen","TouchesDef3rd","TouchesMid3rd","TouchesAtt3rd","TouchesAttPen","TouchesLive","DribSucc","DribAtt","DribSucc%","Drib#Pl","DribMegs","Carries","CarryTotDist","CarryPrgDist","Targ","Rec","Rec%","Miscon","Dispos","Mn/MP","Min%","Subs","Mn/Sub","unSub","PPM","onG","onGA","+/-","onxG","onxGA","xG+/-","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","Recov","AerWon","AerLost","AerWon%"
"2","Augsburg","Bundesliga",0.823529411764706,38.1,34,374,3060,1.32352941176471,0.852941176470588,0.0882352941176471,0.147058823529412,1.28529411764706,1.17352941176471,0.797058823529412,1.85294117647059,4.61764705882353,2.79411764705882,0.599,0.264705882352941,0.264705882352941,0.470588235294118,0.205882352941176,20.6,0,0.0294117647058824,0,0,0.117647058823529,0.0882352941176471,1.58529411764706,0.35,-0.179411764705882,6.85294117647059,20.1176470588235,34.1,28.1176470588235,4.5,50.5,1.27058823529412,8.91176470588235,66.3,1.55882352941176,10.1176470588235,0.794117647058823,7.8,0.794117647058823,0.435294117647059,10.5294117647059,3.76470588235294,35.8,0.12,0.33,0.11,0.0382352941176471,0.0617647058823529,253.470588235294,359.235294117647,70.6,5359.17647058824,2086.70588235294,5.55882352941176,17.8235294117647,31.2,5969,7308,81.7,72.3529411764706,126.470588235294,57.2,0.0558823529411765,7.08823529411765,16.6764705882353,5,1.32352941176471,33.4411764705882,359.235294117647,307.852941176471,51.3823529411765,13.0294117647059,1.05882352941176,66,12.3529411764706,13.9705882352941,3.91176470588235,1.14705882352941,1.61764705882353,0.705882352941177,184.235294117647,68.2058823529412,106.794117647059,86.7058823529412,210,20.9117647058824,22.7058823529412,6.64705882352941,2.08823529411765,9.55882352941176,6.26470588235294,12.8529411764706,15,9.88235294117647,1.76470588235294,1.20588235294118,0.882352941176471,1.26470588235294,1.88235294117647,1.23529411764706,0.0882352941176471,0.205882352941176,0.117647058823529,0.235294117647059,0,16.2352941176471,9.76470588235294,8.14705882352941,6.29411764705882,1.79411764705882,5.58823529411765,18.5588235294118,30.1,12.9705882352941,166.382352941176,42.4705882352941,25.5,52.7058823529412,77.3823529411765,36.2941176470588,16.8529411764706,4.02941176470588,0.205882352941176,12.8235294117647,12.7941176470588,28.3823529411765,0.205882352941176,480.970588235294,73.7941176470588,197.058823529412,207.176470588235,103.941176470588,16.7352941176471,430.264705882353,7.35294117647059,14.3235294117647,51.3,8.32352941176471,0.558823529411765,269.205882352941,1636.85294117647,854.294117647059,326,253.470588235294,77.8,12.4705882352941,11.4705882352941,90,100,3.26470588235294,0.558823529411765,5.67647058823529,0.0311764705882353,1.32352941176471,1.85294117647059,-0.529411764705882,1.28529411764706,1.61764705882353,-0.332352941176471,0.0588235294117647,11.1176470588235,11.2941176470588,2.38235294117647,13.9705882352941,9.76470588235294,0.117647058823529,0.0294117647058824,92.2352941176471,16.3529411764706,18.4705882352941,47
"3","Bayern Munich","Bundesliga",0.852941176470588,65.6,34,374,3060,2.85294117647059,2.20588235294118,0.176470588235294,0.176470588235294,2.43823529411765,2.30588235294118,1.90294117647059,0.941176470588235,3.35294117647059,2.52941176470588,0.746,0.764705882352941,0.117647058823529,0.117647058823529,0.441176470588235,44.1,0.0882352941176471,0.0294117647058824,0,0,0.176470588235294,0.0294117647058824,0.982352941176471,0.27,0.0705882352941176,6.61764705882353,11.2647058823529,58.7,38.5,6.05882352941176,26.1,0.882352941176471,5.55882352941176,22.2,0.847058823529412,6.02941176470588,0.411764705882353,6.8,1.61764705882353,0.558823529411765,17.9705882352941,7.08823529411765,39.4,0.15,0.38,0.13,0.414705882352941,0.370588235294118,609.970588235294,712.882352941176,85.6,12163.8529411765,3783.32352941176,8.11764705882353,21.3235294117647,38.1,15266,16853,90.6,152.852941176471,195.882352941176,78,0.302941176470588,13.9411764705882,52.3823529411765,15,3.76470588235294,68.1176470588235,712.882352941176,662.676470588235,50.2058823529412,13.0588235294118,1.94117647058824,105.735294117647,20.6470588235294,25.0882352941176,7.02941176470588,2.11764705882353,2.47058823529412,1.02941176470588,508.029411764706,102.235294117647,102.617647058824,201.264705882353,450,20.7941176470588,22.6176470588235,9.47058823529412,2,9.29411764705882,10.3529411764706,14.3529411764706,29.1176470588235,22.8823529411765,2.05882352941176,1.76470588235294,1.35294117647059,1.02941176470588,4.88235294117647,3.82352941176471,0.205882352941176,0.352941176470588,0.205882352941176,0.264705882352941,0.0294117647058824,16.2941176470588,10.8529411764706,5.70588235294118,7.52941176470588,3.05882352941176,5.47058823529412,16.2941176470588,33.6,10.8235294117647,144.470588235294,50.2058823529412,34.8,32.9117647058824,63.7941176470588,47.7647058823529,13.5588235294118,2.61764705882353,0.0294117647058824,10.9411764705882,10.3529411764706,16.6176470588235,0.0882352941176471,824.852941176471,63.2058823529412,227.588235294118,422.764705882353,229.529411764706,38.7647058823529,775.882352941176,15.3529411764706,24.5294117647059,62.6,16.6470588235294,0.823529411764706,592.852941176471,3304.05882352941,1787.14705882353,686.823529411765,609.970588235294,88.8,13.1176470588235,11.1470588235294,90,100,3.05882352941176,0.617647058823529,4.79411764705882,0.0708823529411765,2.94117647058824,0.941176470588235,2,2.43823529411765,1.03235294117647,1.40882352941176,0.0588235294117647,9.47058823529412,10.4411764705882,2.29411764705882,25.0882352941176,10.8529411764706,0.176470588235294,0.0882352941176471,100.852941176471,13.8235294117647,11.3823529411765,54.8
"4","Dortmund","Bundesliga",0.794117647058823,61,34,374,3060,2.47058823529412,2.17647058823529,0.0588235294117647,0.0588235294117647,1.73823529411765,1.70294117647059,1.39117647058824,1.20588235294118,2.94117647058824,1.91176470588235,0.62,0.617647058823529,0.176470588235294,0.205882352941176,0.441176470588235,44.1,0.0882352941176471,0,0,0,0.235294117647059,0.0882352941176471,1.05882352941176,0.35,-0.0588235294117647,3.67647058823529,10.1176470588235,36.3,27,5.73529411764706,29,0.961764705882353,6.73529411764706,34.1,1.02647058823529,7.11764705882353,0.5,7,0.911764705882353,0.441176470588235,13.0294117647059,5.47058823529412,42,0.19,0.44,0.13,0.732352941176471,0.708823529411765,611.205882352941,706.176470588235,86.6,11330.5294117647,3281.97058823529,10.4411764705882,23.7941176470588,43.9,16003,17503,91.4,130.088235294118,167.588235294118,77.6,0.785294117647059,10.2058823529412,37.5,9.67647058823529,1.58823529411765,49.8823529411765,706.176470588235,659.264705882353,46.9117647058824,12.0588235294118,1.5,103.970588235294,18.5882352941176,14.9705882352941,5.52941176470588,1.41176470588235,2.26470588235294,0.529411764705882,524.588235294118,98.5294117647059,83.0588235294118,189.823529411765,462.058823529412,18.3823529411765,20.3823529411765,8.55882352941176,1.29411764705882,8.58823529411765,10.6764705882353,13.7941176470588,21.3529411764706,16.3529411764706,1.70588235294118,1.44117647058824,1.17647058823529,0.676470588235294,4.47058823529412,3.76470588235294,0.147058823529412,0.352941176470588,0.176470588235294,0.0294117647058824,0,17.5294117647059,11.7941176470588,8.11764705882353,7.35294117647059,2.05882352941176,6.47058823529412,16.1470588235294,40.1,9.67647058823529,152.823529411765,49.2941176470588,32.3,43.3823529411765,70.2647058823529,39.1764705882353,15.2647058823529,3.11764705882353,0.117647058823529,12.1470588235294,11.1764705882353,17.7647058823529,0.323529411764706,820.676470588235,64.2058823529412,251.411764705882,420.647058823529,201.735294117647,28.8235294117647,775.058823529412,14.8235294117647,24.3823529411765,60.8,16.0588235294118,1.17647058823529,592.352941176471,3210.38235294118,1710.29411764706,683.529411764706,611.205882352941,89.4,12.8529411764706,12.3529411764706,90,100,3.26470588235294,0.558823529411765,5.61764705882353,0.0597058823529412,2.47058823529412,1.20588235294118,1.26470588235294,1.73823529411765,1.21470588235294,0.523529411764706,0.0294117647058824,8.97058823529412,9.64705882352941,1.64705882352941,14.9705882352941,11.7941176470588,0.0294117647058824,0.0882352941176471,92.2352941176471,11.1176470588235,10.7058823529412,50.9
"5","Düsseldorf","Bundesliga",0.823529411764706,45.4,34,374,3060,1.05882352941176,0.764705882352941,0.117647058823529,0.117647058823529,1.02941176470588,0.941176470588235,0.682352941176471,1.97058823529412,5.02941176470588,3.26470588235294,0.626,0.176470588235294,0.352941176470588,0.470588235294118,0.117647058823529,11.8,0.0882352941176471,0.0588235294117647,0,0.0294117647058824,0.264705882352941,0.117647058823529,1.75882352941176,0.33,-0.0941176470588235,8.70588235294118,19.3235294117647,45.1,29.2941176470588,4.61764705882353,49.9,1.24117647058824,7.47058823529412,63,1.53529411764706,7.35294117647059,0.382352941176471,5.2,0.735294117647059,0.429411764705882,12.4705882352941,3.35294117647059,26.9,0.08,0.28,0.08,0.0294117647058824,0,337.529411764706,442.617647058824,76.3,7390.44117647059,2642.91176470588,5.61764705882353,17,33,7710,9112,84.6,105.147058823529,157.617647058824,66.7,0.0823529411764706,8.55882352941176,25.5588235294118,6.52941176470588,2.32352941176471,41.8235294117647,442.617647058824,391.705882352941,50.9117647058824,14.5882352941176,0.676470588235294,78.7647058823529,19.1470588235294,20.8823529411765,4.38235294117647,0.852941176470588,2.32352941176471,0.529411764705882,251.470588235294,77.9117647058823,113.235294117647,120.294117647059,258.117647058824,22.6470588235294,21.5,7.64705882352941,1.52941176470588,10.2352941176471,6.41176470588235,12.3235294117647,18.0294117647059,12.2352941176471,2.05882352941176,1.47058823529412,0.823529411764706,1.44117647058824,1.64705882352941,1.17647058823529,0.176470588235294,0.0882352941176471,0.0882352941176471,0.117647058823529,0,16.3529411764706,10.2058823529412,8.38235294117647,6.17647058823529,1.79411764705882,5.94117647058824,17.3823529411765,34.2,11.4411764705882,161.558823529412,47.3823529411765,29.3,52.4411764705882,76.4117647058823,32.7058823529412,16.3823529411765,3.44117647058824,0.117647058823529,12.9411764705882,11.2058823529412,22.3235294117647,0.294117647058824,555.411764705882,64.5882352941177,205.588235294118,244.382352941176,136.411764705882,18.4117647058824,505.441176470588,8.61764705882353,14.3529411764706,60,9.20588235294118,0.294117647058824,338.5,1847.52941176471,1021.73529411765,410.970588235294,337.529411764706,82.1,12.1470588235294,10.6470588235294,90,100,3.38235294117647,0.617647058823529,5.52941176470588,0.0258823529411765,1.05882352941176,1.97058823529412,-0.911764705882353,1.02941176470588,1.67941176470588,-0.65,0,11.9705882352941,12.6470588235294,1.64705882352941,20.8823529411765,10.2058823529412,0.0882352941176471,0.147058823529412,90.8823529411765,16.7058823529412,18.7941176470588,47.1
"6","Eint Frankfurt","Bundesliga",0.794117647058823,51,34,374,3060,1.67647058823529,1.32352941176471,0.0588235294117647,0.0588235294117647,1.57941176470588,1.53529411764706,1.13823529411765,1.76470588235294,5.05882352941176,3.44117647058824,0.669,0.382352941176471,0.176470588235294,0.441176470588235,0.147058823529412,14.7,0.0882352941176471,0,0,0.0294117647058824,0.147058823529412,0.0588235294117647,1.53529411764706,0.29,-0.170588235294118,8.70588235294118,18.8823529411765,46.1,33.9705882352941,4.17647058823529,45.5,1.11764705882353,6.79411764705882,50.6,1.25294117647059,7.88235294117647,0.705882352941177,9,0.823529411764706,0.438235294117647,14.4705882352941,5.08823529411765,35.2,0.11,0.32,0.11,0.0970588235294118,0.0823529411764706,364.941176470588,484.205882352941,75.4,7553.05882352941,2869.97058823529,6.14705882352941,20.1764705882353,30.5,8806,10530,83.6,99.7941176470588,154.323529411765,64.7,0.185294117647059,10.6176470588235,29.8529411764706,8.20588235294118,3.47058823529412,50.4411764705882,484.205882352941,431.029411764706,53.1764705882353,13.4705882352941,0.735294117647059,88.1764705882353,14.2352941176471,26.2941176470588,6.29411764705882,1.64705882352941,3.29411764705882,0.529411764705882,271.382352941176,89.0588235294118,123.764705882353,144.323529411765,267.794117647059,25.4117647058824,23.8529411764706,7.14705882352941,1.38235294117647,9.76470588235294,7.52941176470588,15.6470588235294,21.9411764705882,15.2058823529412,2.47058823529412,1.5,1.55882352941176,1.14705882352941,2.82352941176471,1.67647058823529,0.441176470588235,0.205882352941176,0.382352941176471,0.0588235294117647,0.0588235294117647,20.0294117647059,13.0882352941176,9.17647058823529,8.52941176470588,2.32352941176471,6.20588235294118,18.6470588235294,33.3,12.4411764705882,173.794117647059,54.0294117647059,31.1,55.5882352941176,77.5294117647059,40.6764705882353,17.1176470588235,3.20588235294118,0.176470588235294,13.9117647058824,11.2647058823529,22.3823529411765,0.147058823529412,603.470588235294,63.1764705882353,195.705882352941,295.029411764706,150.882352941176,24.8235294117647,551.852941176471,10.1764705882353,16.7058823529412,60.9,10.7941176470588,0.558823529411765,364.647058823529,2234.61764705882,1246.64705882353,448.852941176471,364.941176470588,81.3,12.1470588235294,10.5882352941176,90,100,3.20588235294118,0.617647058823529,5.70588235294118,0.0388235294117647,1.73529411764706,1.76470588235294,-0.0294117647058824,1.57941176470588,1.51470588235294,0.0647058823529412,0.0588235294117647,12.4705882352941,10.8529411764706,1.67647058823529,26.2941176470588,13.0882352941176,0.0294117647058824,0.0882352941176471,105.411764705882,20.6176470588235,18.7058823529412,52.4
"7","Freiburg","Bundesliga",0.764705882352941,47.9,34,374,3060,1.35294117647059,0.794117647058823,0.147058823529412,0.176470588235294,1.25882352941176,1.12647058823529,0.844117647058824,1.38235294117647,5.52941176470588,4.11764705882353,0.766,0.382352941176471,0.264705882352941,0.352941176470588,0.205882352941176,20.6,0.0882352941176471,0,0.0294117647058824,0,0.176470588235294,0,1.46176470588235,0.26,0.0794117647058824,7.76470588235294,20.3529411764706,38.2,32,4.91176470588235,41.1,1.12941176470588,10.7941176470588,66.8,1.63235294117647,9.26470588235294,0.529411764705882,5.7,0.382352941176471,0.382352941176471,12.7941176470588,4.11764705882353,32.2,0.09,0.29,0.09,0.0941176470588235,0.0794117647058824,355.5,455,78.1,7612.70588235294,2616.79411764706,6.20588235294118,17.9117647058824,34.6,8287,9604,86.3,105.558823529412,154.617647058824,68.3,-0.05,8.85294117647059,24.3823529411765,7.20588235294118,2.85294117647059,40.1764705882353,455,401.352941176471,53.6470588235294,13.5294117647059,0.735294117647059,83.1176470588235,14.1176470588235,19.2058823529412,4.44117647058824,2.55882352941176,0.941176470588235,0.382352941176471,271.764705882353,77.0882352941177,106.147058823529,133.676470588235,258.235294117647,20.1470588235294,22.5,8.26470588235294,1.47058823529412,8.61764705882353,6.44117647058824,13.1176470588235,19.5588235294118,13.2352941176471,2.44117647058824,1.17647058823529,1.08823529411765,1.55882352941176,2.14705882352941,1.08823529411765,0.264705882352941,0.205882352941176,0.147058823529412,0.382352941176471,0.0588235294117647,15.0882352941176,9.05882352941176,7.70588235294118,5.61764705882353,1.76470588235294,4.14705882352941,14.9117647058824,27.8,10.7647058823529,141.176470588235,37.1764705882353,26.3,48.9411764705882,60.9117647058824,31.3235294117647,16.5,4.94117647058824,0.0882352941176471,11.5588235294118,10.6176470588235,29.9705882352941,0.352941176470588,577.970588235294,81.5294117647059,227.735294117647,254.941176470588,133.5,21.5588235294118,525.441176470588,8.14705882352941,14.3823529411765,56.6,8.67647058823529,0.470588235294118,359.529411764706,2247.23529411765,1227.55882352941,420.088235294118,355.617647058824,84.7,11.9705882352941,11.3235294117647,90,100,3.26470588235294,0.588235294117647,5.55882352941176,0.0414705882352941,1.41176470588235,1.38235294117647,0.0294117647058824,1.25882352941176,1.82941176470588,-0.570588235294118,0.0294117647058824,9.67647058823529,12.8529411764706,1.64705882352941,19.2058823529412,9.05882352941176,0.147058823529412,0.117647058823529,86.2058823529412,18.4705882352941,19.3823529411765,48.8
"8","Hertha BSC","Bundesliga",0.941176470588235,44.7,34,374,3060,1.35294117647059,1.02941176470588,0.0882352941176471,0.0882352941176471,1.20882352941176,1.14117647058824,0.879411764705882,1.73529411764706,4.76470588235294,3.29411764705882,0.679,0.323529411764706,0.235294117647059,0.441176470588235,0.264705882352941,26.5,0.205882352941176,0,0,0.0882352941176471,0.264705882352941,0.0588235294117647,1.51764705882353,0.28,-0.158823529411765,10.0294117647059,21.7352941176471,46.1,27.5294117647059,4.29411764705882,57.2,1.26176470588235,7.94117647058824,75.6,1.57352941176471,9.94117647058824,0.941176470588235,9.5,0.647058823529412,0.397058823529412,10.5588235294118,3.52941176470588,33.4,0.12,0.36,0.11,0.144117647058824,0.123529411764706,337.588235294118,436.558823529412,77.3,7322.23529411765,2541.05882352941,5.88235294117647,17.6764705882353,33.3,7780,9097,85.5,102.882352941176,151.323529411765,68,0.15,7.85294117647059,24.1764705882353,5.47058823529412,2.17647058823529,36.2058823529412,436.558823529412,387.823529411765,48.7352941176471,12.5882352941176,0.676470588235294,73.4117647058823,16.4705882352941,15.4117647058824,3.67647058823529,0.911764705882353,2.14705882352941,0.264705882352941,256.235294117647,74.1764705882353,106.147058823529,128.382352941176,246.029411764706,19.0882352941176,21.7941176470588,7.58823529411765,1.44117647058824,8.32352941176471,5.88235294117647,12.4705882352941,16.3529411764706,11.5,1.67647058823529,1.35294117647059,0.852941176470588,0.911764705882353,2.35294117647059,1.47058823529412,0.205882352941176,0.323529411764706,0.176470588235294,0.117647058823529,0.0588235294117647,18.0588235294118,10.5294117647059,9.17647058823529,6.70588235294118,2.17647058823529,5.55882352941176,17.0294117647059,32.6,11.4705882352941,169.117647058824,46.1764705882353,27.3,59.5882352941176,74.3529411764706,35.1764705882353,19.1764705882353,4.17647058823529,0.117647058823529,15,11.5882352941176,29,0.5,560.529411764706,70.2941176470588,214.117647058824,263.411764705882,119.147058823529,16.7352941176471,513.764705882353,11.5,17.4705882352941,65.8,12.1176470588235,0.529411764705882,348.411764705882,2155.47058823529,1172.64705882353,406.470588235294,337.588235294118,83.1,13.0294117647059,11.8235294117647,90,100,3.20588235294118,0.647058823529412,5.73529411764706,0.0355882352941176,1.41176470588235,1.73529411764706,-0.323529411764706,1.20882352941176,1.54411764705882,-0.335294117647059,0.0588235294117647,13.6470588235294,10.2941176470588,1.67647058823529,15.4117647058824,10.5294117647059,0.0882352941176471,0.205882352941176,86.6764705882353,18.4705882352941,16.3235294117647,53.1
"9","Hoffenheim","Bundesliga",0.911764705882353,51.9,34,374,3060,1.52941176470588,1.05882352941176,0.0882352941176471,0.117647058823529,1.52647058823529,1.43823529411765,1.02941176470588,1.55882352941176,4.79411764705882,3.44117647058824,0.712,0.441176470588235,0.205882352941176,0.352941176470588,0.235294117647059,23.5,0.176470588235294,0.0588235294117647,0,0,0.117647058823529,0.0588235294117647,1.49411764705882,0.28,-0.00588235294117647,5.38235294117647,14.4117647058824,37.3,34.4411764705882,6,32.1,0.964705882352941,8.64705882352941,38.8,1.07941176470588,10.4411764705882,0.558823529411765,5.4,1.20588235294118,0.452941176470588,13.0294117647059,4.52941176470588,34.8,0.11,0.32,0.11,0.00294117647058824,0.00294117647058824,429.147058823529,528.352941176471,81.2,8407.29411764706,2885.61764705882,6.70588235294118,18.8235294117647,35.6,10920,12268,89,101.264705882353,148.705882352941,68.1,0.0294117647058824,9.79411764705882,26.2941176470588,8.11764705882353,2.52941176470588,43.7058823529412,528.352941176471,477.588235294118,50.7647058823529,13.9117647058824,1.14705882352941,99.7058823529412,12.1470588235294,17.1764705882353,5.11764705882353,1.26470588235294,2.85294117647059,0.588235294117647,345.147058823529,82.3823529411765,100.823529411765,123.176470588235,344.117647058824,19.9705882352941,20.5294117647059,9.41176470588235,1.5,8.82352941176471,6.32352941176471,12.7058823529412,20.5294117647059,14.1764705882353,2.23529411764706,1.38235294117647,1.26470588235294,1.44117647058824,2.41176470588235,1.61764705882353,0.205882352941176,0.176470588235294,0.294117647058824,0.0882352941176471,0.0294117647058824,17.4117647058824,10.4117647058824,9.85294117647059,5.91176470588235,1.64705882352941,6.58823529411765,17.2058823529412,38.3,10.6176470588235,137.205882352941,40.4705882352941,29.5,48.9411764705882,58.0294117647059,30.2352941176471,17.5,4.14705882352941,0.147058823529412,13.3529411764706,10.1470588235294,25.2352941176471,0.117647058823529,649.117647058824,79.3235294117647,256,300.117647058824,132.676470588235,22.9411764705882,599.823529411765,9.05882352941176,15.7058823529412,57.7,9.70588235294118,0.441176470588235,408.852941176471,2275.79411764706,1245.38235294118,494.882352941176,429.147058823529,86.7,12.2352941176471,12.1176470588235,90,100,3.35294117647059,0.705882352941177,5.5,0.045,1.55882352941176,1.55882352941176,0,1.52647058823529,1.53823529411765,-0.0117647058823529,0.0294117647058824,11.2647058823529,12.2058823529412,1.79411764705882,17.1764705882353,10.4117647058824,0.0882352941176471,0.235294117647059,89.3235294117647,16.3823529411765,15.9411764705882,50.7
"10","Köln","Bundesliga",0.852941176470588,46.7,34,374,3060,1.47058823529412,1.11764705882353,0.0588235294117647,0.117647058823529,1.41470588235294,1.33529411764706,0.944117647058824,2.02941176470588,4.47058823529412,2.55882352941176,0.572,0.294117647058824,0.176470588235294,0.529411764705882,0.176470588235294,17.6,0.117647058823529,0.0588235294117647,0,0.0294117647058824,0.323529411764706,0.0588235294117647,1.59705882352941,0.33,-0.373529411764706,9.17647058823529,18.5294117647059,49.5,26.2352941176471,2.91176470588235,53.9,1.24117647058824,8.76470588235294,50,1.19705882352941,7.94117647058824,0.529411764705882,6.7,0.411764705882353,0.414705882352941,12.1764705882353,4.32352941176471,35.5,0.12,0.33,0.11,0.0558823529411765,0.0764705882352941,332.147058823529,438.852941176471,75.7,7253.88235294118,2737.41176470588,4.5,15.2352941176471,29.5,7586,9037,83.9,104.529411764706,157.823529411765,66.2,0.173529411764706,8.67647058823529,24.2352941176471,7.76470588235294,2.52941176470588,42.4411764705882,438.852941176471,386.147058823529,52.7058823529412,14.0882352941176,0.764705882352941,85.2058823529412,13.4117647058824,20.9117647058824,5.14705882352941,2.17647058823529,1.97058823529412,0.529411764705882,248.382352941176,72.2941176470588,118.176470588235,152.264705882353,223.794117647059,21.7941176470588,21.6764705882353,5.38235294117647,1.91176470588235,9.47058823529412,6.97058823529412,12.1470588235294,18.5588235294118,12.9705882352941,2.14705882352941,1.20588235294118,1,1.20588235294118,2.38235294117647,1.47058823529412,0.205882352941176,0.235294117647059,0.235294117647059,0.205882352941176,0.0294117647058824,19.7352941176471,12.4117647058824,10.2058823529412,7.52941176470588,2,6.26470588235294,17.1764705882353,36.5,10.9117647058824,186.058823529412,53.7941176470588,28.9,62.7647058823529,83.8529411764706,39.4411764705882,17.4117647058824,3.32352941176471,0.0588235294117647,14.0882352941176,12.5294117647059,27.8235294117647,0.117647058823529,564,69.7058823529412,213.794117647059,252.794117647059,130.970588235294,20.0588235294118,513.088235294118,8.55882352941176,14.5588235294118,58.8,9.26470588235294,0.352941176470588,333.294117647059,1991.17647058824,1026.44117647059,406.264705882353,332.147058823529,81.8,14.3823529411765,10.3529411764706,90,100,3.44117647058824,0.705882352941177,5.5,0.0311764705882353,1.5,2.02941176470588,-0.529411764705882,1.41470588235294,1.56470588235294,-0.15,0.0294117647058824,14.2941176470588,12.8235294117647,2.20588235294118,20.9117647058824,12.4117647058824,0.0882352941176471,0.147058823529412,93.9411764705882,19.3529411764706,19.7941176470588,49.4
"11","Leverkusen","Bundesliga",0.705882352941177,63.8,34,374,3060,1.67647058823529,1.41176470588235,0.0588235294117647,0.0588235294117647,1.67058823529412,1.62647058823529,1.33823529411765,1.29411764705882,4.02941176470588,2.70588235294118,0.693,0.558823529411765,0.176470588235294,0.264705882352941,0.294117647058824,29.4,0.0588235294117647,0,0,0.0294117647058824,0.176470588235294,0,1.35882352941176,0.33,0.0647058823529412,7.67647058823529,17.7647058823529,43.2,40.0588235294118,6.02941176470588,37,1.05,6.88235294117647,42.7,1.14411764705882,6.41176470588235,0.617647058823529,9.6,0.852941176470588,0.464705882352941,14.4117647058824,5.38235294117647,37.3,0.11,0.3,0.12,0.00588235294117647,-0.00882352941176471,563.529411764706,671.058823529412,84,11044.2352941176,3360.32352941176,9.29411764705882,23.4411764705882,39.6,14179,15753,90,137.205882352941,184.294117647059,74.4,0.0735294117647059,11.2647058823529,34.2352941176471,7.73529411764706,1.88235294117647,50.9705882352941,671.058823529412,618.529411764706,52.5294117647059,14,1.61764705882353,115.5,16.1470588235294,21.0882352941176,6.32352941176471,2.91176470588235,1.94117647058824,0.941176470588235,472.558823529412,99.4705882352941,99.0294117647059,223.970588235294,387.058823529412,17.9411764705882,23.0588235294118,9.17647058823529,2.32352941176471,8.55882352941176,10.1176470588235,15.2647058823529,22.7941176470588,16.7352941176471,2.38235294117647,1.61764705882353,1.23529411764706,0.735294117647059,3.14705882352941,2.26470588235294,0.235294117647059,0.264705882352941,0.147058823529412,0.147058823529412,0.0882352941176471,18.0588235294118,11.2352941176471,8.05882352941176,7.73529411764706,2.26470588235294,6.44117647058824,17.7941176470588,36.2,11.3529411764706,153,52.1764705882353,34.1,45,71.6764705882353,36.3235294117647,16.2647058823529,2.73529411764706,0.0588235294117647,13.5294117647059,9.70588235294118,22.0588235294118,0.264705882352941,793.382352941176,72.5294117647059,253.588235294118,420.470588235294,171.735294117647,27.1176470588235,743.088235294118,13.8823529411765,22.2941176470588,62.3,14.8529411764706,1,552.882352941176,3037.02941176471,1562.02941176471,643.529411764706,563.529411764706,87.6,13.5294117647059,13.2352941176471,90,100,3.32352941176471,0.735294117647059,5.47058823529412,0.0544117647058824,1.79411764705882,1.29411764705882,0.5,1.67058823529412,1.34411764705882,0.326470588235294,0.0882352941176471,11.5588235294118,10.9117647058824,2.67647058823529,21.0882352941176,11.2352941176471,0.0588235294117647,0.0588235294117647,101.088235294118,15.4705882352941,14.9117647058824,50.9
