"","Var.1","Var.2","Var.3","Playing Time","Playing Time","Playing Time","Performance","Performance","Performance","Performance","Performance","Performance","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Expected","Expected","Expected","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Var.26","Var.27","Playing Time","Playing Time","Playing Time","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Penalty Kicks","Penalty Kicks","Penalty Kicks","Penalty Kicks","Var.45","Var.46","Var.47","Goals","Goals","Goals","Goals","Goals","Expected","Expected","Expected","Expected","Launched","Launched","Launched","Passes","Passes","Passes","Passes","Goal Kicks","Goal Kicks","Goal Kicks","Crosses","Crosses","Crosses","Sweeper","Sweeper","Sweeper","Var.73","Var.74","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Expected","Expected","Expected","Expected","Expected","Var.91","Var.92","Total","Total","Total","Total","Total","Short","Short","Short","Medium","Medium","Medium","Long","Long","Long","Var.107","Var.108","Var.109","Var.110","Var.111","Var.112","Var.113","Var.114","Var.115","Var.116","Var.117","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Corner Kicks","Corner Kicks","Corner Kicks","Height","Height","Height","Body Parts","Body Parts","Body Parts","Body Parts","Body Parts","Outcomes","Outcomes","Outcomes","Outcomes","Outcomes","Var.142","Var.143","SCA","SCA","SCA Types","SCA Types","SCA Types","SCA Types","SCA Types","GCA","GCA","GCA Types","GCA Types","GCA Types","GCA Types","GCA Types","GCA Types","Var.159","Var.160","Tackles","Tackles","Tackles","Tackles","Tackles","Vs Dribbles","Vs Dribbles","Vs Dribbles","Vs Dribbles","Pressures","Pressures","Pressures","Pressures","Pressures","Pressures","Blocks","Blocks","Blocks","Blocks","Var.180","Var.181","Var.182","Var.183","Var.184","Var.185","Touches","Touches","Touches","Touches","Touches","Touches","Touches","Dribbles","Dribbles","Dribbles","Dribbles","Dribbles","Carries","Carries","Carries","Receiving","Receiving","Receiving","Var.204","Var.205","Var.206","Var.207","Playing Time","Playing Time","Playing Time","Playing Time","Starts","Starts","Subs","Subs","Subs","Team Success","Team Success","Team Success","Team Success","Team Success","Team Success (xG)","Team Success (xG)","Team Success (xG)","Team Success (xG)","Var.226","Var.227","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Aerial Duels","Aerial Duels","Aerial Duels","League"
"1","Squad","# Pl","Poss","MP","Starts","Min","Gls","Ast","PK","PKatt","CrdY","CrdR","Gls","Ast","G+A","G-PK","G+A-PK","xG","npxG","xA","xG","xA","xG+xA","npxG","npxG+xA","Squad","# Pl","MP","Starts","Min","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Squad","# Pl","90s","GA","PKA","FK","CK","OG","PSxG","PSxG/SoT","PSxG+/-","/90","Cmp","Att","Cmp%","Att","Thr","Launch%","AvgLen","Att","Launch%","AvgLen","Opp","Stp","Stp%","#OPA","#OPA/90","AvgDist","Squad","# Pl","Gls","PK","PKatt","Sh","SoT","FK","SoT%","Sh/90","SoT/90","G/Sh","G/SoT","xG","npxG","npxG/Sh","G-xG","np:G-xG","Squad","# Pl","Cmp","Att","Cmp%","TotDist","PrgDist","Cmp","Att","Cmp%","Cmp","Att","Cmp%","Cmp","Att","Cmp%","Ast","xA","A-xA","KP","1/3","PPA","CrsPA","Prog","Squad","# Pl","Att","Live","Dead","FK","TB","Press","Sw","Crs","CK","In","Out","Str","Ground","Low","High","Left","Right","Head","TI","Other","Cmp","Off","Out","Int","Blocks","Squad","# Pl","SCA","SCA90","PassLive","PassDead","Drib","Sh","Fld","GCA","GCA90","PassLive","PassDead","Drib","Sh","Fld","OG","Squad","# Pl","Tkl","TklW","Def 3rd","Mid 3rd","Att 3rd","Tkl","Att","Tkl%","Past","Press","Succ","%","Def 3rd","Mid 3rd","Att 3rd","Blocks","Sh","ShSv","Pass","Int","Clr","Err","Squad","# Pl","Poss","Touches","Def Pen","Def 3rd","Mid 3rd","Att 3rd","Att Pen","Live","Succ","Att","Succ%","#Pl","Megs","Carries","TotDist","PrgDist","Targ","Rec","Rec%","Miscon","Dispos","Squad","# Pl","MP","Min","Mn/MP","Min%","Starts","Mn/Start","Subs","Mn/Sub","unSub","PPM","onG","onGA","+/-","+/-90","onxG","onxGA","xG+/-","xG+/-90","Squad","# Pl","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won","Lost","Won%","League"
"2","Augsburg","30","46.6","34","374","3,060","50","33","5","5","55","1","1.47","0.97","2.44","1.32","2.29","43.1","39.3","28.5","1.27","0.84","2.11","1.16","2.00","Augsburg","3","34","34","3,060","71","2.09","180","111",".611","8","8","18","5","14.7","2","1","1","0","Augsburg","3","34.0","71","1","2","12","2","57.2","0.32","-11.8","-0.35","206","533","38.6","844","141","46.1","39.3","268","53.7","46.3","287","19","6.6","23","0.68","13.9","Augsburg","30","50","5","5","443","158","18","35.7","13.03","4.65","0.10","0.28","43.1","39.3","0.09","+6.9","+5.7","Augsburg","30","11138","15094","73.8","230933","88336","122","468","26.1","7950","9616","82.7","3066","5010","61.2","33","28.5","+4.5","311","815","274","90","1555","Augsburg","30","15094","13433","1661","402","21","2776","488","611","147","8","25","1","8855","2199","4040","3879","8794","1058","743","240","11138","76","388","262","456","Augsburg","30","646","19.00","462","72","30","46","35","69","2.03","52","4","0","7","5","1","Augsburg","30","582","372","284","232","66","178","539","33.0","361","5481","1373","25.1","1739","2535","1207","558","140","5","418","490","796","5","Augsburg","30","46.6","18983","2230","6929","8905","4287","690","17363","244","411","59.4","269","11","11482","64637","33203","13491","11138","82.6","410","377","Augsburg","30","34","3,060","90","100","374","85","94","22","144","0.94","51","71","-20","-0.59","43.1","56.0","-12.9","-0.38","Augsburg","30","55","1","0","465","359","92","611","490","372","2","2","2","3460","444","476","48.3","Bundesliga"
"3","Bayern Munich","24","65.5","34","374","3,060","86","62","3","4","42","2","2.53","1.82","4.35","2.44","4.26","78.8","75.8","58.1","2.32","1.71","4.03","2.23","3.94","Bayern Munich","2","34","34","3,060","32","0.94","71","45",".620","24","6","4","12","35.3","6","5","0","1","Bayern Munich","2","34.0","32","5","1","3","1","24.2","0.29","-6.8","-0.20","158","333","47.4","1014","165","29.7","31.9","156","20.5","33.1","160","9","5.6","38","1.12","17.9","Bayern Munich","24","86","3","4","620","246","28","39.7","18.24","7.24","0.13","0.34","78.8","75.8","0.13","+7.2","+7.2","Bayern Munich","24","20506","23861","85.9","409832","120093","207","561","36.9","14992","16503","90.8","5307","6797","78.1","62","58.1","+3.9","454","1730","474","96","2142","Bayern Munich","24","23861","22275","1586","379","68","3773","810","786","285","25","36","20","17820","2404","3637","6288","15519","839","700","266","20506","81","297","304","453","Bayern Munich","24","974","28.65","705","85","69","61","52","137","4.03","98","8","9","16","4","2","Bayern Munich","24","474","320","184","210","80","140","445","31.5","305","4461","1420","31.8","1043","2036","1382","426","75","3","351","370","418","6","Bayern Munich","24","65.5","27361","1714","6943","14253","7935","1373","25802","453","689","65.7","486","27","20873","111068","61840","22648","20506","90.5","421","379","Bayern Munich","24","34","3,060","90","100","374","85","102","20","133","2.29","88","32","+56","+1.65","78.8","26.1","+52.8","+1.55","Bayern Munich","24","42","2","2","317","347","92","786","370","320","4","5","1","3349","347","291","54.4","Bundesliga"
"4","Dortmund","23","58.0","34","374","3,060","80","60","4","4","40","3","2.35","1.76","4.12","2.24","4.00","57.0","54.0","41.5","1.68","1.22","2.90","1.59","2.81","Dortmund","2","34","34","3,060","44","1.29","130","89",".692","23","7","4","10","29.4","5","4","0","1","Dortmund","2","34.0","44","4","1","8","0","41.8","0.31","-2.2","-0.07","174","494","35.2","894","175","37.8","36.3","237","65.8","51.3","298","18","6.0","26","0.76","15.5","Dortmund","23","80","4","4","444","178","17","40.1","13.06","5.24","0.17","0.43","57.0","54.0","0.12","+23.0","+22.0","Dortmund","23","18845","22100","85.3","346448","104095","314","645","48.7","14459","16086","89.9","4072","5369","75.8","60","41.5","+18.5","327","1341","314","55","1625","Dortmund","23","22100","20430","1670","443","27","2819","501","459","167","18","13","4","17215","2278","2607","6955","13215","692","746","266","18845","54","289","328","451","Dortmund","23","717","21.09","535","63","35","39","45","144","4.24","106","6","10","11","11","0","Dortmund","23","519","346","245","210","64","167","458","36.5","291","5051","1452","28.7","1517","2269","1265","467","77","1","390","407","675","11","Dortmund","23","58.0","26019","1997","6979","14179","6536","945","24411","475","755","62.9","526","30","19411","105052","55689","20919","18845","90.1","466","459","Dortmund","23","34","3,060","90","100","374","85","100","17","137","2.24","81","44","+37","+1.09","57.0","39.2","+17.8","+0.52","Dortmund","23","40","3","0","299","391","67","459","407","346","3","5","0","3126","304","288","51.4","Bundesliga"
"5","Düsseldorf","24","43.1","34","374","3,060","48","35","5","7","67","1","1.41","1.03","2.44","1.26","2.29","45.6","40.3","32.9","1.34","0.97","2.31","1.19","2.15","Düsseldorf","2","34","34","3,060","65","1.91","173","113",".665","13","5","16","5","14.7","7","7","0","0","Düsseldorf","2","34.0","65","7","1","8","0","57.5","0.31","-7.5","-0.22","256","622","41.2","715","150","48.5","40.9","330","83.3","59.6","344","27","7.8","5","0.15","12.8","Düsseldorf","24","48","5","7","405","155","15","38.3","11.91","4.56","0.11","0.28","45.6","40.3","0.10","+2.4","+2.7","Düsseldorf","24","11146","14589","76.4","240306","89614","136","444","30.6","7708","9138","84.4","3302","5007","65.9","35","32.9","+2.1","309","898","246","79","1493","Düsseldorf","24","14589","12923","1666","453","40","2105","614","550","145","17","18","4","8976","2092","3521","4898","7646","841","640","218","11146","42","288","250","391","Düsseldorf","24","634","18.65","459","69","33","35","37","78","2.29","56","4","9","4","4","1","Düsseldorf","24","619","391","348","218","53","190","593","32.0","403","5911","1511","25.6","2199","2822","890","498","109","4","389","454","784","11","Düsseldorf","24","43.1","18315","2165","6973","8342","4082","656","16690","267","451","59.2","300","14","11594","64945","36049","13090","11146","85.1","389","310","Düsseldorf","24","34","3,060","90","100","374","85","97","19","140","1.29","49","65","-16","-0.47","45.6","58.3","-12.7","-0.37","Düsseldorf","24","67","1","0","439","418","52","550","454","391","3","7","0","2812","385","383","50.1","Bundesliga"
"6","Eint Frankfurt","30","47.3","34","374","3,060","60","42","4","4","58","3","1.76","1.24","3.00","1.65","2.88","54.5","51.5","37.9","1.60","1.11","2.72","1.51","2.63","Eint Frankfurt","2","34","34","3,060","48","1.41","167","121",".719","15","9","10","9","26.5","1","1","0","0","Eint Frankfurt","2","34.0","48","1","1","6","1","48.4","0.29","+1.4","+0.04","375","814","46.1","1029","109","59.7","43.6","231","86.6","61.9","291","28","9.6","24","0.71","15.1","Eint Frankfurt","30","60","4","4","402","146","11","36.3","11.82","4.29","0.14","0.38","54.5","51.5","0.13","+5.5","+4.5","Eint Frankfurt","30","10625","14850","71.5","222624","93225","156","482","32.4","7524","9440","79.7","2945","4928","59.8","42","37.9","+4.1","287","950","261","82","1601","Eint Frankfurt","30","14850","13146","1704","447","28","2462","402","682","179","18","20","6","8502","2300","4048","4285","7973","1083","765","232","10625","76","316","299","450","Eint Frankfurt","30","590","17.35","407","75","43","30","35","91","2.68","67","5","6","10","3","0","Eint Frankfurt","30","589","386","287","236","66","179","516","34.7","337","5874","1786","30.4","1893","2721","1260","583","100","9","483","369","702","5","Eint Frankfurt","30","47.3","18737","2016","5967","9199","4713","785","17078","289","501","57.7","325","13","11430","70088","38955","13463","10628","78.9","418","413","Eint Frankfurt","30","34","3,060","90","100","374","84","93","21","145","1.59","60","48","+12","+0.35","54.5","50.7","+3.8","+0.11","Eint Frankfurt","30","58","3","2","427","354","82","682","369","386","2","1","1","3706","516","488","51.4","Bundesliga"
"7","Freiburg","28","44.2","34","374","3,060","44","25","5","6","54","3","1.29","0.74","2.03","1.15","1.88","41.6","37.0","25.5","1.22","0.75","1.97","1.09","1.84","Freiburg","2","34","34","3,060","61","1.79","167","112",".677","8","12","14","5","14.7","7","7","0","0","Freiburg","2","34.0","61","7","0","12","0","53.6","0.29","-7.4","-0.22","296","721","41.1","965","137","47.3","40.9","332","79.8","64.0","346","16","4.6","19","0.56","13.6","Freiburg","28","44","5","6","414","153","15","37.0","12.18","4.50","0.09","0.25","41.6","37.0","0.09","+2.4","+2.0","Freiburg","28","11490","14967","76.8","247151","85697","188","495","38.0","7864","9216","85.3","3438","5256","65.4","25","25.5","-0.5","291","800","218","75","1264","Freiburg","28","14967","13272","1695","445","16","2483","537","537","150","34","3","4","9422","1973","3572","4866","8034","842","678","236","11490","41","315","244","363","Freiburg","28","616","18.12","450","54","34","36","40","71","2.09","42","5","2","11","9","2","Freiburg","28","527","319","302","172","53","173","547","31.6","374","5225","1209","23.1","1791","2323","1111","482","125","2","357","396","816","8","Freiburg","28","44.2","18763","2342","6998","8963","4015","626","17124","273","478","57.1","305","18","12273","72648","39458","13577","11490","84.6","411","371","Freiburg","28","34","3,060","90","100","374","85","101","20","137","1.06","46","61","-15","-0.44","41.6","54.3","-12.7","-0.37","Freiburg","28","54","3","3","420","418","52","537","396","319","4","7","0","3062","395","470","45.7","Bundesliga"
"8","Hannover 96","32","46.3","34","374","3,060","30","20","3","3","61","4","0.88","0.59","1.47","0.79","1.38","33.1","30.9","23.1","0.97","0.68","1.65","0.91","1.59","Hannover 96","3","34","34","3,060","72","2.12","220","156",".700","5","6","23","5","14.7","7","6","1","0","Hannover 96","3","34.0","72","6","1","12","1","63.8","0.27","-6.2","-0.18","325","677","48.0","986","150","50.8","40.5","300","58.7","46.3","362","18","5.0","31","0.91","15.1","Hannover 96","32","30","3","3","380","113","11","29.7","11.18","3.32","0.07","0.24","33.1","30.9","0.08","-3.1","-3.9","Hannover 96","32","11428","15090","75.7","236845","89112","163","518","31.5","8158","9682","84.3","3107","4890","63.5","20","23.1","-3.1","269","826","228","59","1322","Hannover 96","32","15090","13327","1763","476","24","2440","417","532","143","11","27","7","9194","2235","3661","4065","8719","966","740","248","11428","49","306","250","436","Hannover 96","32","554","16.29","400","60","36","22","35","46","1.35","36","3","1","1","4","1","Hannover 96","32","578","368","333","196","49","200","657","30.4","457","5355","1415","26.4","2081","2334","940","589","132","2","457","495","888","10","Hannover 96","32","46.3","19383","2375","7250","9218","4197","597","17674","316","538","58.7","345","14","12098","73829","40732","13894","11428","82.3","523","449","Hannover 96","32","34","3,060","90","100","374","84","97","22","141","0.62","31","71","-40","-1.18","33.1","64.4","-31.3","-0.92","Hannover 96","32","61","4","3","436","431","61","532","495","368","2","5","1","3292","449","480","48.3","Bundesliga"
"9","Hertha BSC","26","48.1","34","374","3,060","49","32","4","4","64","5","1.44","0.94","2.38","1.32","2.26","47.6","44.6","34.0","1.40","1.00","2.40","1.31","2.31","Hertha BSC","2","34","34","3,060","57","1.68","154","102",".656","11","10","13","9","26.5","6","4","1","1","Hertha BSC","2","34.0","57","4","1","6","2","51.7","0.32","-3.3","-0.10","407","904","45.0","978","109","63.8","45.7","306","91.5","63.9","288","33","11.5","16","0.47","13.8","Hertha BSC","26","49","4","4","394","144","14","36.5","11.59","4.24","0.11","0.31","47.6","44.6","0.12","+1.4","+0.4","Hertha BSC","26","12472","16161","77.2","255193","96580","161","444","36.3","9115","10693","85.2","3196","5024","63.6","32","34.0","-2.0","299","916","235","74","1461","Hertha BSC","26","16161","14467","1694","440","27","2928","444","553","145","15","19","7","10093","2058","4010","4093","9732","963","713","221","12472","65","325","281","359","Hertha BSC","26","611","17.97","431","64","46","38","32","77","2.26","51","4","8","8","6","0","Hertha BSC","26","551","345","279","224","48","155","496","31.3","341","5488","1406","25.6","1797","2556","1135","580","121","4","459","418","787","5","Hertha BSC","26","48.1","20031","2213","6504","10163","4547","699","18398","343","521","65.8","365","12","12880","71781","37955","14827","12472","84.1","436","392","Hertha BSC","26","34","3,060","90","100","374","85","92","20","145","1.26","49","57","-8","-0.24","47.6","57.9","-10.2","-0.30","Hertha BSC","26","64","5","3","455","381","80","553","418","345","3","5","2","3202","497","452","52.4","Bundesliga"
"10","Hoffenheim","29","53.6","34","374","3,060","69","49","6","7","67","2","2.03","1.44","3.47","1.85","3.29","71.5","66.3","48.3","2.10","1.42","3.52","1.95","3.37","Hoffenheim","2","34","34","3,060","52","1.53","165","120",".727","13","12","9","5","14.7","8","7","1","0","Hoffenheim","2","34.0","52","7","0","5","1","56.3","0.31","+5.3","+0.16","225","483","46.6","1084","186","33.7","33.1","247","47.8","43.4","308","26","8.4","46","1.35","16.8","Hoffenheim","29","69","6","7","596","214","15","35.9","17.53","6.29","0.11","0.29","71.5","66.3","0.12","-2.5","-3.3","Hoffenheim","29","14499","17950","80.8","285552","102912","185","531","34.8","10748","12253","87.7","3566","5166","69.0","49","48.3","+0.7","450","1200","371","102","1750","Hoffenheim","29","17950","16345","1605","406","39","2524","464","665","181","20","28","12","12229","2538","3183","4555","11347","788","687","319","14499","58","307","277","446","Hoffenheim","29","923","27.15","673","79","69","54","47","111","3.26","76","6","7","11","10","1","Hoffenheim","29","567","348","255","238","74","190","539","35.3","349","4971","1406","28.3","1580","2323","1068","529","119","2","410","430","695","6","Hoffenheim","29","53.6","22007","2117","7153","10571","5832","1065","20439","390","636","61.3","423","20","15018","92061","53350","16799","14499","86.3","462","383","Hoffenheim","29","34","3,060","90","100","374","84","100","23","138","1.50","70","52","+18","+0.53","71.5","51.6","+19.9","+0.59","Hoffenheim","29","67","2","2","477","359","69","665","430","348","5","7","1","3320","342","367","48.2","Bundesliga"
